k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5030594057490606, 0.219997737567423, -0.0094152003653158, 0.6147669212974969, 0.2551471439629958, 0.0755113011843253, -0.0397174401498189, -0.0875140319771813, -0.087682670845161, -0.049342991281034, -0.0527704140497509, 0.2056293546118058, 0.1387892504141755, -0.0368446891974513, -0.1160081765189298, -0.0860152118120509, 0.0669841982523529, 0.2944524409561752, 0.1258584609719112, 0.0947415116331383, -0.1530258483291285, 0.0661592318569267]| 13.4519863128662109|      5.00000000|[54, 8, 0, 2]                                                              |  | trying linear partial model with 29 points | iterate success | actual_k=4
       2|[0.5030594057490606, 0.219997737567423, -0.0094152003653158, 0.6147669212974969, 0.2551471439629958, 0.0755113011843253, -0.0397174401498189, -0.0875140319771813, -0.087682670845161, -0.049342991281034, -0.0527704140497509, 0.2056293546118058, 0.1387892504141755, -0.0368446891974513, -0.1160081765189298, -0.0860152118120509, 0.0669841982523529, 0.2944524409561752, 0.1258584609719112, 0.0947415116331383, -0.1530258483291285, 0.0661592318569267]| 13.4519863128662109|      1.00000000|[107, 16, 0, 4]                                                            |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
       3|[0.8553787874997035, -0.0417246286434018, 0.1549747179570802, 1.351551333969545, 0.0812017697309038, -0.0037240883091223, 0.072156359898124, -0.1668679888069909, -0.1413611763845047, -0.0894498342683947, -0.2841199262308941, 0.2185532350894082, 0.1370290866277734, -0.2543449128940908, -0.0685092771957996, -0.0853824479374191, 0.1641764481739547, 0.178879474054135, 0.0945766542168846, 0.2327733034256933, -0.323660695298193, 0.0166362594122065]| 12.4993591308593750|      5.00000000|[160, 24, 0, 6]                                                            |  | trying linear partial model with 29 points | iterate success | actual_k=4
       4|[0.8553787874997035, -0.0417246286434018, 0.1549747179570802, 1.351551333969545, 0.0812017697309038, -0.0037240883091223, 0.072156359898124, -0.1668679888069909, -0.1413611763845047, -0.0894498342683947, -0.2841199262308941, 0.2185532350894082, 0.1370290866277734, -0.2543449128940908, -0.0685092771957996, -0.0853824479374191, 0.1641764481739547, 0.178879474054135, 0.0945766542168846, 0.2327733034256933, -0.323660695298193, 0.0166362594122065]| 12.4993591308593750|      1.00000000|[212, 32, 0, 8]                                                            |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
       5|[1.3069430097434358, 0.0417786669359949, 0.1865609012563759, 2.0805684687998327, 0.0611663123117723, 0.217241193856281, 0.2251818515764848, -0.2688412878939671, -0.2617160876290313, -0.1337044344490372, -0.375728960747792, -0.0620696201869072, 0.1465476626007173, -0.3323061389842057, -0.099203796575809, -0.180338300238452, 0.0846910953117841, 0.3258451950148765, 0.1221612033113379, 0.2654454973214915, -0.4789932428204533, 0.021629094730047]| 12.1442565917968750|      5.00000000|[265, 40, 0, 10]                                                           |  | trying linear partial model with 29 points | iterate success | actual_k=4
       6|[1.3069430097434358, 0.0417786669359949, 0.1865609012563759, 2.0805684687998327, 0.0611663123117723, 0.217241193856281, 0.2251818515764848, -0.2688412878939671, -0.2617160876290313, -0.1337044344490372, -0.375728960747792, -0.0620696201869072, 0.1465476626007173, -0.3323061389842057, -0.099203796575809, -0.180338300238452, 0.0846910953117841, 0.3258451950148765, 0.1221612033113379, 0.2654454973214915, -0.4789932428204533, 0.021629094730047]| 12.1442565917968750|      1.00000000|[318, 48, 0, 12]                                                           |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
       7|[1.3069430097434358, 0.0417786669359949, 0.1865609012563759, 2.0805684687998327, 0.0611663123117723, 0.217241193856281, 0.2251818515764848, -0.2688412878939671, -0.2617160876290313, -0.1337044344490372, -0.375728960747792, -0.0620696201869072, 0.1465476626007173, -0.3323061389842057, -0.099203796575809, -0.180338300238452, 0.0846910953117841, 0.3258451950148765, 0.1221612033113379, 0.2654454973214915, -0.4789932428204533, 0.021629094730047]| 12.1442565917968750|      0.20000000|[371, 56, 0, 14]                                                           |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
       8|[1.3069430097434358, 0.0417786669359949, 0.1865609012563759, 2.0805684687998327, 0.0611663123117723, 0.217241193856281, 0.2251818515764848, -0.2688412878939671, -0.2617160876290313, -0.1337044344490372, -0.375728960747792, -0.0620696201869072, 0.1465476626007173, -0.3323061389842057, -0.099203796575809, -0.180338300238452, 0.0846910953117841, 0.3258451950148765, 0.1221612033113379, 0.2654454973214915, -0.4789932428204533, 0.021629094730047]| 12.1442565917968750|      0.04000000|[425, 64, 0, 16]                                                           |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
       9|[1.3069430097434358, 0.0417786669359949, 0.1865609012563759, 2.0805684687998327, 0.0611663123117723, 0.217241193856281, 0.2251818515764848, -0.2688412878939671, -0.2617160876290313, -0.1337044344490372, -0.375728960747792, -0.0620696201869072, 0.1465476626007173, -0.3323061389842057, -0.099203796575809, -0.180338300238452, 0.0846910953117841, 0.3258451950148765, 0.1221612033113379, 0.2654454973214915, -0.4789932428204533, 0.021629094730047]| 12.1442565917968750|      0.00800000|[478, 72, 0, 18]                                                           |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      10|[1.3113180989641584, 0.0411596813140181, 0.1878784979618441, 2.086310944884497, 0.0618035729805321, 0.2167902290038699, 0.2265540654805918, -0.2686385132048961, -0.2626456217719448, -0.1340175771521827, -0.3759463328333107, -0.0619809125991656, 0.147065477879344, -0.3337782230934034, -0.0991363263713612, -0.1810068925549958, 0.0836598169003559, 0.3272242152677793, 0.1224259528295849, 0.2653528968241988, -0.4784686908481658, 0.0215466233378326]| 12.1441707611083984|      0.04000000|[531, 80, 0, 20]                                                           |  | trying linear partial model with 29 points | iterate success | actual_k=4
      11|[1.3113180989641584, 0.0411596813140181, 0.1878784979618441, 2.086310944884497, 0.0618035729805321, 0.2167902290038699, 0.2265540654805918, -0.2686385132048961, -0.2626456217719448, -0.1340175771521827, -0.3759463328333107, -0.0619809125991656, 0.147065477879344, -0.3337782230934034, -0.0991363263713612, -0.1810068925549958, 0.0836598169003559, 0.3272242152677793, 0.1224259528295849, 0.2653528968241988, -0.4784686908481658, 0.0215466233378326]| 12.1441707611083984|      0.00800000|[584, 88, 0, 22]                                                           |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
