k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, 3.0]                                                                      |889.3031475218829200|      0.90000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[1.9444965095137936, 2.1017130956404584]                                        |135.5434722900390625|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[1.9444965095137936, 2.1017130956404584]                                        |135.5434722900390625|      0.90000000|[17, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.9444965095137936, 2.1017130956404584]                                        |135.5434722900390625|      0.81000000|[23, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.6943524234893563, 1.3313054527480763]                                        | 12.5654945373535156|      0.90000000|[29, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       6|[1.6943524234893563, 1.3313054527480763]                                        | 12.5654945373535156|      0.81000000|[35, 12, 0, 12]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.90000000|[40, 14, 0, 14]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       8|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.81000000|[46, 16, 0, 16]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.72900000|[51, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.65610000|[57, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.59049000|[63, 22, 0, 22]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.53144100|[68, 24, 0, 24]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.53144100|[71, 25, 0, 25]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      13|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.47829690|[76, 27, 0, 27]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.43046721|[82, 29, 0, 29]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.38742049|[87, 31, 0, 31]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.34867844|[92, 33, 0, 33]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.34867844|[95, 34, 0, 34]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      16|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.34867844|[98, 35, 0, 35]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      17|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.31381060|[104, 37, 0, 37]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.28242954|[110, 39, 0, 39]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.28242954|[113, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      18|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.28242954|[116, 41, 0, 41]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      18|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.28242954|[119, 42, 0, 42]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      18|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.28242954|[122, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.25418658|[127, 45, 0, 45]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.25418658|[130, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.25418658|[133, 47, 0, 47]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.25418658|[136, 48, 0, 48]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.25418658|[139, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.25418658|[142, 50, 0, 50]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.25418658|[145, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.25418658|[148, 52, 0, 52]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      19|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.25418658|[151, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.22876792|[157, 55, 0, 55]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.22876792|[160, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.22876792|[163, 57, 0, 57]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.22876792|[166, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.22876792|[169, 59, 0, 59]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      21|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.20589113|[174, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.20589113|[177, 62, 0, 62]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      21|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.20589113|[180, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      22|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.18530202|[185, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.18530202|[188, 66, 0, 66]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.16677182|[194, 68, 0, 68]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.16677182|[197, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.16677182|[200, 70, 0, 70]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.16677182|[203, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.16677182|[206, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.16677182|[209, 73, 0, 73]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.16677182|[212, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.16677182|[215, 75, 0, 75]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.16677182|[218, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.16677182|[221, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.16677182|[224, 78, 0, 78]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.16677182|[227, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      23|[1.1825011933832237, 0.7035249829667689]                                        |  0.2153155654668808|      0.16677182|[230, 80, 0, 80]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
