k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.20000000|[30, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.04000000|[59, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-0.0022619834449204, -0.000816991702345, 0.0104980245782617, -0.0066741582642017, 0.0358777702903807, -0.0031471479617337, 0.0041494121989066, 0.0104562740191354, -0.0039740178169909]|781950.5000000000000000|      0.20000000|[88, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       4|[-0.0022619834449204, -0.000816991702345, 0.0104980245782617, -0.0066741582642017, 0.0358777702903807, -0.0031471479617337, 0.0041494121989066, 0.0104562740191354, -0.0039740178169909]|781950.5000000000000000|      0.04000000|[117, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.001178580709368, 0.0043695247611673, 0.0167096210709474, -0.0121584245242205, 0.0740140888317192, -0.0035719743196738, 0.0099857128808083, 0.0068325298491296, -0.0052036443080549]|666349.5000000000000000|      0.20000000|[146, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       6|[-0.001178580709368, 0.0043695247611673, 0.0167096210709474, -0.0121584245242205, 0.0740140888317192, -0.0035719743196738, 0.0099857128808083, 0.0068325298491296, -0.0052036443080549]|666349.5000000000000000|      0.04000000|[175, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.005156696058191, 0.0056767157141817, 0.0141372596755038, -0.0171189953059338, 0.1083850741517317, 0.0081984320977371, -0.0038839380281105, 0.0006267472613563, -0.0058785454068354]|573853.3125000000000000|      0.20000000|[204, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       8|[-0.005156696058191, 0.0056767157141817, 0.0141372596755038, -0.0171189953059338, 0.1083850741517317, 0.0081984320977371, -0.0038839380281105, 0.0006267472613563, -0.0058785454068354]|573853.3125000000000000|      0.04000000|[234, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.0053453958313471, 0.0061715420652519, 0.0136062926163135, -0.0149603884251878, 0.1483041194487929, 0.0083702518178042, -0.0042901791653967, -0.0003615235487614, -0.0056017438649833]|478451.6250000000000000|      0.20000000|[263, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      10|[-0.0053453958313471, 0.0061715420652519, 0.0136062926163135, -0.0149603884251878, 0.1483041194487929, 0.0083702518178042, -0.0042901791653967, -0.0003615235487614, -0.0056017438649833]|478451.6250000000000000|      0.04000000|[292, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-0.0043146496838913, 0.0078189904390192, 0.0108433080785944, -0.0133093575915229, 0.1880869554813346, 0.0075240585518095, -0.0029501048035555, -0.0007702942003125, -0.0048872431375231]|395750.4062500000000000|      0.20000000|[321, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      12|[-0.0043146496838913, 0.0078189904390192, 0.0108433080785944, -0.0133093575915229, 0.1880869554813346, 0.0075240585518095, -0.0029501048035555, -0.0007702942003125, -0.0048872431375231]|395750.4062500000000000|      0.04000000|[350, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[-0.0049317423758021, 0.0075255582669108, 0.0112456926100418, -0.0118497881589313, 0.2280136203185767, 0.0077718370992093, -0.0032040509003714, -0.0024265676467316, -0.0053700975118876]|324059.6875000000000000|      0.20000000|[379, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      14|[-0.0049317423758021, 0.0075255582669108, 0.0112456926100418, -0.0118497881589313, 0.2280136203185767, 0.0077718370992093, -0.0032040509003714, -0.0024265676467316, -0.0053700975118876]|324059.6875000000000000|      0.04000000|[408, 28, 0, 28]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[-0.001600606736221, 0.0054454017093033, 0.0139152878836845, -0.0145317226071295, 0.2671710037012473, 0.0101114092776315, -0.0056227379885029, -0.0067900417650104, -0.0079377321763965]|263936.2500000000000000|      0.20000000|[438, 30, 0, 30]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      16|[-0.001600606736221, 0.0054454017093033, 0.0139152878836845, -0.0145317226071295, 0.2671710037012473, 0.0101114092776315, -0.0056227379885029, -0.0067900417650104, -0.0079377321763965]|263936.2500000000000000|      0.04000000|[467, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[-0.0018883928578066, 0.00418027545606, 0.0136624700998452, -0.011277808850883, 0.3069177290319093, 0.008736437540301, -0.00539471933306, -0.0092122652645438, -0.0077077709444501]|211495.3125000000000000|      0.20000000|[497, 34, 0, 34]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      18|[-0.0018883928578066, 0.00418027545606, 0.0136624700998452, -0.011277808850883, 0.3069177290319093, 0.008736437540301, -0.00539471933306, -0.0092122652645438, -0.0077077709444501]|211495.3125000000000000|      0.04000000|[527, 36, 0, 36]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[0.0015824291883609, 0.0070143630205859, 0.0074182311425096, -0.0029539568817099, 0.3444245953371989, 0.0132818246135223, -0.0015773579089221, -0.0100407618201015, -0.0130892290894216]|169771.2187500000000000|      0.20000000|[557, 38, 0, 38]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      20|[0.0015824291883609, 0.0070143630205859, 0.0074182311425096, -0.0029539568817099, 0.3444245953371989, 0.0132818246135223, -0.0015773579089221, -0.0100407618201015, -0.0130892290894216]|169771.2187500000000000|      0.04000000|[586, 40, 0, 40]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
