k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 0.0]                                                                      |416.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, 0.0]                                                                      |416.0000000000000000|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[2.0, 0.0]                                                                      |416.0000000000000000|      0.25000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[2.0, 0.0]                                                                      |416.0000000000000000|      0.12500000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.8778718062213775, 0.0266402756061431]                                        |312.4914245605468750|      0.25000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[1.6370628830727127, 0.0938047195626032]                                        |165.1552124023437500|      0.50000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[1.6370628830727127, 0.0938047195626032]                                        |165.1552124023437500|      0.25000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.6370628830727127, 0.0938047195626032]                                        |165.1552124023437500|      0.12500000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[1.5172389460973796, 0.1294028111930743]                                        |115.9949340820312500|      0.25000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[1.5172389460973796, 0.1294028111930743]                                        |115.9949340820312500|      0.12500000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[1.5172389460973796, 0.1294028111930743]                                        |115.9949340820312500|      0.06250000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[1.4590023710524407, 0.1520909430473103]                                        | 96.3526382446289062|      0.12500000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[1.4590023710524407, 0.1520909430473103]                                        | 96.3526382446289062|      0.06250000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[1.4014190198433916, 0.1763892488223083]                                        | 79.6222076416015625|      0.12500000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[1.4014190198433916, 0.1763892488223083]                                        | 79.6222076416015625|      0.06250000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[1.4014190198433916, 0.1763892488223083]                                        | 79.6222076416015625|      0.03125000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[1.373688456498392, 0.190796828652695]                                          | 72.2431716918945312|      0.06250000|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[1.3190614879825135, 0.2211636577720684]                                        | 59.2820053100585938|      0.12500000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[1.2149084942049369, 0.2902806158009638]                                        | 39.5804061889648438|      0.25000000|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[1.2149084942049369, 0.2902806158009638]                                        | 39.5804061889648438|      0.12500000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[1.2149084942049369, 0.2902806158009638]                                        | 39.5804061889648438|      0.06250000|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[1.1709443718412058, 0.3347036497449313]                                        | 32.2501373291015625|      0.12500000|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[1.1709443718412058, 0.3347036497449313]                                        | 32.2501373291015625|      0.06250000|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[1.1257716807445053, 0.3778971443833843]                                        | 26.2613868713378906|      0.12500000|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[1.1257716807445053, 0.3778971443833843]                                        | 26.2613868713378906|      0.06250000|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[1.0879488337210381, 0.4276533725667927]                                        | 21.3175125122070312|      0.12500000|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[1.0284510654393597, 0.5375852404191116]                                        | 13.6780643463134766|      0.25000000|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      27|[1.0284510654393597, 0.5375852404191116]                                        | 13.6780643463134766|      0.12500000|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[1.0284510654393597, 0.5375852404191116]                                        | 13.6780643463134766|      0.06250000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[1.0284510654393597, 0.5375852404191116]                                        | 13.6780643463134766|      0.03125000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[1.0215960706868517, 0.5680741162091942]                                        | 12.0565748214721680|      0.06250000|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[1.0215960706868517, 0.5680741162091942]                                        | 12.0565748214721680|      0.03125000|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[1.0183243674006073, 0.5991523796356918]                                        | 10.5161666870117188|      0.06250000|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[1.0097767089410115, 0.6610651209322786]                                        |  7.7282381057739258|      0.12500000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[1.0145939024595831, 0.7859722650298226]                                        |  3.2425251007080078|      0.25000000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      35|[1.0145939024595831, 0.7859722650298226]                                        |  3.2425251007080078|      0.12500000|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[1.0145939024595831, 0.7859722650298226]                                        |  3.2425251007080078|      0.06250000|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[1.0145939024595831, 0.7859722650298226]                                        |  3.2425251007080078|      0.03125000|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[1.0145939024595831, 0.7859722650298226]                                        |  3.2425251007080078|      0.01562500|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[1.0149839046785956, 0.8015923970161141]                                        |  2.8030192852020264|      0.03125000|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      40|[1.0149839046785956, 0.8015923970161141]                                        |  2.8030192852020264|      0.01562500|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[1.0154739064696605, 0.817209711869979]                                         |  2.3929660320281982|      0.03125000|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      42|[1.0154739064696605, 0.817209711869979]                                         |  2.3929660320281982|      0.01562500|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[1.0151929882994377, 0.8328321863852931]                                        |  2.0132830142974854|      0.03125000|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      44|[1.0151929882994377, 0.8328321863852931]                                        |  2.0132830142974854|      0.01562500|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[1.014959183030067, 0.8484554370104356]                                         |  1.6642346382141113|      0.03125000|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[1.0110260153748012, 0.8794569320097992]                                        |  1.0660969018936157|      0.06250000|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      47|[1.0110260153748012, 0.8794569320097992]                                        |  1.0660969018936157|      0.03125000|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      48|[1.0110260153748012, 0.8794569320097992]                                        |  1.0660969018936157|      0.01562500|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[1.013889536661091, 0.8948172988948371]                                         |  0.8160862922668457|      0.03125000|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      50|[1.013920655418529, 0.9260672834008002]                                         |  0.4111977219581604|      0.06250000|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      51|[1.013920655418529, 0.9260672834008002]                                         |  0.4111977219581604|      0.03125000|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      52|[1.0080156278384798, 0.9567543026317203]                                        |  0.1417734473943710|      0.06250000|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      53|[1.0080156278384798, 0.9567543026317203]                                        |  0.1417734473943710|      0.03125000|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[1.0080156278384798, 0.9567543026317203]                                        |  0.1417734473943710|      0.01562500|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      55|[1.0080156278384798, 0.9567543026317203]                                        |  0.1417734473943710|      0.00781250|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[1.0080156278384798, 0.9567543026317203]                                        |  0.1417734473943710|      0.00390625|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      57|[1.007257613262762, 0.9605862998871342]                                         |  0.1178563982248306|      0.00781250|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      58|[1.006196562123686, 0.9683264114322132]                                         |  0.0764797255396843|      0.01562500|[312, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      59|[1.006196562123686, 0.9683264114322132]                                         |  0.0764797255396843|      0.00781250|[318, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[1.006196562123686, 0.9683264114322132]                                         |  0.0764797255396843|      0.00390625|[323, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      61|[1.0061852379523912, 0.9722326450178612]                                        |  0.0593306906521320|      0.00781250|[329, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      62|[1.0065252500402437, 0.9800377425848436]                                        |  0.0325603149831295|      0.01562500|[334, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      63|[1.0065252500402437, 0.9800377425848436]                                        |  0.0325603149831295|      0.00781250|[339, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      64|[1.0065252500402437, 0.9800377425848436]                                        |  0.0325603149831295|      0.00390625|[344, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
