k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[5.2]                                                                           |61302.9768075899992255|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[6.2]                                                                           |12846.5410156250000000|     10.00000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[6.2]                                                                           |12846.5410156250000000|      1.00000000|[9, 4, 0, 4]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[6.2]                                                                           |12846.5410156250000000|      0.10000000|[11, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[6.1000000000000005]                                                            |3363.7612304687500000|      1.00000000|[15, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[6.1000000000000005]                                                            |3363.7612304687500000|      0.10000000|[18, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[6.000000000000001]                                                             |  0.0000065050367084|      1.00000000|[23, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[6.000000000000001]                                                             |  0.0000065050367084|      0.10000000|[27, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[6.000000000000001]                                                             |  0.0000065050367084|      0.01000000|[31, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[6.000000000000001]                                                             |  0.0000065050367084|      0.00100000|[35, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[6.000000000000001]                                                             |  0.0000065050367084|      0.00010000|[40, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[6.000000000000001]                                                             |  0.0000065050367084|      0.00001000|[44, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[6.000000000000001]                                                             |  0.0000065050367084|      0.00000100|[49, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[6.000000000000001]                                                             |  0.0000065050367084|      0.00000010|[53, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[6.000000100000001]                                                             |  0.0000065001463554|      0.00000100|[57, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[6.000000100000001]                                                             |  0.0000065001463554|      0.00000010|[62, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[6.000000100000001]                                                             |  0.0000065001463554|      0.00000001|[66, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[6.000000110000001]                                                             |  0.0000065000258473|      0.00000010|[70, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[6.000000110000001]                                                             |  0.0000065000258473|      0.00000001|[74, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[6.000000120000001]                                                             |  0.0000064999726419|      0.00000010|[76, 38, 0, 38]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[6.000000120000001]                                                             |  0.0000064999726419|      0.00000001|[80, 40, 0, 40]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[6.000000120000001]                                                             |  0.0000064999726419|      0.00000000|[81, 42, 0, 42]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[6.000000121000001]                                                             |  0.0000064999708229|      0.00000001|[85, 44, 0, 44]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      23|[6.000000121000001]                                                             |  0.0000064999708229|      0.00000000|[89, 46, 0, 46]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000001|[91, 48, 0, 48]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      25|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[94, 50, 0, 50]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[96, 52, 0, 52]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[6.000000122000001]                                                             |  0.0000064999699134|      0.00000000|[99, 54, 0, 54]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
