k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      0.10000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       2|[0.5094027562761918, 10.129882275284555, 1.450755214279742]                     |  0.1645169556140900|      1.00000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[0.5094027562761918, 10.129882275284555, 1.450755214279742]                     |  0.1645169556140900|      0.10000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[0.5094027562761918, 10.129882275284555, 1.450755214279742]                     |  0.1645169556140900|      0.01000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[0.5063213339554367, 10.130343601170802, 1.4402948302072136]                    |  0.1527734845876694|      0.10000000|[28, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[0.5063213339554367, 10.130343601170802, 1.4402948302072136]                    |  0.1527734845876694|      0.01000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[0.5035203480649624, 10.130623974607838, 1.4301920203431011]                    |  0.1423858255147934|      0.10000000|[39, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[0.5035203480649624, 10.130623974607838, 1.4301920203431011]                    |  0.1423858255147934|      0.01000000|[45, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[0.5013992166314124, 10.130873972997131, 1.4210855474219435]                    |  0.1338443160057068|      0.10000000|[50, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[0.5013992166314124, 10.130873972997131, 1.4210855474219435]                    |  0.1338443160057068|      0.01000000|[56, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[0.4999378479222097, 10.131315539425069, 1.4127078834216702]                    |  0.1266437619924545|      0.10000000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[0.4999378479222097, 10.131315539425069, 1.4127078834216702]                    |  0.1266437619924545|      0.01000000|[67, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[0.4987609185961731, 10.134967097185895, 1.4019824003855745]                    |  0.1181792691349983|      0.10000000|[73, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[0.4987609185961731, 10.134967097185895, 1.4019824003855745]                    |  0.1181792691349983|      0.01000000|[78, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[0.4981409479047294, 10.13515983243531, 1.3947102858708944]                     |  0.1129782348871231|      0.10000000|[83, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[0.4981409479047294, 10.13515983243531, 1.3947102858708944]                     |  0.1129782348871231|      0.01000000|[89, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      17|[0.4981757951324595, 10.136013900394236, 1.3887562066197459]                    |  0.1089867353439331|      0.10000000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[0.4981757951324595, 10.136013900394236, 1.3887562066197459]                    |  0.1089867353439331|      0.01000000|[101, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.4968071554319931, 10.134767808356141, 1.3825546691368167]                    |  0.1051100790500641|      0.10000000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[0.4968071554319931, 10.134767808356141, 1.3825546691368167]                    |  0.1051100790500641|      0.01000000|[112, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[0.4964996608940467, 10.13523213301431, 1.3761645991788858]                     |  0.1013636961579323|      0.10000000|[118, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[0.4964996608940467, 10.13523213301431, 1.3761645991788858]                     |  0.1013636961579323|      0.01000000|[123, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[0.4962564407000082, 10.136370735728688, 1.3702364176817212]                    |  0.0981072485446930|      0.10000000|[128, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[0.4962564407000082, 10.136370735728688, 1.3702364176817212]                    |  0.0981072485446930|      0.01000000|[133, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[0.4965255106242977, 10.136517119283777, 1.36553089192612]                      |  0.0956716015934944|      0.10000000|[138, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
