k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.90000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.81000000|[33, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.72900000|[49, 0, 0, 12]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.65610000|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.59049000|[81, 0, 0, 20]                                                             |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.53144100|[97, 0, 0, 24]                                                             |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.47829690|[113, 0, 0, 28]                                                            |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.43046721|[129, 0, 0, 32]                                                            |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.38742049|[145, 0, 0, 36]                                                            |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.34867844|[161, 0, 0, 40]                                                            |  | trying quadratic partial model with 5 points | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
