k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.90000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       2|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.81000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       3|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.72900000|[25, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.3860538413266248, 0.3816122320121804]                                        |  2.3406736850738525|      0.81000000|[33, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       5|[1.3860538413266248, 0.3816122320121804]                                        |  2.3406736850738525|      0.72900000|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[1.3860538413266248, 0.3816122320121804]                                        |  2.3406736850738525|      0.65610000|[49, 0, 0, 12]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[1.3860538413266248, 0.3816122320121804]                                        |  2.3406736850738525|      0.59049000|[57, 0, 0, 14]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.3860538413266248, 0.3816122320121804]                                        |  2.3406736850738525|      0.53144100|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[1.3860538413266248, 0.3816122320121804]                                        |  2.3406736850738525|      0.47829690|[73, 0, 0, 18]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[1.3860538413266248, 0.3816122320121804]                                        |  2.3406736850738525|      0.43046721|[81, 0, 0, 20]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[1.3860538413266248, 0.3816122320121804]                                        |  2.3406736850738525|      0.38742049|[89, 0, 0, 22]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
