k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|      5.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|      5.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|      1.00000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|      0.20000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[2.5485230695634398, 1.0929537312635875, -8.088587530562132]                    | 12.7270193099975586|      1.00000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[2.5485230695634398, 1.0929537312635875, -8.088587530562132]                    | 12.7270193099975586|      0.20000000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[2.4603298033993615, 0.9156560552670541, -8.06052542284478]                     | 10.1293954849243164|      1.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[2.4603298033993615, 0.9156560552670541, -8.06052542284478]                     | 10.1293954849243164|      0.20000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[2.4603298033993615, 0.9156560552670541, -8.06052542284478]                     | 10.1293954849243164|      0.04000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[2.441875912068688, 0.8801672821964769, -8.06055509944793]                      |  9.7006940841674805|      0.20000000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[2.26568276054671, 0.7989448785066544, -8.109123551097131]                      |  8.1984272003173828|      1.00000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[2.26568276054671, 0.7989448785066544, -8.109123551097131]                      |  8.1984272003173828|      0.20000000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[2.26568276054671, 0.7989448785066544, -8.109123551097131]                      |  8.1984272003173828|      0.04000000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[2.280452435077399, 0.765199830074714, -8.124716126913317]                      |  8.0243444442749023|      0.20000000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[2.181861553887705, 0.5944454941188766, -8.158224258740095]                     |  6.6582927703857422|      1.00000000|[85, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[2.181861553887705, 0.5944454941188766, -8.158224258740095]                     |  6.6582927703857422|      0.20000000|[91, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[2.181861553887705, 0.5944454941188766, -8.158224258740095]                     |  6.6582927703857422|      0.04000000|[97, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[2.1617401647955234, 0.5601852783153076, -8.153601779525008]                    |  6.4364085197448730|      0.20000000|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[2.1617401647955234, 0.5601852783153076, -8.153601779525008]                    |  6.4364085197448730|      0.04000000|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[2.1313985211614166, 0.535209152729295, -8.161056832327812]                     |  6.2174105644226074|      0.20000000|[113, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[2.1313985211614166, 0.535209152729295, -8.161056832327812]                     |  6.2174105644226074|      0.04000000|[118, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[2.116020725269427, 0.5082353471673088, -8.186274627770882]                     |  6.0645680427551270|      0.20000000|[124, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[2.116020725269427, 0.5082353471673088, -8.186274627770882]                     |  6.0645680427551270|      0.04000000|[129, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[2.0780578718998144, 0.4958033458048831, -8.184208930270776]                    |  5.8677730560302734|      0.20000000|[134, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[2.0780578718998144, 0.4958033458048831, -8.184208930270776]                    |  5.8677730560302734|      0.04000000|[140, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[2.042243480383191, 0.4779899816292992, -8.184324762226804]                     |  5.6692924499511719|      0.20000000|[146, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      28|[2.042243480383191, 0.4779899816292992, -8.184324762226804]                     |  5.6692924499511719|      0.04000000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[2.013959281875748, 0.4497359041774961, -8.183016625330652]                     |  5.4805750846862793|      0.20000000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      30|[2.013959281875748, 0.4497359041774961, -8.183016625330652]                     |  5.4805750846862793|      0.04000000|[164, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      31|[1.9793576653045322, 0.4497976627518983, -8.203084617670122]                    |  5.3425641059875488|      0.20000000|[170, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      32|[1.9793576653045322, 0.4497976627518983, -8.203084617670122]                    |  5.3425641059875488|      0.04000000|[175, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      33|[1.9818951868950632, 0.4126405214366416, -8.217675979274018]                    |  5.2671561241149902|      0.20000000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[1.9818951868950632, 0.4126405214366416, -8.217675979274018]                    |  5.2671561241149902|      0.04000000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      35|[1.9462642834825572, 0.3969817283765452, -8.22690858031109]                     |  5.0949649810791016|      0.20000000|[192, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[1.9462642834825572, 0.3969817283765452, -8.22690858031109]                     |  5.0949649810791016|      0.04000000|[197, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      37|[1.9258921857112299, 0.3755422410922426, -8.253840457657121]                    |  4.9753890037536621|      0.20000000|[203, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      38|[1.9258921857112299, 0.3755422410922426, -8.253840457657121]                    |  4.9753890037536621|      0.04000000|[209, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      39|[1.9049900922921423, 0.3582304008101694, -8.283224172138917]                    |  4.8652219772338867|      0.20000000|[214, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      40|[1.9049900922921423, 0.3582304008101694, -8.283224172138917]                    |  4.8652219772338867|      0.04000000|[219, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      41|[1.871230325908916, 0.3472844801620519, -8.301675865690326]                     |  4.7199287414550781|      0.20000000|[225, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      42|[1.871230325908916, 0.3472844801620519, -8.301675865690326]                     |  4.7199287414550781|      0.04000000|[231, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[1.8340235969184717, 0.3326020446354632, -8.301968106753842]                    |  4.5595960617065430|      0.20000000|[236, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      44|[1.8340235969184717, 0.3326020446354632, -8.301968106753842]                    |  4.5595960617065430|      0.04000000|[241, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[1.8194526718839128, 0.2966980132327353, -8.292038923873605]                    |  4.4579224586486816|      0.20000000|[246, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[1.8194526718839128, 0.2966980132327353, -8.292038923873605]                    |  4.4579224586486816|      0.04000000|[251, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      47|[1.7813852320208083, 0.3007461384641473, -8.303635591687238]                    |  4.3258709907531738|      0.20000000|[257, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      48|[1.7813852320208083, 0.3007461384641473, -8.303635591687238]                    |  4.3258709907531738|      0.04000000|[263, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      49|[1.7813852320208083, 0.3007461384641473, -8.303635591687238]                    |  4.3258709907531738|      0.00800000|[269, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      50|[1.7740975266754722, 0.2990949647233243, -8.30077849944561]                     |  4.2978987693786621|      0.04000000|[275, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      51|[1.7353936478753333, 0.2903441602717716, -8.305821632130247]                    |  4.1514549255371094|      0.20000000|[280, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      52|[1.7353936478753333, 0.2903441602717716, -8.305821632130247]                    |  4.1514549255371094|      0.04000000|[286, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[1.6980217912036688, 0.2771296393929887, -8.31118080807966]                     |  4.0080533027648926|      0.20000000|[292, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      54|[1.6980217912036688, 0.2771296393929887, -8.31118080807966]                     |  4.0080533027648926|      0.04000000|[297, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      55|[1.668599967870822, 0.2515712109120448, -8.302173974820672]                     |  3.8828663825988770|      0.20000000|[302, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      56|[1.668599967870822, 0.2515712109120448, -8.302173974820672]                     |  3.8828663825988770|      0.04000000|[307, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[1.668599967870822, 0.2515712109120448, -8.302173974820672]                     |  3.8828663825988770|      0.00800000|[313, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      58|[1.6606663540381492, 0.2513785374139361, -8.301163703333819]                    |  3.8562705516815186|      0.04000000|[318, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      59|[1.6308788231621536, 0.2689849087659369, -8.32123155553895]                     |  3.7757906913757324|      0.20000000|[323, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      60|[1.6308788231621536, 0.2689849087659369, -8.32123155553895]                     |  3.7757906913757324|      0.04000000|[329, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      61|[1.6308788231621536, 0.2689849087659369, -8.32123155553895]                     |  3.7757906913757324|      0.00800000|[335, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      62|[1.6304780888219597, 0.2612126790842751, -8.31937902813994]                     |  3.7665052413940430|      0.04000000|[341, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      63|[1.5929013052000363, 0.2687978983388855, -8.307957566697084]                    |  3.6531567573547363|      0.20000000|[346, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      64|[1.5929013052000363, 0.2687978983388855, -8.307957566697084]                    |  3.6531567573547363|      0.04000000|[352, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      65|[1.5544289844156742, 0.2578849076170624, -8.308844791003866]                    |  3.5209853649139404|      0.20000000|[358, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
