k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.0948809526749828, -0.9829609176219597, -0.1574339202563493]                 |1375.1679687500000000|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[0.2664553683145121, -1.670272290478907, -1.4514070644507278]                   |113.4007339477539062|      4.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[0.2664553683145121, -1.670272290478907, -1.4514070644507278]                   |113.4007339477539062|      2.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.2664553683145121, -1.670272290478907, -1.4514070644507278]                   |113.4007339477539062|      1.00000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.1260419807344544, -0.6890314878506587, -1.5835076618973842]                  | 50.9858398437500000|      2.00000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[0.1260419807344544, -0.6890314878506587, -1.5835076618973842]                  | 50.9858398437500000|      1.00000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.1260419807344544, -0.6890314878506587, -1.5835076618973842]                  | 50.9858398437500000|      0.50000000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.1260419807344544, -0.6890314878506587, -1.5835076618973842]                  | 50.9858398437500000|      0.25000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.3410086450672043, -0.7296521352454967, -1.7045006213242662]                  |  7.6856579780578613|      0.50000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[0.3410086450672043, -0.7296521352454967, -1.7045006213242662]                  |  7.6856579780578613|      0.25000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[0.3410086450672043, -0.7296521352454967, -1.7045006213242662]                  |  7.6856579780578613|      0.12500000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.3410086450672043, -0.7296521352454967, -1.7045006213242662]                  |  7.6856579780578613|      0.06250000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.3869960842900013, -0.7718165579912408, -1.7081839470290776]                  |  5.0552210807800293|      0.12500000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[0.5074286654678882, -0.8052797066603918, -1.707083459874243]                   |  4.1861953735351562|      0.25000000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[0.5074286654678882, -0.8052797066603918, -1.707083459874243]                   |  4.1861953735351562|      0.12500000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.4511164039301625, -0.9153585476570504, -1.725429521177399]                   |  3.2288963794708252|      0.25000000|[85, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[0.4511164039301625, -0.9153585476570504, -1.725429521177399]                   |  3.2288963794708252|      0.12500000|[91, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[0.4511164039301625, -0.9153585476570504, -1.725429521177399]                   |  3.2288963794708252|      0.06250000|[97, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[0.4511164039301625, -0.9153585476570504, -1.725429521177399]                   |  3.2288963794708252|      0.03125000|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[0.4786008873569789, -0.9021087551656929, -1.732182940289006]                   |  3.0526530742645264|      0.06250000|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      21|[0.4786008873569789, -0.9021087551656929, -1.732182940289006]                   |  3.0526530742645264|      0.03125000|[113, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[0.4667606143639941, -0.8904248146060947, -1.7057281492588094]                  |  2.9791405200958252|      0.06250000|[118, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      23|[0.4667606143639941, -0.8904248146060947, -1.7057281492588094]                  |  2.9791405200958252|      0.03125000|[124, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[0.4667606143639941, -0.8904248146060947, -1.7057281492588094]                  |  2.9791405200958252|      0.01562500|[129, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[0.4803218654865698, -0.8851791693797926, -1.7114479656151458]                  |  2.9348301887512207|      0.03125000|[134, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[0.4803218654865698, -0.8851791693797926, -1.7114479656151458]                  |  2.9348301887512207|      0.01562500|[140, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[0.4780846873601785, -0.8852953515788012, -1.6959843903258593]                  |  2.9055747985839844|      0.03125000|[146, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      28|[0.4780846873601785, -0.8852953515788012, -1.6959843903258593]                  |  2.9055747985839844|      0.01562500|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[0.4858788801540038, -0.8753697739822917, -1.6867716766611267]                  |  2.8499119281768799|      0.03125000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      30|[0.4858788801540038, -0.8753697739822917, -1.6867716766611267]                  |  2.8499119281768799|      0.01562500|[164, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[0.4858788801540038, -0.8753697739822917, -1.6867716766611267]                  |  2.8499119281768799|      0.00781250|[170, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[0.4909784310572224, -0.8705912230791787, -1.6832795157109641]                  |  2.8334841728210449|      0.01562500|[175, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[0.4940459658301184, -0.872095742798954, -1.6680326381345592]                   |  2.7964198589324951|      0.03125000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[0.4940459658301184, -0.872095742798954, -1.6680326381345592]                   |  2.7964198589324951|      0.01562500|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[0.5072481324563397, -0.8647901232875894, -1.6639741476604226]                  |  2.7762851715087891|      0.03125000|[192, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[0.5072481324563397, -0.8647901232875894, -1.6639741476604226]                  |  2.7762851715087891|      0.01562500|[197, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[0.5164207375847508, -0.8749317882974007, -1.6564143479946236]                  |  2.7717635631561279|      0.03125000|[203, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      38|[0.5164207375847508, -0.8749317882974007, -1.6564143479946236]                  |  2.7717635631561279|      0.01562500|[209, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[0.5187435326621568, -0.8608253363201543, -1.6501093293077345]                  |  2.7430064678192139|      0.03125000|[214, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      40|[0.5187435326621568, -0.8608253363201543, -1.6501093293077345]                  |  2.7430064678192139|      0.01562500|[219, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[0.5040347730390197, -0.8583898515425911, -1.654784950041608]                   |  2.7404038906097412|      0.03125000|[225, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      42|[0.5035812456780003, -0.8504485013333184, -1.6245642324825147]                  |  2.7131056785583496|      0.06250000|[231, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      43|[0.5035812456780003, -0.8504485013333184, -1.6245642324825147]                  |  2.7131056785583496|      0.03125000|[236, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[0.5035812456780003, -0.8504485013333184, -1.6245642324825147]                  |  2.7131056785583496|      0.01562500|[241, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[0.5083370678080973, -0.8464779282126453, -1.638908476274373]                   |  2.7019450664520264|      0.03125000|[246, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[0.5083370678080973, -0.8464779282126453, -1.638908476274373]                   |  2.7019450664520264|      0.01562500|[251, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[0.5060456401990303, -0.8377851346615123, -1.626128596588328]                   |  2.6976301670074463|      0.03125000|[257, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      48|[0.5060456401990303, -0.8377851346615123, -1.626128596588328]                   |  2.6976301670074463|      0.01562500|[263, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[0.5097581928100317, -0.8529155125518805, -1.6273241061053145]                  |  2.6756582260131836|      0.03125000|[269, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      50|[0.5097581928100317, -0.8529155125518805, -1.6273241061053145]                  |  2.6756582260131836|      0.01562500|[275, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      51|[0.5251536427358885, -0.8504159448894026, -1.6263898106054158]                  |  2.6498548984527588|      0.03125000|[280, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      52|[0.5251536427358885, -0.8504159448894026, -1.6263898106054158]                  |  2.6498548984527588|      0.01562500|[286, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[0.5251536427358885, -0.8504159448894026, -1.6263898106054158]                  |  2.6498548984527588|      0.00781250|[292, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[0.5177222636365214, -0.8483060344576894, -1.6252244613437619]                  |  2.6458988189697266|      0.01562500|[297, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      55|[0.5177222636365214, -0.8483060344576894, -1.6252244613437619]                  |  2.6458988189697266|      0.00781250|[302, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[0.5210333990057471, -0.8538412866325951, -1.6208162278906806]                  |  2.6321928501129150|      0.01562500|[307, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      57|[0.5210333990057471, -0.8538412866325951, -1.6208162278906806]                  |  2.6321928501129150|      0.00781250|[313, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      58|[0.5234924361260681, -0.8571628463718081, -1.6141863309390136]                  |  2.6249775886535645|      0.01562500|[318, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      59|[0.5346505517440133, -0.8627796887282492, -1.6048008015027242]                  |  2.6129376888275146|      0.03125000|[323, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      60|[0.5346505517440133, -0.8627796887282492, -1.6048008015027242]                  |  2.6129376888275146|      0.01562500|[329, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      61|[0.5240470481130286, -0.8522882121523174, -1.6094521728063689]                  |  2.6076676845550537|      0.03125000|[335, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      62|[0.5240470481130286, -0.8522882121523174, -1.6094521728063689]                  |  2.6076676845550537|      0.01562500|[341, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[0.5240470481130286, -0.8522882121523174, -1.6094521728063689]                  |  2.6076676845550537|      0.00781250|[346, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      64|[0.5292704720106617, -0.855171679129765, -1.6044087000716745]                   |  2.5957357883453369|      0.01562500|[352, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      65|[0.5263998496922363, -0.8469340384093043, -1.5914456206587586]                  |  2.5886497497558594|      0.03125000|[358, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      66|[0.5263998496922363, -0.8469340384093043, -1.5914456206587586]                  |  2.5886497497558594|      0.01562500|[364, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      67|[0.5394458788769003, -0.8385346849662588, -1.5932875243619136]                  |  2.5403990745544434|      0.03125000|[370, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      68|[0.5394458788769003, -0.8385346849662588, -1.5932875243619136]                  |  2.5403990745544434|      0.01562500|[376, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
