k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      2.00000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       2|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      1.00000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       3|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.50000000|[25, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.25000000|[33, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       5|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.12500000|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.06250000|[49, 0, 0, 12]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.03125000|[57, 0, 0, 14]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.01562500|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.00781250|[73, 0, 0, 18]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.00390625|[81, 0, 0, 20]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.00195312|[89, 0, 0, 22]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.00097656|[97, 0, 0, 24]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.00048828|[105, 0, 0, 26]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[0.0003116668543353, 0.0744915327224224]                                        |  0.0000923749030335|      0.00097656|[113, 0, 0, 28]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      15|[0.0003116668543353, 0.0744915327224224]                                        |  0.0000923749030335|      0.00048828|[121, 0, 0, 30]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      16|[0.0003104390563117, 0.0740032530160925]                                        |  0.0000899766091607|      0.00097656|[129, 0, 0, 32]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      17|[0.0003104390563117, 0.0740032530160925]                                        |  0.0000899766091607|      0.00048828|[137, 0, 0, 34]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      18|[0.0003104390563117, 0.0740032530160925]                                        |  0.0000899766091607|      0.00024414|[145, 0, 0, 36]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      19|[0.0003101106603272, 0.073759112611957]                                         |  0.0000887951318873|      0.00048828|[153, 0, 0, 38]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      20|[0.0003101106603272, 0.073759112611957]                                         |  0.0000887951318873|      0.00024414|[161, 0, 0, 40]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      21|[0.0003095763344648, 0.0735149725716701]                                        |  0.0000876253252500|      0.00048828|[169, 0, 0, 42]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      22|[0.0003095763344648, 0.0735149725716701]                                        |  0.0000876253252500|      0.00024414|[177, 0, 0, 44]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      23|[0.0003093532589221, 0.0732708320485841]                                        |  0.0000864671092131|      0.00048828|[185, 0, 0, 46]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      24|[0.0003093532589221, 0.0732708320485841]                                        |  0.0000864671092131|      0.00024414|[193, 0, 0, 48]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      25|[0.0003088783023277, 0.0730266918855801]                                        |  0.0000853204182931|      0.00048828|[201, 0, 0, 50]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      26|[0.0003088783023277, 0.0730266918855801]                                        |  0.0000853204182931|      0.00024414|[209, 0, 0, 52]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      27|[0.0003086343629713, 0.0727825513824493]                                        |  0.0000841851724545|      0.00048828|[217, 0, 0, 54]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      28|[0.0003086343629713, 0.0727825513824493]                                        |  0.0000841851724545|      0.00024414|[225, 0, 0, 56]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      29|[0.0003082709679849, 0.0725384110279]                                           |  0.0000830612916616|      0.00048828|[233, 0, 0, 58]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      30|[0.0003082709679849, 0.0725384110279]                                           |  0.0000830612916616|      0.00024414|[241, 0, 0, 60]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      31|[0.0003077683049969, 0.0722942709203688]                                        |  0.0000819487031549|      0.00048828|[249, 0, 0, 62]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      32|[0.0003077683049969, 0.0722942709203688]                                        |  0.0000819487031549|      0.00024414|[257, 0, 0, 64]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      33|[0.0003074348284379, 0.0720501305231201]                                        |  0.0000808473268989|      0.00048828|[265, 0, 0, 66]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
