k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.50000000|[15, 2, 0, 2]                                                              |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.25000000|[28, 4, 0, 4]                                                              |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.12500000|[41, 6, 0, 6]                                                              |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.06250000|[55, 8, 0, 8]                                                              |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       5|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.03125000|[68, 10, 0, 10]                                                            |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       6|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.01562500|[81, 12, 0, 12]                                                            |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       7|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.00781250|[94, 14, 0, 14]                                                            |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       8|[0.2422374872276546, 0.3898553946659668, 0.4155250839798177, 0.3893057897863891]|  0.0044347988441586|      0.01562500|[107, 16, 0, 16]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
       9|[0.2422374872276546, 0.3898553946659668, 0.4155250839798177, 0.3893057897863891]|  0.0044347988441586|      0.00781250|[120, 18, 0, 18]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      10|[0.2345893845773301, 0.3904771406064592, 0.415788905296875, 0.3878616594604671] |  0.0038786465302110|      0.01562500|[133, 20, 0, 20]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      11|[0.2345893845773301, 0.3904771406064592, 0.415788905296875, 0.3878616594604671] |  0.0038786465302110|      0.00781250|[146, 22, 0, 22]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      12|[0.2345893845773301, 0.3904771406064592, 0.415788905296875, 0.3878616594604671] |  0.0038786465302110|      0.00390625|[159, 24, 0, 24]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      13|[0.2309263452661347, 0.3913559703685415, 0.4158352240246511, 0.3868289712733204]|  0.0037085663061589|      0.00781250|[172, 26, 0, 26]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      14|[0.2309263452661347, 0.3913559703685415, 0.4158352240246511, 0.3868289712733204]|  0.0037085663061589|      0.00390625|[185, 28, 0, 28]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      15|[0.2309263452661347, 0.3913559703685415, 0.4158352240246511, 0.3868289712733204]|  0.0037085663061589|      0.00195312|[198, 30, 0, 30]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      16|[0.229475965644623, 0.3921031189367031, 0.415782913783612, 0.3857565306572931]  |  0.0036399345844984|      0.00390625|[211, 32, 0, 32]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      17|[0.229475965644623, 0.3921031189367031, 0.415782913783612, 0.3857565306572931]  |  0.0036399345844984|      0.00195312|[224, 34, 0, 34]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      18|[0.2282601362238193, 0.3929822561424428, 0.4156918102239144, 0.3845094244067964]|  0.0035779671743512|      0.00390625|[237, 36, 0, 36]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      19|[0.2282601362238193, 0.3929822561424428, 0.4156918102239144, 0.3845094244067964]|  0.0035779671743512|      0.00195312|[250, 38, 0, 38]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      20|[0.2272641203539993, 0.3939624868923399, 0.4154803108444294, 0.383161438745847] |  0.0035199471749365|      0.00390625|[264, 40, 0, 40]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      21|[0.2272641203539993, 0.3939624868923399, 0.4154803108444294, 0.383161438745847] |  0.0035199471749365|      0.00195312|[277, 42, 0, 42]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      22|[0.2266899783020574, 0.3951421549149304, 0.4152805575519729, 0.3817284208993261]|  0.0034635548945516|      0.00390625|[290, 44, 0, 44]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      23|[0.2266899783020574, 0.3951421549149304, 0.4152805575519729, 0.3817284208993261]|  0.0034635548945516|      0.00195312|[304, 46, 0, 46]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      24|[0.22594048200634, 0.3962394019177384, 0.4151957663166205, 0.3802995010171888]  |  0.0034085649531335|      0.00390625|[317, 48, 0, 48]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      25|[0.22594048200634, 0.3962394019177384, 0.4151957663166205, 0.3802995010171888]  |  0.0034085649531335|      0.00195312|[330, 50, 0, 50]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      26|[0.2255034369342773, 0.3973888912482834, 0.4149857504451237, 0.3787967513762661]|  0.0033537296112627|      0.00390625|[343, 52, 0, 52]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      27|[0.2255034369342773, 0.3973888912482834, 0.4149857504451237, 0.3787967513762661]|  0.0033537296112627|      0.00195312|[356, 54, 0, 54]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      28|[0.2251628652728045, 0.3984956991993047, 0.4147310272221921, 0.3772447203043214]|  0.0032992688938975|      0.00390625|[369, 56, 0, 56]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      29|[0.2251628652728045, 0.3984956991993047, 0.4147310272221921, 0.3772447203043214]|  0.0032992688938975|      0.00195312|[383, 58, 0, 58]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      30|[0.2248158375861645, 0.3996197596539285, 0.4145067872896218, 0.3757018419561286]|  0.0032451315782964|      0.00390625|[396, 60, 0, 60]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
