k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.10000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.1031718447259202, 0.9750138369048245]                                       |10557.6992187500000000|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[-1.1031718447259202, 0.9750138369048245]                                       |10557.6992187500000000|      0.10000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-1.00658448082324, 0.9491124636915906]                                         |3952.5236816406250000|      1.00000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[-1.00658448082324, 0.9491124636915906]                                         |3952.5236816406250000|      0.10000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-0.9136359060672214, 0.9122266608560168]                                       |1408.8199462890625000|      1.00000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[-0.9136359060672214, 0.9122266608560168]                                       |1408.8199462890625000|      0.10000000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.8198570063422871, 0.8775060910683434]                                       |465.9905090332031250|      1.00000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[-0.8198570063422871, 0.8775060910683434]                                       |465.9905090332031250|      0.10000000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.7199148052652449, 0.8809055680687142]                                       |142.7452850341796875|      1.00000000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[-0.7199148052652449, 0.8809055680687142]                                       |142.7452850341796875|      0.10000000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-0.6268392183820963, 0.844341444581921]                                        | 39.4931068420410156|      1.00000000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[-0.6268392183820963, 0.844341444581921]                                        | 39.4931068420410156|      0.10000000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.5287346265514757, 0.8249639044452749]                                       |  9.3665447235107422|      1.00000000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[-0.5287346265514757, 0.8249639044452749]                                       |  9.3665447235107422|      0.10000000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[-0.4296069404357126, 0.8381435040345925]                                       |  1.9708952903747559|      1.00000000|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[-0.4296069404357126, 0.8381435040345925]                                       |  1.9708952903747559|      0.10000000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[-0.3326264505246003, 0.8137552983482237]                                       |  0.3265487849712372|      1.00000000|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[-0.3326264505246003, 0.8137552983482237]                                       |  0.3265487849712372|      0.10000000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[-0.2377365324968238, 0.8453132364412275]                                       |  0.0442088022828102|      1.00000000|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      21|[-0.2377365324968238, 0.8453132364412275]                                       |  0.0442088022828102|      0.10000000|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[-0.1457104115801625, 0.8844436986034869]                                       |  0.0035442684311420|      1.00000000|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      23|[-0.1457104115801625, 0.8844436986034869]                                       |  0.0035442684311420|      0.10000000|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[-0.1457104115801625, 0.8844436986034869]                                       |  0.0035442684311420|      0.01000000|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[-0.1357470680733223, 0.885299143613237]                                        |  0.0025673967320472|      0.10000000|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[-0.1357470680733223, 0.885299143613237]                                        |  0.0025673967320472|      0.01000000|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[-0.1357470680733223, 0.885299143613237]                                        |  0.0025673967320472|      0.00100000|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[-0.1347513163331605, 0.8853912222316269]                                       |  0.0024841099511832|      0.01000000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      29|[-0.1347513163331605, 0.8853912222316269]                                       |  0.0024841099511832|      0.00100000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      30|[-0.1337557673417607, 0.885485467686281]                                        |  0.0024031877983361|      0.01000000|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[-0.1337557673417607, 0.885485467686281]                                        |  0.0024031877983361|      0.00100000|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      32|[-0.1327608128740568, 0.8855857951859809]                                       |  0.0023245713673532|      0.01000000|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[-0.1327608128740568, 0.8855857951859809]                                       |  0.0023245713673532|      0.00100000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      34|[-0.131765617655159, 0.8856837057384407]                                        |  0.0022482029162347|      0.01000000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      35|[-0.131765617655159, 0.8856837057384407]                                        |  0.0022482029162347|      0.00100000|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      36|[-0.1307701249417385, 0.8857785437979248]                                       |  0.0021740272641182|      0.01000000|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[-0.1307701249417385, 0.8857785437979248]                                       |  0.0021740272641182|      0.00100000|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[-0.1297751521614538, 0.8858786895242069]                                       |  0.0021019878331572|      0.01000000|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      39|[-0.1297751521614538, 0.8858786895242069]                                       |  0.0021019878331572|      0.00100000|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      40|[-0.1287802427786389, 0.8859794631317978]                                       |  0.0020320313051343|      0.01000000|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
