k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[3.0, 0.1]                                                                      | 87.6860481455954357|      0.20000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[2.827702901146477, -0.0015564361656081]                                        | 64.9594802856445312|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[1.8428291772722427, -0.1748300579956437]                                       | 11.5348682403564453|      5.00000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[1.8428291772722427, -0.1748300579956437]                                       | 11.5348682403564453|      1.00000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[1.8428291772722427, -0.1748300579956437]                                       | 11.5348682403564453|      0.20000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[1.663597645495721, -0.2635772157926221]                                        |  7.6765451431274414|      1.00000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[1.663597645495721, -0.2635772157926221]                                        |  7.6765451431274414|      0.20000000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.483171279434598, -0.3498693152570432]                                        |  5.1266994476318359|      1.00000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[1.483171279434598, -0.3498693152570432]                                        |  5.1266994476318359|      0.20000000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.2930302118768486, -0.4118884609138437]                                       |  3.4780054092407227|      1.00000000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[1.2930302118768486, -0.4118884609138437]                                       |  3.4780054092407227|      0.20000000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[1.1008715561908518, -0.4673416037007991]                                       |  2.4307603836059570|      1.00000000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[1.1008715561908518, -0.4673416037007991]                                       |  2.4307603836059570|      0.20000000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
