k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      | 24.0625000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0]                                                                      | 24.0625000000000000|      0.50000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.0, 0.0]                                                                      | 24.0625000000000000|      0.25000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.0, 0.0]                                                                      | 24.0625000000000000|      0.12500000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.1248897973870848, 0.0052477146085623]                                        | 20.7545738220214844|      0.25000000|[26, 9, 0, 9]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[0.3696948725096744, 0.0559475685947757]                                        | 14.4428119659423828|      0.50000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       6|[0.8165658569255705, 0.2802382801438]                                           |  2.4729967117309570|      1.00000000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       7|[0.8165658569255705, 0.2802382801438]                                           |  2.4729967117309570|      0.50000000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.8165658569255705, 0.2802382801438]                                           |  2.4729967117309570|      0.25000000|[52, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.8165658569255705, 0.2802382801438]                                           |  2.4729967117309570|      0.12500000|[60, 21, 0, 21]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.8165658569255705, 0.2802382801438]                                           |  2.4729967117309570|      0.06250000|[66, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.8165658569255705, 0.2802382801438]                                           |  2.4729967117309570|      0.03125000|[74, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.8286523641496395, 0.3090563099710197]                                        |  1.9377572536468506|      0.06250000|[80, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      13|[0.8286523641496395, 0.3090563099710197]                                        |  1.9377572536468506|      0.03125000|[87, 31, 0, 31]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.838123119269769, 0.3388366272536569]                                         |  1.5132851600646973|      0.06250000|[92, 33, 0, 33]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      15|[0.838123119269769, 0.3388366272536569]                                         |  1.5132851600646973|      0.03125000|[99, 36, 0, 36]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.8470832100792453, 0.3687745509072095]                                        |  1.2269880771636963|      0.06250000|[105, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      17|[0.8470832100792453, 0.3687745509072095]                                        |  1.2269880771636963|      0.03125000|[112, 41, 0, 41]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[0.8470832100792453, 0.3687745509072095]                                        |  1.2269880771636963|      0.01562500|[118, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[0.8469783426084252, 0.3843991989932805]                                        |  1.1377606391906738|      0.03125000|[125, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      20|[0.8219289808423869, 0.4030832021808776]                                        |  1.0264983177185059|      0.06250000|[132, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      21|[0.8219289808423869, 0.4030832021808776]                                        |  1.0264983177185059|      0.03125000|[138, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[0.8219289808423869, 0.4030832021808776]                                        |  1.0264983177185059|      0.01562500|[144, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[0.8219289808423869, 0.4030832021808776]                                        |  1.0264983177185059|      0.00781250|[151, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[0.8219289808423869, 0.4030832021808776]                                        |  1.0264983177185059|      0.00390625|[157, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[0.8205501030691926, 0.4067379915248878]                                        |  1.0105469226837158|      0.00781250|[162, 60, 0, 60]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      26|[0.8183639528522854, 0.4142383850798366]                                        |  0.9831786751747131|      0.01562500|[168, 62, 0, 62]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      27|[0.8183639528522854, 0.4142383850798366]                                        |  0.9831786751747131|      0.00781250|[176, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[0.8183639528522854, 0.4142383850798366]                                        |  0.9831786751747131|      0.00390625|[182, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[0.816286806610173, 0.417546594950957]                                          |  0.9704762101173401|      0.00781250|[188, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      30|[0.8107606845772882, 0.4230690157541614]                                        |  0.9455872774124146|      0.01562500|[193, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      31|[0.798823084564709, 0.433150401122238]                                          |  0.8976357579231262|      0.03125000|[198, 73, 0, 73]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      32|[0.798823084564709, 0.433150401122238]                                          |  0.8976357579231262|      0.01562500|[205, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[0.798823084564709, 0.433150401122238]                                          |  0.8976357579231262|      0.00781250|[213, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[0.7930165314297476, 0.4383771684731796]                                        |  0.8747676014900208|      0.01562500|[218, 81, 0, 81]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      35|[0.7783007766061767, 0.4436295188968042]                                        |  0.8297809362411499|      0.03125000|[223, 83, 0, 83]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      36|[0.7783007766061767, 0.4436295188968042]                                        |  0.8297809362411499|      0.01562500|[230, 86, 0, 86]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[0.7783007766061767, 0.4436295188968042]                                        |  0.8297809362411499|      0.00781250|[236, 88, 0, 88]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[0.7783007766061767, 0.4436295188968042]                                        |  0.8297809362411499|      0.00390625|[242, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[0.774987873036629, 0.4456991708002357]                                         |  0.8185588717460632|      0.00781250|[247, 92, 0, 92]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      40|[0.7684729918111542, 0.4500109545225433]                                        |  0.7963210344314575|      0.01562500|[254, 95, 0, 95]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      41|[0.7538030619069168, 0.4553899675923136]                                        |  0.7577362060546875|      0.03125000|[262, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      42|[0.7538030619069168, 0.4553899675923136]                                        |  0.7577362060546875|      0.01562500|[268, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[0.7538030619069168, 0.4553899675923136]                                        |  0.7577362060546875|      0.00781250|[274, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[0.7496659280737424, 0.4620171298731397]                                        |  0.7352787852287292|      0.01562500|[279, 104, 0, 104]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      45|[0.7372468017539702, 0.4714990034460966]                                        |  0.6938816905021667|      0.03125000|[284, 106, 0, 106]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      46|[0.7372468017539702, 0.4714990034460966]                                        |  0.6938816905021667|      0.01562500|[292, 109, 0, 109]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[0.7372468017539702, 0.4714990034460966]                                        |  0.6938816905021667|      0.00781250|[298, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      48|[0.7372468017539702, 0.4714990034460966]                                        |  0.6938816905021667|      0.00390625|[304, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[0.7339674714250203, 0.473621450537576]                                         |  0.6839303374290466|      0.00781250|[309, 115, 0, 115]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      50|[0.7339674714250203, 0.473621450537576]                                         |  0.6839303374290466|      0.00390625|[317, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      51|[0.7315285274725434, 0.4766727357519039]                                        |  0.6740758419036865|      0.00781250|[325, 121, 0, 121]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      52|[0.7252730375072349, 0.4813529068538964]                                        |  0.6545138955116272|      0.01562500|[330, 123, 0, 123]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      53|[0.7100925647196725, 0.4850534299177451]                                        |  0.6243845820426941|      0.03125000|[335, 125, 0, 125]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      54|[0.7100925647196725, 0.4850534299177451]                                        |  0.6243845820426941|      0.01562500|[341, 127, 0, 127]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      55|[0.7100925647196725, 0.4850534299177451]                                        |  0.6243845820426941|      0.00781250|[347, 129, 0, 129]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[0.7100925647196725, 0.4850534299177451]                                        |  0.6243845820426941|      0.00390625|[354, 132, 0, 132]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      57|[0.7089864963064554, 0.4887998150725021]                                        |  0.6139395236968994|      0.00781250|[362, 135, 0, 135]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      58|[0.7089864963064554, 0.4887998150725021]                                        |  0.6139395236968994|      0.00390625|[370, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[0.7089864963064554, 0.4887998150725021]                                        |  0.6139395236968994|      0.00195312|[376, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[0.7081397605539779, 0.4905598536604601]                                        |  0.6090911626815796|      0.00390625|[381, 142, 0, 142]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      61|[0.705264608298695, 0.4932041472469293]                                         |  0.5997384786605835|      0.00781250|[386, 144, 0, 144]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      62|[0.7005307764242042, 0.499419128504669]                                         |  0.5818617939949036|      0.01562500|[392, 146, 0, 146]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      63|[0.686855838954654, 0.506978011372123]                                          |  0.5481811761856079|      0.03125000|[397, 148, 0, 148]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      64|[0.686855838954654, 0.506978011372123]                                          |  0.5481811761856079|      0.01562500|[403, 150, 0, 150]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      65|[0.686855838954654, 0.506978011372123]                                          |  0.5481811761856079|      0.00781250|[410, 153, 0, 153]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      66|[0.6820308120100305, 0.5131224618140793]                                        |  0.5315421819686890|      0.01562500|[417, 156, 0, 156]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      67|[0.6820308120100305, 0.5131224618140793]                                        |  0.5315421819686890|      0.00781250|[424, 159, 0, 159]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      68|[0.6820308120100305, 0.5131224618140793]                                        |  0.5315421819686890|      0.00390625|[432, 162, 0, 162]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
