k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.5775889522871476, 2.093595616311279]                                         |103.9862213134765625|     10.00000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[1.5775889522871476, 2.093595616311279]                                         |103.9862213134765625|      1.00000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[1.2876428368809496, 1.1365526443602514]                                        |  1.5443565845489502|     10.00000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[1.2876428368809496, 1.1365526443602514]                                        |  1.5443565845489502|      1.00000000|[28, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.2876428368809496, 1.1365526443602514]                                        |  1.5443565845489502|      0.10000000|[36, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       6|[1.225943177007204, 1.0578560626589848]                                         |  0.5781176686286926|      1.00000000|[42, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       7|[1.225943177007204, 1.0578560626589848]                                         |  0.5781176686286926|      0.10000000|[50, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[1.1645308894420283, 0.9789350202430857]                                        |  0.1125575229525566|      1.00000000|[55, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[1.1645308894420283, 0.9789350202430857]                                        |  0.1125575229525566|      0.10000000|[63, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.1645308894420283, 0.9789350202430857]                                        |  0.1125575229525566|      0.01000000|[71, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      11|[1.1581376620825756, 0.9712456350966421]                                        |  0.0886576175689697|      0.10000000|[77, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      12|[1.1581376620825756, 0.9712456350966421]                                        |  0.0886576175689697|      0.01000000|[84, 31, 0, 31]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      13|[1.1509516733006624, 0.9642913870980286]                                        |  0.0683459937572479|      0.10000000|[89, 33, 0, 33]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      14|[1.1509516733006624, 0.9642913870980286]                                        |  0.0683459937572479|      0.01000000|[96, 36, 0, 36]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      15|[1.1443329127259367, 0.956795254198029]                                         |  0.0515765398740768|      0.10000000|[102, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      16|[1.1443329127259367, 0.956795254198029]                                         |  0.0515765398740768|      0.01000000|[109, 41, 0, 41]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      17|[1.1368561318585644, 0.9501546406826004]                                        |  0.0381368435919285|      0.10000000|[115, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      18|[1.1368561318585644, 0.9501546406826004]                                        |  0.0381368435919285|      0.01000000|[122, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.1294435378594843, 0.9434424539893683]                                        |  0.0279519800096750|      0.10000000|[127, 48, 0, 48]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      20|[1.1294435378594843, 0.9434424539893683]                                        |  0.0279519800096750|      0.01000000|[135, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      21|[1.1214055385427588, 0.9374934568483099]                                        |  0.0208222996443510|      0.10000000|[141, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      22|[1.1214055385427588, 0.9374934568483099]                                        |  0.0208222996443510|      0.01000000|[148, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      23|[1.112107932476875, 0.9338118102813999]                                         |  0.0163344480097294|      0.10000000|[154, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      24|[1.112107932476875, 0.9338118102813999]                                         |  0.0163344480097294|      0.01000000|[162, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.112107932476875, 0.9338118102813999]                                         |  0.0163344480097294|      0.00100000|[168, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
