k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.20000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.001924988153568, 0.9723180621697871]                                        |3954.3686523437500000|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[-1.001924988153568, 0.9723180621697871]                                        |3954.3686523437500000|      0.20000000|[18, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-0.8105156263912863, 0.9143313720611422]                                       |452.4665832519531250|      1.00000000|[24, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[-0.8105156263912863, 0.9143313720611422]                                       |452.4665832519531250|      0.20000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-0.611436798101961, 0.9335047944721098]                                        | 38.0933227539062500|      1.00000000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       7|[-0.611436798101961, 0.9335047944721098]                                        | 38.0933227539062500|      0.20000000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.4128059685401553, 0.910142569672471]                                        |  1.6411554813385010|      1.00000000|[49, 17, 0, 17]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[-0.4128059685401553, 0.910142569672471]                                        |  1.6411554813385010|      0.20000000|[56, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.2146606279469656, 0.882968611528526]                                        |  0.0248424038290977|      1.00000000|[61, 22, 0, 22]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      11|[-0.2146606279469656, 0.882968611528526]                                        |  0.0248424038290977|      0.20000000|[67, 24, 0, 24]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[-0.2146606279469656, 0.882968611528526]                                        |  0.0248424038290977|      0.04000000|[73, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[-0.174890951202702, 0.8786822597397919]                                        |  0.0085734436288476|      0.20000000|[79, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      14|[-0.174890951202702, 0.8786822597397919]                                        |  0.0085734436288476|      0.04000000|[86, 31, 0, 31]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      15|[-0.1349198820800124, 0.8771611965625475]                                       |  0.0025623850524426|      0.20000000|[91, 33, 0, 33]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      16|[-0.1349198820800124, 0.8771611965625475]                                       |  0.0025623850524426|      0.04000000|[98, 36, 0, 36]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[-0.0953672580913214, 0.8831269266611381]                                       |  0.0006078812875785|      0.20000000|[104, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      18|[-0.0953672580913214, 0.8831269266611381]                                       |  0.0006078812875785|      0.04000000|[111, 41, 0, 41]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      19|[-0.0953672580913214, 0.8831269266611381]                                       |  0.0006078812875785|      0.00800000|[117, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[-0.0874402697586136, 0.884205284659724]                                        |  0.0004374228010420|      0.04000000|[122, 45, 0, 45]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      21|[-0.0874402697586136, 0.884205284659724]                                        |  0.0004374228010420|      0.00800000|[128, 47, 0, 47]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[-0.079482351057609, 0.8850247539686126]                                        |  0.0003089691454079|      0.04000000|[133, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      23|[-0.079482351057609, 0.8850247539686126]                                        |  0.0003089691454079|      0.00800000|[139, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[-0.0715576986956862, 0.8861201465661188]                                       |  0.0002133578527719|      0.04000000|[145, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      25|[-0.0715576986956862, 0.8861201465661188]                                       |  0.0002133578527719|      0.00800000|[152, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      26|[-0.0715576986956862, 0.8861201465661188]                                       |  0.0002133578527719|      0.00160000|[158, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[-0.0699745655858435, 0.886351856636076]                                        |  0.0001975182240130|      0.00800000|[163, 60, 0, 60]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      28|[-0.0699745655858435, 0.886351856636076]                                        |  0.0001975182240130|      0.00160000|[169, 62, 0, 62]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[-0.0683914855443282, 0.8865839290001264]                                       |  0.0001826483785408|      0.00800000|[174, 64, 0, 64]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      30|[-0.0683914855443282, 0.8865839290001264]                                       |  0.0001826483785408|      0.00160000|[180, 66, 0, 66]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      31|[-0.0668090723481509, 0.8868205055766589]                                       |  0.0001686992327450|      0.00800000|[186, 68, 0, 68]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      32|[-0.0668090723481509, 0.8868205055766589]                                       |  0.0001686992327450|      0.00160000|[193, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      33|[-0.0652252048126827, 0.8870471410330418]                                       |  0.0001556244533276|      0.00800000|[198, 73, 0, 73]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      34|[-0.0652252048126827, 0.8870471410330418]                                       |  0.0001556244533276|      0.00160000|[205, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      35|[-0.0636440330926698, 0.887291877609449]                                        |  0.0001433782890672|      0.00800000|[210, 78, 0, 78]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      36|[-0.0636440330926698, 0.887291877609449]                                        |  0.0001433782890672|      0.00160000|[217, 81, 0, 81]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      37|[-0.0620613541286044, 0.8875266696380724]                                       |  0.0001319182629231|      0.00800000|[222, 83, 0, 83]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      38|[-0.0620613541286044, 0.8875266696380724]                                       |  0.0001319182629231|      0.00160000|[229, 86, 0, 86]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      39|[-0.060482217752117, 0.8877842124586944]                                        |  0.0001212036149809|      0.00800000|[235, 88, 0, 88]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      40|[-0.060482217752117, 0.8877842124586944]                                        |  0.0001212036149809|      0.00160000|[241, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      41|[-0.058899134896888, 0.8880162656282055]                                        |  0.0001111943565775|      0.00800000|[246, 92, 0, 92]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      42|[-0.058899134896888, 0.8880162656282055]                                        |  0.0001111943565775|      0.00160000|[253, 95, 0, 95]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      43|[-0.057316134767733, 0.8882488824614212]                                        |  0.0001018532202579|      0.00800000|[258, 97, 0, 97]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      44|[-0.057316134767733, 0.8882488824614212]                                        |  0.0001018532202579|      0.00160000|[264, 99, 0, 99]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[-0.0557394401667884, 0.888520974606387]                                        |  0.0000931454633246|      0.00800000|[270, 101, 0, 101]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      46|[-0.0557394401667884, 0.888520974606387]                                        |  0.0000931454633246|      0.00160000|[276, 103, 0, 103]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      47|[-0.0541593362361779, 0.8887725130099534]                                       |  0.0000850342112244|      0.00800000|[282, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      48|[-0.0541593362361779, 0.8887725130099534]                                       |  0.0000850342112244|      0.00160000|[289, 108, 0, 108]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      49|[-0.0525824890870619, 0.8890437196992591]                                       |  0.0000774891013862|      0.00800000|[294, 110, 0, 110]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      50|[-0.0525824890870619, 0.8890437196992591]                                       |  0.0000774891013862|      0.00160000|[302, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
