k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |749.0383999999999105|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.3523386544900162, 0.4694623073445165]                                       | 28.1665019989013672|      5.00000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[-0.3523386544900162, 0.4694623073445165]                                       | 28.1665019989013672|      1.00000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-0.3523386544900162, 0.4694623073445165]                                       | 28.1665019989013672|      0.20000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-0.2682069908061127, 0.2880184781141497]                                       | 11.0524120330810547|      1.00000000|[26, 9, 0, 9]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[-0.2682069908061127, 0.2880184781141497]                                       | 11.0524120330810547|      0.20000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-0.2072513746643084, 0.0975337993056612]                                       |  2.5903158187866211|      1.00000000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       7|[-0.2072513746643084, 0.0975337993056612]                                       |  2.5903158187866211|      0.20000000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.2072513746643084, 0.0975337993056612]                                       |  2.5903158187866211|      0.04000000|[52, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.1995844836350666, 0.058275439916281]                                        |  1.8775870800018311|      0.20000000|[57, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      10|[-0.04921897583721, -0.0735965209574875]                                        |  1.6407516002655029|      1.00000000|[65, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      11|[-0.04921897583721, -0.0735965209574875]                                        |  1.6407516002655029|      0.20000000|[73, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      12|[-0.04921897583721, -0.0735965209574875]                                        |  1.6407516002655029|      0.04000000|[79, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[-0.0496871636597629, -0.0335992610493037]                                      |  1.2139114141464233|      0.20000000|[84, 30, 0, 30]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      14|[-0.0496871636597629, -0.0335992610493037]                                      |  1.2139114141464233|      0.04000000|[91, 33, 0, 33]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      15|[-0.0321447517687698, 0.0023488096228026]                                       |  1.0658901929855347|      0.20000000|[96, 35, 0, 35]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
