k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[5.2]                                                                           |61302.9768075899992255|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[6.2]                                                                           |12846.5410156250000000|      2.00000000|[5, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[6.2]                                                                           |12846.5410156250000000|      1.00000000|[7, 4, 0, 4]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[6.2]                                                                           |12846.5410156250000000|      0.50000000|[8, 6, 0, 6]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[6.2]                                                                           |12846.5410156250000000|      0.25000000|[9, 8, 0, 8]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[5.95]                                                                          |823.8391113281250000|      0.50000000|[11, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       6|[5.95]                                                                          |823.8391113281250000|      0.25000000|[13, 12, 0, 12]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[5.95]                                                                          |823.8391113281250000|      0.12500000|[14, 14, 0, 14]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[5.95]                                                                          |823.8391113281250000|      0.06250000|[15, 16, 0, 16]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[6.0125]                                                                        | 52.5319366455078125|      0.12500000|[17, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      10|[6.0125]                                                                        | 52.5319366455078125|      0.06250000|[19, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[6.0125]                                                                        | 52.5319366455078125|      0.03125000|[20, 22, 0, 22]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[6.0125]                                                                        | 52.5319366455078125|      0.01562500|[23, 24, 0, 24]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[5.996875]                                                                      |  3.2717132568359375|      0.03125000|[24, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      14|[5.996875]                                                                      |  3.2717132568359375|      0.01562500|[25, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[5.996875]                                                                      |  3.2717132568359375|      0.00781250|[26, 30, 0, 30]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[5.996875]                                                                      |  3.2717132568359375|      0.00390625|[27, 32, 0, 32]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[6.00078125]                                                                    |  0.2046115547418594|      0.00781250|[30, 34, 0, 34]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      18|[6.00078125]                                                                    |  0.2046115547418594|      0.00390625|[31, 36, 0, 36]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[6.00078125]                                                                    |  0.2046115547418594|      0.00195312|[32, 38, 0, 38]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[6.00078125]                                                                    |  0.2046115547418594|      0.00097656|[33, 40, 0, 40]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[5.9998046875]                                                                  |  0.0128113310784101|      0.00195312|[35, 42, 0, 42]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      22|[5.9998046875]                                                                  |  0.0128113310784101|      0.00097656|[36, 44, 0, 44]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[5.9998046875]                                                                  |  0.0128113310784101|      0.00048828|[37, 46, 0, 46]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[5.9998046875]                                                                  |  0.0128113310784101|      0.00024414|[39, 48, 0, 48]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[6.000048828125]                                                                |  0.0008018242660910|      0.00048828|[40, 50, 0, 50]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
