k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.609553617497106, 0.0519686181864622, 0.1352853357785249, 0.7793853527255101, -2.6994897e-09, -1.086920568e-07, 1.44826971e-08, -6.64428622e-08, -2.8907761e-08, 8.21113743e-08, -5.29401489e-08, 2.376422719e-07, -2.4045045e-08, -1.995109413e-07, 2.43209221e-08, 8.10860233e-08, -1.964871755e-07, -5.85320581e-08, 2.29673622e-08, 2.824421e-10, 1.693881929e-07, 5.57579756e-08]| 13.1512060165405273|      1.11111111|[129, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       2|[0.609553617497106, 0.0519686181864622, 0.1352853357785249, 0.7793853527255101, -2.6994897e-09, -1.086920568e-07, 1.44826971e-08, -6.64428622e-08, -2.8907761e-08, 8.21113743e-08, -5.29401489e-08, 2.376422719e-07, -2.4045045e-08, -1.995109413e-07, 2.43209221e-08, 8.10860233e-08, -1.964871755e-07, -5.85320581e-08, 2.29673622e-08, 2.824421e-10, 1.693881929e-07, 5.57579756e-08]| 13.1512060165405273|      1.00000000|[257, 0, 0, 4]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       3|[0.609553617497106, 0.0519686181864622, 0.1352853357785249, 0.7793853527255101, -2.6994897e-09, -1.086920568e-07, 1.44826971e-08, -6.64428622e-08, -2.8907761e-08, 8.21113743e-08, -5.29401489e-08, 2.376422719e-07, -2.4045045e-08, -1.995109413e-07, 2.43209221e-08, 8.10860233e-08, -1.964871755e-07, -5.85320581e-08, 2.29673622e-08, 2.824421e-10, 1.693881929e-07, 5.57579756e-08]| 13.1512060165405273|      0.90000000|[385, 0, 0, 6]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       4|[0.609553617497106, 0.0519686181864622, 0.1352853357785249, 0.7793853527255101, -2.6994897e-09, -1.086920568e-07, 1.44826971e-08, -6.64428622e-08, -2.8907761e-08, 8.21113743e-08, -5.29401489e-08, 2.376422719e-07, -2.4045045e-08, -1.995109413e-07, 2.43209221e-08, 8.10860233e-08, -1.964871755e-07, -5.85320581e-08, 2.29673622e-08, 2.824421e-10, 1.693881929e-07, 5.57579756e-08]| 13.1512060165405273|      0.81000000|[513, 0, 0, 8]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       5|[0.609553617497106, 0.0519686181864622, 0.1352853357785249, 0.7793853527255101, -2.6994897e-09, -1.086920568e-07, 1.44826971e-08, -6.64428622e-08, -2.8907761e-08, 8.21113743e-08, -5.29401489e-08, 2.376422719e-07, -2.4045045e-08, -1.995109413e-07, 2.43209221e-08, 8.10860233e-08, -1.964871755e-07, -5.85320581e-08, 2.29673622e-08, 2.824421e-10, 1.693881929e-07, 5.57579756e-08]| 13.1512060165405273|      0.72900000|[641, 0, 0, 10]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       6|[0.609553617497106, 0.0519686181864622, 0.1352853357785249, 0.7793853527255101, -2.6994897e-09, -1.086920568e-07, 1.44826971e-08, -6.64428622e-08, -2.8907761e-08, 8.21113743e-08, -5.29401489e-08, 2.376422719e-07, -2.4045045e-08, -1.995109413e-07, 2.43209221e-08, 8.10860233e-08, -1.964871755e-07, -5.85320581e-08, 2.29673622e-08, 2.824421e-10, 1.693881929e-07, 5.57579756e-08]| 13.1512060165405273|      0.65610000|[769, 0, 0, 12]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       7|[1.0091911686086514, 0.085943481438619, 0.2241147981186571, 1.2909633751509262, 2.24693369e-08, -1.29293283e-07, -2.75334629e-08, -9.7676058e-08, -2.408037021e-07, 1.001859979e-07, -1.629518251e-07, 1.724317427e-07, -8.712059e-10, -2.868085586e-07, -1.203099532e-07, -1.99720087e-08, -1.971175766e-07, -2.157962717e-07, 5.50273763e-08, 1.022380288e-07, 1.573515845e-07, -2.39136538e-07]| 12.4502849578857422|      0.72900000|[897, 0, 0, 14]                                                            |  | trying linear partial model with 65 points | iterate success | actual_k=0
       8|[1.0091911686086514, 0.085943481438619, 0.2241147981186571, 1.2909633751509262, 2.24693369e-08, -1.29293283e-07, -2.75334629e-08, -9.7676058e-08, -2.408037021e-07, 1.001859979e-07, -1.629518251e-07, 1.724317427e-07, -8.712059e-10, -2.868085586e-07, -1.203099532e-07, -1.99720087e-08, -1.971175766e-07, -2.157962717e-07, 5.50273763e-08, 1.022380288e-07, 1.573515845e-07, -2.39136538e-07]| 12.4502849578857422|      0.65610000|[1025, 0, 0, 16]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       9|[1.0091911686086514, 0.085943481438619, 0.2241147981186571, 1.2909633751509262, 2.24693369e-08, -1.29293283e-07, -2.75334629e-08, -9.7676058e-08, -2.408037021e-07, 1.001859979e-07, -1.629518251e-07, 1.724317427e-07, -8.712059e-10, -2.868085586e-07, -1.203099532e-07, -1.99720087e-08, -1.971175766e-07, -2.157962717e-07, 5.50273763e-08, 1.022380288e-07, 1.573515845e-07, -2.39136538e-07]| 12.4502849578857422|      0.59049000|[1153, 0, 0, 18]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      10|[1.0091911686086514, 0.085943481438619, 0.2241147981186571, 1.2909633751509262, 2.24693369e-08, -1.29293283e-07, -2.75334629e-08, -9.7676058e-08, -2.408037021e-07, 1.001859979e-07, -1.629518251e-07, 1.724317427e-07, -8.712059e-10, -2.868085586e-07, -1.203099532e-07, -1.99720087e-08, -1.971175766e-07, -2.157962717e-07, 5.50273763e-08, 1.022380288e-07, 1.573515845e-07, -2.39136538e-07]| 12.4502849578857422|      0.53144100|[1281, 0, 0, 20]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      11|[1.0091911686086514, 0.085943481438619, 0.2241147981186571, 1.2909633751509262, 2.24693369e-08, -1.29293283e-07, -2.75334629e-08, -9.7676058e-08, -2.408037021e-07, 1.001859979e-07, -1.629518251e-07, 1.724317427e-07, -8.712059e-10, -2.868085586e-07, -1.203099532e-07, -1.99720087e-08, -1.971175766e-07, -2.157962717e-07, 5.50273763e-08, 1.022380288e-07, 1.573515845e-07, -2.39136538e-07]| 12.4502849578857422|      0.47829690|[1409, 0, 0, 22]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
