k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7514694982056085|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5302179733351008, 0.7952687000298018, 5.253291112116963, 5.197971077703213, 6.362115555216128, 7.875064189914358]|189.0649566650390625|      2.00000000|[14, 2, 0, 2]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       2|[0.288204598836442, 1.3543870579324468, 4.224606240118752, 6.434119786871449, 5.341425235603949, 7.8476550160169944]| 95.9719009399414062|      4.00000000|[28, 4, 0, 4]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       3|[0.288204598836442, 1.3543870579324468, 4.224606240118752, 6.434119786871449, 5.341425235603949, 7.8476550160169944]| 95.9719009399414062|      2.00000000|[42, 6, 0, 6]                                                              |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-0.4767502942514259, 1.6132771273740514, 3.082226380481181, 6.6037543279395186, 3.955609965338816, 8.153479081382189]| 25.5577487945556641|      4.00000000|[55, 8, 0, 8]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       5|[-0.4767502942514259, 1.6132771273740514, 3.082226380481181, 6.6037543279395186, 3.955609965338816, 8.153479081382189]| 25.5577487945556641|      2.00000000|[68, 10, 0, 10]                                                            |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       6|[-0.4767502942514259, 1.6132771273740514, 3.082226380481181, 6.6037543279395186, 3.955609965338816, 8.153479081382189]| 25.5577487945556641|      1.00000000|[81, 12, 0, 12]                                                            |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.8574775952002424, 1.5265830567636387, 2.442172612394546, 6.511805457610044, 3.3037227596777186, 8.086766933074513]| 11.7939462661743164|      2.00000000|[94, 14, 0, 14]                                                            |  | trying linear partial model with 8 points | iterate success | actual_k=1
       8|[-0.8574775952002424, 1.5265830567636387, 2.442172612394546, 6.511805457610044, 3.3037227596777186, 8.086766933074513]| 11.7939462661743164|      1.00000000|[108, 16, 0, 16]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       9|[-0.8574775952002424, 1.5265830567636387, 2.442172612394546, 6.511805457610044, 3.3037227596777186, 8.086766933074513]| 11.7939462661743164|      0.50000000|[121, 18, 0, 18]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      10|[-0.7739471225136765, 1.3495527780586776, 2.004177634526201, 6.429012795911132, 3.1997004866301837, 8.040204267822787]|  9.5716075897216797|      1.00000000|[134, 20, 0, 20]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      11|[-0.7739471225136765, 1.3495527780586776, 2.004177634526201, 6.429012795911132, 3.1997004866301837, 8.040204267822787]|  9.5716075897216797|      0.50000000|[148, 22, 0, 22]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      12|[-0.5484844048274073, 1.4913704653870397, 1.688113003057548, 6.40607758518077, 2.9326551897640676, 7.954657550998686]|  6.3176207542419434|      1.00000000|[162, 24, 0, 24]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      13|[-0.5484844048274073, 1.4913704653870397, 1.688113003057548, 6.40607758518077, 2.9326551897640676, 7.954657550998686]|  6.3176207542419434|      0.50000000|[176, 26, 0, 26]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
