k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[98.0, 36.0, 270.0]                                                             |235144.3534117177186999|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[97.86272077510468, 36.329535873370496, 269.0658905189572]                      |233073.6562500000000000|      5.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[100.70547512978061, 36.93413705714767, 264.9973274940618]                      |216927.2656250000000000|     25.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[107.41758414180964, 22.236418862029794, 245.92051768561794]                    |165887.3437500000000000|    125.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[107.41758414180964, 22.236418862029794, 245.92051768561794]                    |165887.3437500000000000|     25.00000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[107.41758414180964, 22.236418862029794, 245.92051768561794]                    |165887.3437500000000000|      5.00000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[112.20795835471658, 23.503327165575342, 245.25174399390784]                    |155151.7656250000000000|     25.00000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[105.85776769845913, 33.31914612793567, 223.1536722063661]                      |124434.1875000000000000|    125.00000000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[105.85776769845913, 33.31914612793567, 223.1536722063661]                      |124434.1875000000000000|     25.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[122.74618877878156, 28.551813099044367, 205.34766846590367]                    |72830.7343750000000000|    125.00000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[122.74618877878156, 28.551813099044367, 205.34766846590367]                    |72830.7343750000000000|     25.00000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[128.4894574820319, 39.674103801355905, 183.70720834751572]                     |39727.0078125000000000|    125.00000000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[128.4894574820319, 39.674103801355905, 183.70720834751572]                     |39727.0078125000000000|     25.00000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[128.4894574820319, 39.674103801355905, 183.70720834751572]                     |39727.0078125000000000|      5.00000000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[132.00403217814437, 40.42526969192795, 180.23107335153426]                     |33154.3984375000000000|     25.00000000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[132.00403217814437, 40.42526969192795, 180.23107335153426]                     |33154.3984375000000000|      5.00000000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[136.04307002829574, 42.8599405939531, 181.89196192211227]                      |30738.7949218750000000|     25.00000000|[85, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[153.3425184278864, 44.909477451663236, 163.96074657739044]                     |8028.2714843750000000|    125.00000000|[91, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[153.3425184278864, 44.909477451663236, 163.96074657739044]                     |8028.2714843750000000|     25.00000000|[97, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[153.3425184278864, 44.909477451663236, 163.96074657739044]                     |8028.2714843750000000|      5.00000000|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[157.00898070653707, 45.334002280525475, 160.58779045124365]                    |5276.9799804687500000|     25.00000000|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      21|[157.00898070653707, 45.334002280525475, 160.58779045124365]                    |5276.9799804687500000|      5.00000000|[113, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[158.64538323775844, 43.78150667063947, 156.1255103012422]                      |3469.3437500000000000|     25.00000000|[118, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      23|[158.64538323775844, 43.78150667063947, 156.1255103012422]                      |3469.3437500000000000|      5.00000000|[124, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[162.90578531089096, 42.85338072508814, 153.6785619151003]                      |1920.3763427734375000|     25.00000000|[129, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      25|[162.90578531089096, 42.85338072508814, 153.6785619151003]                      |1920.3763427734375000|      5.00000000|[134, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      26|[167.2649445159736, 43.93036860378932, 151.47905557642474]                      |844.3933105468750000|     25.00000000|[140, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      27|[167.2649445159736, 43.93036860378932, 151.47905557642474]                      |844.3933105468750000|      5.00000000|[146, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[167.2649445159736, 43.93036860378932, 151.47905557642474]                      |844.3933105468750000|      1.00000000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[167.7714727840863, 44.26388020603914, 150.68394607153405]                      |690.8542480468750000|      5.00000000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      30|[167.7714727840863, 44.26388020603914, 150.68394607153405]                      |690.8542480468750000|      1.00000000|[164, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
