k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.609553617497106, 0.0519686181864622, 0.1352853357785249, 0.7793853527255101, -2.6994897e-09, -1.086920568e-07, 1.44826971e-08, -6.64428622e-08, -2.8907761e-08, 8.21113743e-08, -5.29401489e-08, 2.376422719e-07, -2.4045045e-08, -1.995109413e-07, 2.43209221e-08, 8.10860233e-08, -1.964871755e-07, -5.85320581e-08, 2.29673622e-08, 2.824421e-10, 1.693881929e-07, 5.57579756e-08]| 13.1512060165405273|     10.00000000|[129, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       2|[0.609553617497106, 0.0519686181864622, 0.1352853357785249, 0.7793853527255101, -2.6994897e-09, -1.086920568e-07, 1.44826971e-08, -6.64428622e-08, -2.8907761e-08, 8.21113743e-08, -5.29401489e-08, 2.376422719e-07, -2.4045045e-08, -1.995109413e-07, 2.43209221e-08, 8.10860233e-08, -1.964871755e-07, -5.85320581e-08, 2.29673622e-08, 2.824421e-10, 1.693881929e-07, 5.57579756e-08]| 13.1512060165405273|      1.00000000|[257, 0, 0, 4]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       3|[1.2186647446969074, 0.103751332865023, 0.2706753666883438, 1.559110768953416, -1.988614369e-07, -2.119738098e-07, -1.21652784e-08, 7.01587539e-08, -1.047960112e-07, 4.01478583e-08, -8.8384331e-09, 1.795410627e-07, -6.21925517e-08, -6.7367612e-08, -5.54638977e-08, -2.006154585e-07, 2.3488645e-09, 8.30139227e-08, -1.267390484e-07, 3.003061789e-07, 1.393367551e-07, -8.7903805e-09]| 12.2449674606323242|     10.00000000|[385, 0, 0, 6]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       4|[1.2186647446969074, 0.103751332865023, 0.2706753666883438, 1.559110768953416, -1.988614369e-07, -2.119738098e-07, -1.21652784e-08, 7.01587539e-08, -1.047960112e-07, 4.01478583e-08, -8.8384331e-09, 1.795410627e-07, -6.21925517e-08, -6.7367612e-08, -5.54638977e-08, -2.006154585e-07, 2.3488645e-09, 8.30139227e-08, -1.267390484e-07, 3.003061789e-07, 1.393367551e-07, -8.7903805e-09]| 12.2449674606323242|      1.00000000|[513, 0, 0, 8]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       5|[1.2186647446969074, 0.103751332865023, 0.2706753666883438, 1.559110768953416, -1.988614369e-07, -2.119738098e-07, -1.21652784e-08, 7.01587539e-08, -1.047960112e-07, 4.01478583e-08, -8.8384331e-09, 1.795410627e-07, -6.21925517e-08, -6.7367612e-08, -5.54638977e-08, -2.006154585e-07, 2.3488645e-09, 8.30139227e-08, -1.267390484e-07, 3.003061789e-07, 1.393367551e-07, -8.7903805e-09]| 12.2449674606323242|      0.10000000|[641, 0, 0, 10]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       6|[1.2793393022366328, 0.1088310859307207, 0.2842702614882249, 1.6372642910123787, -6.92589558e-08, -5.321856244e-07, -1.593829736e-07, 2.220793233e-07, -5.58673075e-08, -1.567394835e-07, -8.38113369e-08, 9.09035764e-08, -3.862353668e-07, 1.810353682e-07, -6.73794369e-08, -4.2546757e-08, -7.712281466e-07, 3.20009847e-07, -4.698258474e-07, 5.351540244e-07, -3.76297138e-08, 1.916556922e-07]| 12.2061853408813477|      1.00000000|[769, 0, 0, 12]                                                            |  | trying linear partial model with 65 points | iterate success | actual_k=0
       7|[1.2793393022366328, 0.1088310859307207, 0.2842702614882249, 1.6372642910123787, -6.92589558e-08, -5.321856244e-07, -1.593829736e-07, 2.220793233e-07, -5.58673075e-08, -1.567394835e-07, -8.38113369e-08, 9.09035764e-08, -3.862353668e-07, 1.810353682e-07, -6.73794369e-08, -4.2546757e-08, -7.712281466e-07, 3.20009847e-07, -4.698258474e-07, 5.351540244e-07, -3.76297138e-08, 1.916556922e-07]| 12.2061853408813477|      0.10000000|[897, 0, 0, 14]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.339918155704265, 0.1138698965441079, 0.297886656327994, 1.7154909277133117, -4.933673174e-07, -6.620512572e-07, 1.044524234e-07, 6.099830178e-07, -1.742287429e-07, 2.713038655e-07, -5.63043952e-08, -1.234514409e-07, -5.192816364e-07, 3.260100525e-07, 9.6956629e-08, -4.568604993e-07, 1.315234062e-07, 8.3053336e-08, -4.85914144e-07, 3.656884208e-07, -3.768801217e-07, -3.221764868e-07]| 12.1768283843994141|      1.00000000|[1025, 0, 0, 16]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
       9|[1.339918155704265, 0.1138698965441079, 0.297886656327994, 1.7154909277133117, -4.933673174e-07, -6.620512572e-07, 1.044524234e-07, 6.099830178e-07, -1.742287429e-07, 2.713038655e-07, -5.63043952e-08, -1.234514409e-07, -5.192816364e-07, 3.260100525e-07, 9.6956629e-08, -4.568604993e-07, 1.315234062e-07, 8.3053336e-08, -4.85914144e-07, 3.656884208e-07, -3.768801217e-07, -3.221764868e-07]| 12.1768283843994141|      0.10000000|[1153, 0, 0, 18]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      10|[1.4003279706794725, 0.1188404091790149, 0.3115446141078562, 1.793845304992633, 1.1431179976e-06, -8.706683303e-07, -9.31246786e-07, 5.715508419e-07, -7.121232411e-07, 1.318921969e-07, 2.883106206e-07, -2.080635474e-07, -6.621472744e-07, 4.295586763e-07, 1.2977510869e-06, 3.119773107e-07, -4.05870851e-08, -1.594326183e-06, -5.902625911e-07, 5.269012636e-07, -2.035103421e-07, -8.56239414e-08]| 12.1568965911865234|      1.00000000|[1281, 0, 0, 20]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      11|[1.4003279706794725, 0.1188404091790149, 0.3115446141078562, 1.793845304992633, 1.1431179976e-06, -8.706683303e-07, -9.31246786e-07, 5.715508419e-07, -7.121232411e-07, 1.318921969e-07, 2.883106206e-07, -2.080635474e-07, -6.621472744e-07, 4.295586763e-07, 1.2977510869e-06, 3.119773107e-07, -4.05870851e-08, -1.594326183e-06, -5.902625911e-07, 5.269012636e-07, -2.035103421e-07, -8.56239414e-08]| 12.1568965911865234|      0.10000000|[1409, 0, 0, 22]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      12|[1.4603569678274217, 0.123650938479972, 0.3252920246724834, 1.8724861785000002, -2.338310913e-07, 1.469134377e-07, -9.604859155e-07, -7.723397604e-07, 5.0280943e-09, -1.3561276523e-06, 1.6630610755e-06, -1.6337377358e-06, -4.702408382e-07, -1.4329579515e-06, 1.6860042703e-06, 2.2412183453e-06, -2.1747894837e-06, -2.5053379857e-06, -1.769871565e-06, 3.788981415e-07, -6.221772371e-07, -6.154405557e-07]| 12.1463890075683594|      1.00000000|[1537, 0, 0, 24]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      13|[1.4603569678274217, 0.123650938479972, 0.3252920246724834, 1.8724861785000002, -2.338310913e-07, 1.469134377e-07, -9.604859155e-07, -7.723397604e-07, 5.0280943e-09, -1.3561276523e-06, 1.6630610755e-06, -1.6337377358e-06, -4.702408382e-07, -1.4329579515e-06, 1.6860042703e-06, 2.2412183453e-06, -2.1747894837e-06, -2.5053379857e-06, -1.769871565e-06, 3.788981415e-07, -6.221772371e-07, -6.154405557e-07]| 12.1463890075683594|      0.10000000|[1665, 0, 0, 26]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      14|[1.518750784508624, 0.1277934278623221, 0.3394081696802025, 1.9523218618548481, 6.886743989e-07, 3.0069725115e-06, -1.149994894e-06, 1.3612883811e-06, -2.3118737014e-06, -2.0725150329e-06, -4.144028438e-07, -3.6573418415e-06, -2.4607952954e-06, -3.2463273542e-06, 3.89609077e-08, 3.0679943087e-06, -3.7818240159e-06, -2.1329071359e-06, -1.522486994e-06, -1.4828077276e-06, -1.3552391229e-06, 4.1971171558e-06]| 12.1452989578247070|      1.00000000|[1793, 0, 0, 28]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      15|[1.518750784508624, 0.1277934278623221, 0.3394081696802025, 1.9523218618548481, 6.886743989e-07, 3.0069725115e-06, -1.149994894e-06, 1.3612883811e-06, -2.3118737014e-06, -2.0725150329e-06, -4.144028438e-07, -3.6573418415e-06, -2.4607952954e-06, -3.2463273542e-06, 3.89609077e-08, 3.0679943087e-06, -3.7818240159e-06, -2.1329071359e-06, -1.522486994e-06, -1.4828077276e-06, -1.3552391229e-06, 4.1971171558e-06]| 12.1452989578247070|      0.10000000|[1921, 0, 0, 30]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      16|[1.518750784508624, 0.1277934278623221, 0.3394081696802025, 1.9523218618548481, 6.886743989e-07, 3.0069725115e-06, -1.149994894e-06, 1.3612883811e-06, -2.3118737014e-06, -2.0725150329e-06, -4.144028438e-07, -3.6573418415e-06, -2.4607952954e-06, -3.2463273542e-06, 3.89609077e-08, 3.0679943087e-06, -3.7818240159e-06, -2.1329071359e-06, -1.522486994e-06, -1.4828077276e-06, -1.3552391229e-06, 4.1971171558e-06]| 12.1452989578247070|      0.01000000|[2049, 0, 0, 32]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      17|[1.5122501764415686, 0.1270944836485023, 0.338157958112161, 1.944859275360162, 8.8538997521e-06, -2.049431316e-07, -1.4902253357e-06, 7.9575731548e-06, -5.97328248e-07, 3.2831395009e-06, 8.276250721e-07, 2.0273983567e-06, -4.4465476986e-06, -4.9873414555e-06, 1.9675914321e-06, -2.5766956147e-06, -8.7556239316e-06, 5.546801964e-06, 2.919755097e-07, -4.653918885e-06, -2.9131681422e-06, 8.3738212018e-06]| 12.1449832916259766|      0.10000000|[2177, 0, 0, 34]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      18|[1.5122501764415686, 0.1270944836485023, 0.338157958112161, 1.944859275360162, 8.8538997521e-06, -2.049431316e-07, -1.4902253357e-06, 7.9575731548e-06, -5.97328248e-07, 3.2831395009e-06, 8.276250721e-07, 2.0273983567e-06, -4.4465476986e-06, -4.9873414555e-06, 1.9675914321e-06, -2.5766956147e-06, -8.7556239316e-06, 5.546801964e-06, 2.919755097e-07, -4.653918885e-06, -2.9131681422e-06, 8.3738212018e-06]| 12.1449832916259766|      0.01000000|[2305, 0, 0, 36]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      19|[1.5056065180960916, 0.1263395155356949, 0.3369361909011354, 1.9375245332671325, 1.03274720457e-05, -3.232103933e-06, 9.5896729253e-06, 7.1270770979e-06, -7.9023240962e-06, -2.6143497549e-06, -8.3106068423e-06, -3.6164859468e-06, -9.2893383962e-06, -6.8581460743e-06, 1.29732070444e-05, 4.2527966846e-06, -1.06304240648e-05, 1.2521383575e-05, 6.2303529155e-06, -8.7327121712e-06, 2.7139285196e-06, 9.6035145765e-06]| 12.1447601318359375|      0.10000000|[2433, 0, 0, 38]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      20|[1.5056065180960916, 0.1263395155356949, 0.3369361909011354, 1.9375245332671325, 1.03274720457e-05, -3.232103933e-06, 9.5896729253e-06, 7.1270770979e-06, -7.9023240962e-06, -2.6143497549e-06, -8.3106068423e-06, -3.6164859468e-06, -9.2893383962e-06, -6.8581460743e-06, 1.29732070444e-05, 4.2527966846e-06, -1.06304240648e-05, 1.2521383575e-05, 6.2303529155e-06, -8.7327121712e-06, 2.7139285196e-06, 9.6035145765e-06]| 12.1447601318359375|      0.01000000|[2561, 0, 0, 40]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      21|[1.4986817194504436, 0.1254709532585755, 0.3357910258819273, 1.9304549330884753, 2.68329584317e-05, -2.1726025754e-06, 1.16184547254e-05, -9.8858756369e-06, 5.5137161651e-06, -1.560989547e-05, -1.54795225708e-05, 1.41366984858e-05, -1.63684925527e-05, -5.8281308593e-06, 1.74786263393e-05, 6.1788182285e-06, 1.8901056095e-06, 1.20327209884e-05, -1.10246430336e-05, -5.662409836e-06, 1.95791795142e-05, 1.23132764076e-05]| 12.1446313858032227|      0.10000000|[2689, 0, 0, 42]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      22|[1.4986817194504436, 0.1254709532585755, 0.3357910258819273, 1.9304549330884753, 2.68329584317e-05, -2.1726025754e-06, 1.16184547254e-05, -9.8858756369e-06, 5.5137161651e-06, -1.560989547e-05, -1.54795225708e-05, 1.41366984858e-05, -1.63684925527e-05, -5.8281308593e-06, 1.74786263393e-05, 6.1788182285e-06, 1.8901056095e-06, 1.20327209884e-05, -1.10246430336e-05, -5.662409836e-06, 1.95791795142e-05, 1.23132764076e-05]| 12.1446313858032227|      0.01000000|[2817, 0, 0, 44]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
