k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404944837|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.12430721999568, 39.08822432884195, 41.03523090438543, 38.90320996636892]    |851.9684448242187500|     10.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[16.389729066080466, 37.12766394614778, 37.24138792373467, 43.5871462602306]    |365.3513793945312500|    100.00000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[16.389729066080466, 37.12766394614778, 37.24138792373467, 43.5871462602306]    |365.3513793945312500|     10.00000000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[9.742567930484757, 32.32352785539569, 42.683651199490924, 45.35273276230689]   | 78.7884902954101562|    100.00000000|[21, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[9.742567930484757, 32.32352785539569, 42.683651199490924, 45.35273276230689]   | 78.7884902954101562|     10.00000000|[26, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[3.047434574676049, 32.61061400266862, 50.05239584503944, 46.24400894884041]    |  5.0745306015014648|    100.00000000|[31, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[3.047434574676049, 32.61061400266862, 50.05239584503944, 46.24400894884041]    |  5.0745306015014648|     10.00000000|[36, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[3.047434574676049, 32.61061400266862, 50.05239584503944, 46.24400894884041]    |  5.0745306015014648|      1.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[2.435959101953941, 32.4292238787683, 50.13041675022515, 47.01023874959518]     |  2.8970146179199219|     10.00000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[2.435959101953941, 32.4292238787683, 50.13041675022515, 47.01023874959518]     |  2.8970146179199219|      1.00000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[2.066347777402168, 32.19564574295407, 49.73620480081985, 46.201891261086246]   |  1.9453760385513306|     10.00000000|[59, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[2.066347777402168, 32.19564574295407, 49.73620480081985, 46.201891261086246]   |  1.9453760385513306|      1.00000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[1.2742805790849774, 32.72540643424695, 49.98472244731033, 46.02804609234785]   |  0.5390343070030212|     10.00000000|[70, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[1.2742805790849774, 32.72540643424695, 49.98472244731033, 46.02804609234785]   |  0.5390343070030212|      1.00000000|[76, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[1.2742805790849774, 32.72540643424695, 49.98472244731033, 46.02804609234785]   |  0.5390343070030212|      0.10000000|[81, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.1854881187906725, 32.6800325482017, 49.97760071552579, 46.025518169005295]   |  0.4311624169349670|      1.00000000|[86, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[0.2908795729071214, 32.68024672702044, 50.25858227646541, 46.37297300948314]   |  0.0231575295329094|     10.00000000|[92, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[0.2908795729071214, 32.68024672702044, 50.25858227646541, 46.37297300948314]   |  0.0231575295329094|      1.00000000|[98, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.2908795729071214, 32.68024672702044, 50.25858227646541, 46.37297300948314]   |  0.0231575295329094|      0.10000000|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[0.3306850423748375, 32.76973043921031, 50.24160897154883, 46.38393187682349]   |  0.0156256537884474|      1.00000000|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
