k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|     10.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|     10.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[2.585762901606531, 1.2809351420969164, -8.14582549078534]                      | 16.2220954895019531|      1.00000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[2.152901007866481, 0.3994107541873988, -8.334360194403873]                     |  5.9469161033630371|     10.00000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[2.152901007866481, 0.3994107541873988, -8.334360194403873]                     |  5.9469161033630371|      1.00000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[2.152901007866481, 0.3994107541873988, -8.334360194403873]                     |  5.9469161033630371|      0.10000000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[2.087977831575067, 0.3271648161251122, -8.35814055633834]                      |  5.5477137565612793|      1.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[2.087977831575067, 0.3271648161251122, -8.35814055633834]                      |  5.5477137565612793|      0.10000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[2.0265234204746925, 0.3882054628966451, -8.308166615148764]                    |  5.3967270851135254|      1.00000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[1.565217208693964, -0.4988777865376388, -8.324896455124861]                    |  3.5119194984436035|     10.00000000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[1.565217208693964, -0.4988777865376388, -8.324896455124861]                    |  3.5119194984436035|      1.00000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[1.565217208693964, -0.4988777865376388, -8.324896455124861]                    |  3.5119194984436035|      0.10000000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[1.4680968231666338, -0.4777825981202772, -8.313822894692064]                   |  3.2170715332031250|      1.00000000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[1.4680968231666338, -0.4777825981202772, -8.313822894692064]                   |  3.2170715332031250|      0.10000000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.3768543405161278, -0.4793937802152586, -8.35471560127929]                    |  2.9575452804565430|      1.00000000|[85, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[1.3768543405161278, -0.4793937802152586, -8.35471560127929]                    |  2.9575452804565430|      0.10000000|[91, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[1.2821015215503788, -0.4514657218725933, -8.370269599326503]                   |  2.7046487331390381|      1.00000000|[97, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[1.2821015215503788, -0.4514657218725933, -8.370269599326503]                   |  2.7046487331390381|      0.10000000|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[1.194145945935465, -0.492977443105659, -8.34701892797023]                      |  2.4879858493804932|      1.00000000|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      21|[1.194145945935465, -0.492977443105659, -8.34701892797023]                      |  2.4879858493804932|      0.10000000|[113, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[1.1287246566231106, -0.41753670008989, -8.341657100116045]                     |  2.3326888084411621|      1.00000000|[118, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      23|[1.1287246566231106, -0.41753670008989, -8.341657100116045]                     |  2.3326888084411621|      0.10000000|[124, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[1.0307897713548893, -0.4315600356959086, -8.327093298895852]                   |  2.1222238540649414|      1.00000000|[129, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      25|[1.0307897713548893, -0.4315600356959086, -8.327093298895852]                   |  2.1222238540649414|      0.10000000|[134, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
