k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.20000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       2|[0.8005692477691924, 0.0849210390061451]                                        |  1.2417012453079224|      1.00000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       3|[0.8005692477691924, 0.0849210390061451]                                        |  1.2417012453079224|      0.20000000|[25, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[0.8005692477691924, 0.0849210390061451]                                        |  1.2417012453079224|      0.04000000|[33, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       5|[0.7606106782211194, 0.0831009511863366]                                        |  1.0122195482254028|      0.20000000|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       6|[0.7606106782211194, 0.0831009511863366]                                        |  1.0122195482254028|      0.04000000|[49, 0, 0, 12]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[0.7206319810042048, 0.0817956662219469]                                        |  0.8161333203315735|      0.20000000|[57, 0, 0, 14]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       8|[0.7206319810042048, 0.0817956662219469]                                        |  0.8161333203315735|      0.04000000|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[0.6806863088067445, 0.0797116142328994]                                        |  0.6500439643859863|      0.20000000|[73, 0, 0, 18]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      10|[0.6806863088067445, 0.0797116142328994]                                        |  0.6500439643859863|      0.04000000|[81, 0, 0, 20]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.6407440594881437, 0.0775629589858348]                                        |  0.5107095837593079|      0.20000000|[89, 0, 0, 22]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      12|[0.6407440594881437, 0.0775629589858348]                                        |  0.5107095837593079|      0.04000000|[97, 0, 0, 24]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[0.6007605589651938, 0.0764141831455342]                                        |  0.3950922787189484|      0.20000000|[105, 0, 0, 26]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      14|[0.6007605589651938, 0.0764141831455342]                                        |  0.3950922787189484|      0.04000000|[113, 0, 0, 28]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      15|[0.5608151052081846, 0.07432594844928]                                          |  0.3003229200839996|      0.20000000|[121, 0, 0, 30]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      16|[0.5608151052081846, 0.07432594844928]                                          |  0.3003229200839996|      0.04000000|[129, 0, 0, 32]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      17|[0.5208429951926962, 0.0728324890726334]                                        |  0.2237367779016495|      0.20000000|[137, 0, 0, 34]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      18|[0.5208429951926962, 0.0728324890726334]                                        |  0.2237367779016495|      0.04000000|[145, 0, 0, 36]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      19|[0.4809026005204813, 0.0706496300694654]                                        |  0.1628371477127075|      0.20000000|[153, 0, 0, 38]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      20|[0.4809026005204813, 0.0706496300694654]                                        |  0.1628371477127075|      0.04000000|[161, 0, 0, 40]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      21|[0.4809026005204813, 0.0706496300694654]                                        |  0.1628371477127075|      0.00800000|[169, 0, 0, 42]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      22|[0.4729128353788188, 0.0702450896128049]                                        |  0.1523335129022598|      0.04000000|[177, 0, 0, 44]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      23|[0.4729128353788188, 0.0702450896128049]                                        |  0.1523335129022598|      0.00800000|[185, 0, 0, 46]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      24|[0.4649244763286597, 0.0698136737047288]                                        |  0.1423469930887222|      0.04000000|[193, 0, 0, 48]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      25|[0.4649244763286597, 0.0698136737047288]                                        |  0.1423469930887222|      0.00800000|[201, 0, 0, 50]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      26|[0.4569342292488099, 0.0694187666233144]                                        |  0.1328603774309158|      0.04000000|[209, 0, 0, 52]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      27|[0.4569342292488099, 0.0694187666233144]                                        |  0.1328603774309158|      0.00800000|[217, 0, 0, 54]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      28|[0.4489443267715204, 0.0690169477544162]                                        |  0.1238566190004349|      0.04000000|[225, 0, 0, 56]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      29|[0.4489443267715204, 0.0690169477544162]                                        |  0.1238566190004349|      0.00800000|[233, 0, 0, 58]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      30|[0.4409550888780026, 0.0686021250443578]                                        |  0.1153189986944199|      0.04000000|[241, 0, 0, 60]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      31|[0.4409550888780026, 0.0686021250443578]                                        |  0.1153189986944199|      0.00800000|[249, 0, 0, 62]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      32|[0.4329659267738863, 0.0681858452416381]                                        |  0.1072311550378799|      0.04000000|[257, 0, 0, 64]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      33|[0.4329659267738863, 0.0681858452416381]                                        |  0.1072311550378799|      0.00800000|[265, 0, 0, 66]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      34|[0.4249774388539884, 0.06775682221936]                                          |  0.0995769500732422|      0.04000000|[273, 0, 0, 68]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      35|[0.4249774388539884, 0.06775682221936]                                          |  0.0995769500732422|      0.00800000|[281, 0, 0, 70]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      36|[0.4169884662349853, 0.0673369216444409]                                        |  0.0923406332731247|      0.04000000|[289, 0, 0, 72]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      37|[0.4169884662349853, 0.0673369216444409]                                        |  0.0923406332731247|      0.00800000|[297, 0, 0, 74]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      38|[0.4090029348263091, 0.0668559974081561]                                        |  0.0855065733194351|      0.04000000|[305, 0, 0, 76]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      39|[0.4090029348263091, 0.0668559974081561]                                        |  0.0855065733194351|      0.00800000|[313, 0, 0, 78]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      40|[0.4010162653651881, 0.0663943580263896]                                        |  0.0790595784783363|      0.04000000|[321, 0, 0, 80]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      41|[0.4010162653651881, 0.0663943580263896]                                        |  0.0790595784783363|      0.00800000|[329, 0, 0, 82]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      42|[0.3930324601181531, 0.0658855812802451]                                        |  0.0729847848415375|      0.04000000|[337, 0, 0, 84]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      43|[0.3930324601181531, 0.0658855812802451]                                        |  0.0729847848415375|      0.00800000|[345, 0, 0, 86]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      44|[0.3850492115755291, 0.065368142678388]                                         |  0.0672674924135208|      0.04000000|[353, 0, 0, 88]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      45|[0.3850492115755291, 0.065368142678388]                                         |  0.0672674924135208|      0.00800000|[361, 0, 0, 90]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      46|[0.3770642609526147, 0.0648776698966578]                                        |  0.0618933252990246|      0.04000000|[369, 0, 0, 92]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      47|[0.3770642609526147, 0.0648776698966578]                                        |  0.0618933252990246|      0.00800000|[377, 0, 0, 94]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      48|[0.3690777535306414, 0.0644132356184594]                                        |  0.0568483546376228|      0.04000000|[385, 0, 0, 96]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      49|[0.3690777535306414, 0.0644132356184594]                                        |  0.0568483546376228|      0.00800000|[393, 0, 0, 98]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
