k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |149.7192190771219771|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 5.0]                                                                      |149.7192190771219771|      0.90000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.4424235608311685, 4.293523875503349]                                         |  9.3210248947143555|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[0.4424235608311685, 4.293523875503349]                                         |  9.3210248947143555|      0.90000000|[18, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.4424235608311685, 4.293523875503349]                                         |  9.3210248947143555|      0.81000000|[24, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.4424235608311685, 4.293523875503349]                                         |  9.3210248947143555|      0.72900000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.4424235608311685, 4.293523875503349]                                         |  9.3210248947143555|      0.65610000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.4424235608311685, 4.293523875503349]                                         |  9.3210248947143555|      0.59049000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.7418509271665266, 3.7845821377872615]                                        |  0.4850553274154663|      0.65610000|[49, 17, 0, 17]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[0.7418509271665266, 3.7845821377872615]                                        |  0.4850553274154663|      0.59049000|[56, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      10|[0.7418509271665266, 3.7845821377872615]                                        |  0.4850553274154663|      0.53144100|[64, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      11|[0.7418509271665266, 3.7845821377872615]                                        |  0.4850553274154663|      0.47829690|[72, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      12|[0.7418509271665266, 3.7845821377872615]                                        |  0.4850553274154663|      0.43046721|[78, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[0.7418509271665266, 3.7845821377872615]                                        |  0.4850553274154663|      0.38742049|[85, 31, 0, 31]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.7418509271665266, 3.7845821377872615]                                        |  0.4850553274154663|      0.34867844|[92, 34, 0, 34]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      15|[0.7418509271665266, 3.7845821377872615]                                        |  0.4850553274154663|      0.31381060|[99, 37, 0, 37]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      16|[0.7418509271665266, 3.7845821377872615]                                        |  0.4850553274154663|      0.28242954|[106, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      17|[0.7418509271665266, 3.7845821377872615]                                        |  0.4850553274154663|      0.25418658|[114, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      18|[0.7418509271665266, 3.7845821377872615]                                        |  0.4850553274154663|      0.22876792|[121, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[0.7418509271665266, 3.7845821377872615]                                        |  0.4850553274154663|      0.20589113|[128, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      20|[0.7418509271665266, 3.7845821377872615]                                        |  0.4850553274154663|      0.18530202|[134, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[0.7418509271665266, 3.7845821377872615]                                        |  0.4850553274154663|      0.16677182|[140, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
