k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0]                                                              |83210000.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.837735710342441, 10.088547766945183, 9.017233703635014]                      |33320054.0000000000000000|      1.11111111|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[10.360285406481264, 10.446199922423098, 8.104219655560291]                     |12482022.0000000000000000|      1.23456790|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[9.965598522946253, 10.328276890399966, 6.940400801424211]                      |3297442.2500000000000000|      1.37174211|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[10.811011015269056, 10.732148145822617, 5.938481568139013]                     |1921954.7500000000000000|      1.52415790|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[9.870737985741048, 9.998152542504767, 4.989695819513875]                       |1206889.0000000000000000|      1.69350878|[31, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | iterate success | actual_k=1
       6|[9.36956728151236, 8.404500437712894, 4.712075782578874]                        |593113.6250000000000000|      1.88167642|[36, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[9.36956728151236, 8.404500437712894, 4.712075782578874]                        |593113.6250000000000000|      1.69350878|[47, 19, 0, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[9.36956728151236, 8.404500437712894, 4.712075782578874]                        |593113.6250000000000000|      1.52415790|[57, 23, 0, 23]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[8.704736024874334, 7.035517710550453, 4.628751083540329]                       |326895.5000000000000000|      1.69350878|[63, 25, 0, 25]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[7.755573183447776, 6.313158398538333, 3.4265618656561894]                      |146385.7343750000000000|      1.88167642|[69, 27, 0, 27]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[6.849102165487918, 5.151084324403118, 2.2566899490372165]                      |52825.2031250000000000|      2.09075158|[80, 31, 0, 31]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | iterate success | actual_k=1
      12|[5.859298880271249, 3.340394744379819, 1.9206321027870348]                      |9986.4687500000000000|      2.32305731|[89, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | iterate success | actual_k=1
      13|[5.712766152284569, 2.145175262886979, -0.0659664545574168]                     |2412.5524902343750000|      2.58117479|[95, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[5.712766152284569, 2.145175262886979, -0.0659664545574168]                     |2412.5524902343750000|      2.32305731|[105, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[5.712766152284569, 2.145175262886979, -0.0659664545574168]                     |2412.5524902343750000|      2.09075158|[117, 45, 0, 45]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[5.712766152284569, 2.145175262886979, -0.0659664545574168]                     |2412.5524902343750000|      1.88167642|[127, 49, 0, 49]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[5.712766152284569, 2.145175262886979, -0.0659664545574168]                     |2412.5524902343750000|      1.69350878|[138, 53, 0, 53]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[4.680638686102566, 0.8026218148222117, -0.0506327193776532]                    |557.7819213867187500|      1.88167642|[149, 57, 0, 57]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | iterate success | actual_k=1
      19|[3.3011587051447244, 0.0207044072846363, 0.9624547948077953]                    |111.4000549316406250|      2.09075158|[157, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      20|[3.3011587051447244, 0.0207044072846363, 0.9624547948077953]                    |111.4000549316406250|      1.88167642|[168, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[3.3011587051447244, 0.0207044072846363, 0.9624547948077953]                    |111.4000549316406250|      1.69350878|[179, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[1.6335224774216528, -0.1869327664622006, 0.753055160480443]                    |  6.7735710144042969|      1.88167642|[185, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      23|[1.6335224774216528, -0.1869327664622006, 0.753055160480443]                    |  6.7735710144042969|      1.69350878|[196, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[1.6335224774216528, -0.1869327664622006, 0.753055160480443]                    |  6.7735710144042969|      1.52415790|[206, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[1.6335224774216528, -0.1869327664622006, 0.753055160480443]                    |  6.7735710144042969|      1.37174211|[217, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[1.6335224774216528, -0.1869327664622006, 0.753055160480443]                    |  6.7735710144042969|      1.23456790|[227, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[1.6335224774216528, -0.1869327664622006, 0.753055160480443]                    |  6.7735710144042969|      1.11111111|[237, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[1.6335224774216528, -0.1869327664622006, 0.753055160480443]                    |  6.7735710144042969|      1.00000000|[247, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[1.6335224774216528, -0.1869327664622006, 0.753055160480443]                    |  6.7735710144042969|      0.90000000|[259, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[1.6335224774216528, -0.1869327664622006, 0.753055160480443]                    |  6.7735710144042969|      0.81000000|[269, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[1.6335224774216528, -0.1869327664622006, 0.753055160480443]                    |  6.7735710144042969|      0.72900000|[280, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[1.6335224774216528, -0.1869327664622006, 0.753055160480443]                    |  6.7735710144042969|      0.65610000|[292, 111, 0, 111]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[1.0214092275475397, -0.2767392857530584, 0.5346075273474366]                   |  1.1559469699859619|      0.72900000|[298, 113, 0, 113]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[1.0214092275475397, -0.2767392857530584, 0.5346075273474366]                   |  1.1559469699859619|      0.65610000|[309, 117, 0, 117]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      35|[1.0214092275475397, -0.2767392857530584, 0.5346075273474366]                   |  1.1559469699859619|      0.59049000|[320, 121, 0, 121]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      36|[1.0214092275475397, -0.2767392857530584, 0.5346075273474366]                   |  1.1559469699859619|      0.53144100|[331, 125, 0, 125]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      37|[1.0214092275475397, -0.2767392857530584, 0.5346075273474366]                   |  1.1559469699859619|      0.47829690|[341, 129, 0, 129]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      38|[1.0214092275475397, -0.2767392857530584, 0.5346075273474366]                   |  1.1559469699859619|      0.43046721|[352, 133, 0, 133]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      39|[1.0214092275475397, -0.2767392857530584, 0.5346075273474366]                   |  1.1559469699859619|      0.38742049|[362, 137, 0, 137]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      40|[1.0214092275475397, -0.2767392857530584, 0.5346075273474366]                   |  1.1559469699859619|      0.34867844|[374, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
