k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.10000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       2|[1.0544151617569728, 0.916101310076006]                                         |  5.3159666061401367|      1.00000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       3|[1.0544151617569728, 0.916101310076006]                                         |  5.3159666061401367|      0.10000000|[25, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.1071902713166015, 0.8311614030183151]                                        |  4.7009277343750000|      1.00000000|[33, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       5|[1.1071902713166015, 0.8311614030183151]                                        |  4.7009277343750000|      0.10000000|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[1.1586787701327645, 0.7454354764286423]                                        |  4.1476845741271973|      1.00000000|[49, 0, 0, 12]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       7|[1.1586787701327645, 0.7454354764286423]                                        |  4.1476845741271973|      0.10000000|[57, 0, 0, 14]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.2076611285485574, 0.658253319056696]                                         |  3.6496293544769287|      1.00000000|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       9|[1.2076611285485574, 0.658253319056696]                                         |  3.6496293544769287|      0.10000000|[73, 0, 0, 18]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[1.255338094580559, 0.5703504925379579]                                         |  3.2009077072143555|      1.00000000|[81, 0, 0, 20]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      11|[1.255338094580559, 0.5703504925379579]                                         |  3.2009077072143555|      0.10000000|[89, 0, 0, 22]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[1.301988679586024, 0.4818986812583245]                                         |  2.7963888645172119|      1.00000000|[97, 0, 0, 24]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      13|[1.301988679586024, 0.4818986812583245]                                         |  2.7963888645172119|      0.10000000|[105, 0, 0, 26]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[1.3469962834464382, 0.392599657776855]                                         |  2.4314727783203125|      1.00000000|[113, 0, 0, 28]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      15|[1.3469962834464382, 0.392599657776855]                                         |  2.4314727783203125|      0.10000000|[121, 0, 0, 30]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      16|[1.3902669867128048, 0.3024461983932355]                                        |  2.1021480560302734|      1.00000000|[129, 0, 0, 32]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      17|[1.3902669867128048, 0.3024461983932355]                                        |  2.1021480560302734|      0.10000000|[137, 0, 0, 34]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      18|[1.4326686545205054, 0.2118807603546249]                                        |  1.8049694299697876|      1.00000000|[145, 0, 0, 36]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      19|[1.4326686545205054, 0.2118807603546249]                                        |  1.8049694299697876|      0.10000000|[153, 0, 0, 38]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      20|[1.474483552941967, 0.1210429143321501]                                         |  1.5369509458541870|      1.00000000|[161, 0, 0, 40]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      21|[1.474483552941967, 0.1210429143321501]                                         |  1.5369509458541870|      0.10000000|[169, 0, 0, 42]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      22|[1.5163508761086006, 0.030229219049662]                                         |  1.2955024242401123|      1.00000000|[177, 0, 0, 44]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      23|[1.5163508761086006, 0.030229219049662]                                         |  1.2955024242401123|      0.10000000|[185, 0, 0, 46]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      24|[1.5588315073281918, -0.0602992072659717]                                       |  1.0783748626708984|      1.00000000|[193, 0, 0, 48]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      25|[1.5588315073281918, -0.0602992072659717]                                       |  1.0783748626708984|      0.10000000|[201, 0, 0, 50]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      26|[1.6020060967293348, -0.1504987351474562]                                       |  0.8836392760276794|      1.00000000|[209, 0, 0, 52]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      27|[1.6020060967293348, -0.1504987351474562]                                       |  0.8836392760276794|      0.10000000|[217, 0, 0, 54]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      28|[1.6462681463904718, -0.2401696387884648]                                       |  0.7096858620643616|      1.00000000|[225, 0, 0, 56]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      29|[1.6462681463904718, -0.2401696387884648]                                       |  0.7096858620643616|      0.10000000|[233, 0, 0, 58]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      30|[1.691863391763184, -0.3291700522672918]                                        |  0.5552489161491394|      1.00000000|[241, 0, 0, 60]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      31|[1.691863391763184, -0.3291700522672918]                                        |  0.5552489161491394|      0.10000000|[249, 0, 0, 62]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      32|[1.7394167590935377, -0.4171398042025133]                                       |  0.4194452464580536|      1.00000000|[257, 0, 0, 64]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      33|[1.7394167590935377, -0.4171398042025133]                                       |  0.4194452464580536|      0.10000000|[265, 0, 0, 66]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      34|[1.7874507841226965, -0.5048480275313326]                                       |  0.3018670082092285|      1.00000000|[273, 0, 0, 68]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      35|[1.7874507841226965, -0.5048480275313326]                                       |  0.3018670082092285|      0.10000000|[281, 0, 0, 70]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      36|[1.8367268485136266, -0.5918645172223155]                                       |  0.2025711238384247|      1.00000000|[289, 0, 0, 72]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
