k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404945974|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.124306998867652, 39.08822447368111, 41.03523116145456, 38.903210864614685]  |851.9683837890625000|     10.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[16.389727353823947, 37.127663274716724, 37.241382072912195, 43.58713940729733] |365.3513793945312500|    100.00000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[16.389727353823947, 37.127663274716724, 37.241382072912195, 43.58713940729733] |365.3513793945312500|     10.00000000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[16.389727353823947, 37.127663274716724, 37.241382072912195, 43.58713940729733] |365.3513793945312500|      1.00000000|[21, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[16.040053109036474, 36.57557012533729, 36.75768511863034, 44.16934068980972]   |341.7056579589843750|     10.00000000|[26, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[16.040053109036474, 36.57557012533729, 36.75768511863034, 44.16934068980972]   |341.7056579589843750|      1.00000000|[31, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[15.649939475787782, 35.70771495029231, 37.04228104824206, 44.286147817801094]  |306.9388427734375000|     10.00000000|[36, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[11.705765686114594, 37.300056038949634, 40.28038831719196, 52.73733733697546]  |145.5652465820312500|    100.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[11.705765686114594, 37.300056038949634, 40.28038831719196, 52.73733733697546]  |145.5652465820312500|     10.00000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[2.678200225783458, 38.26535661816915, 42.537486424480484, 56.26958375890998]   |  5.6980252265930176|    100.00000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[2.678200225783458, 38.26535661816915, 42.537486424480484, 56.26958375890998]   |  5.6980252265930176|     10.00000000|[59, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[2.678200225783458, 38.26535661816915, 42.537486424480484, 56.26958375890998]   |  5.6980252265930176|      1.00000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[1.8846403752151049, 38.798564003434876, 42.77188839662679, 56.09349184166804]  |  2.5385837554931641|     10.00000000|[70, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[1.8846403752151049, 38.798564003434876, 42.77188839662679, 56.09349184166804]  |  2.5385837554931641|      1.00000000|[76, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[1.4950905669229886, 37.89403329401003, 42.60084546788977, 56.06486564569268]   |  1.3445017337799072|     10.00000000|[81, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[1.4950905669229886, 37.89403329401003, 42.60084546788977, 56.06486564569268]   |  1.3445017337799072|      1.00000000|[86, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      17|[1.4950905669229886, 37.89403329401003, 42.60084546788977, 56.06486564569268]   |  1.3445017337799072|      0.10000000|[92, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[1.40979833251488, 37.92322816092495, 42.641233985425096, 56.08041113207269]    |  1.1514085531234741|      1.00000000|[98, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[0.5494685090392605, 37.58772854149277, 42.617228381165, 55.69740156148289]     |  0.0464819259941578|     10.00000000|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[0.5494685090392605, 37.58772854149277, 42.617228381165, 55.69740156148289]     |  0.0464819259941578|      1.00000000|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
