k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.90000000|[65, 0, 0, 4]                                                              |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.81000000|[129, 0, 0, 8]                                                             |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.72900000|[193, 0, 0, 12]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.65610000|[257, 0, 0, 16]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.59049000|[321, 0, 0, 20]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.53144100|[385, 0, 0, 24]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.0047140664033368, -0.0072927839599468, 0.0071267230480335, 0.0038780980397336, 0.5292109255471255, 0.0076860506229313, -0.0135750396396262, -0.0435616105316149, 0.0091172819031035]|45736.9453125000000000|      0.59049000|[449, 0, 0, 28]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | iterate success | actual_k=0
       8|[0.0047140664033368, -0.0072927839599468, 0.0071267230480335, 0.0038780980397336, 0.5292109255471255, 0.0076860506229313, -0.0135750396396262, -0.0435616105316149, 0.0091172819031035]|45736.9453125000000000|      0.53144100|[513, 0, 0, 32]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.0047140664033368, -0.0072927839599468, 0.0071267230480335, 0.0038780980397336, 0.5292109255471255, 0.0076860506229313, -0.0135750396396262, -0.0435616105316149, 0.0091172819031035]|45736.9453125000000000|      0.47829690|[577, 0, 0, 36]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.0047140664033368, -0.0072927839599468, 0.0071267230480335, 0.0038780980397336, 0.5292109255471255, 0.0076860506229313, -0.0135750396396262, -0.0435616105316149, 0.0091172819031035]|45736.9453125000000000|      0.43046721|[641, 0, 0, 40]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[0.0047140664033368, -0.0072927839599468, 0.0071267230480335, 0.0038780980397336, 0.5292109255471255, 0.0076860506229313, -0.0135750396396262, -0.0435616105316149, 0.0091172819031035]|45736.9453125000000000|      0.38742049|[705, 0, 0, 44]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[0.0047140664033368, -0.0072927839599468, 0.0071267230480335, 0.0038780980397336, 0.5292109255471255, 0.0076860506229313, -0.0135750396396262, -0.0435616105316149, 0.0091172819031035]|45736.9453125000000000|      0.34867844|[769, 0, 0, 48]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[0.0047140664033368, -0.0072927839599468, 0.0071267230480335, 0.0038780980397336, 0.5292109255471255, 0.0076860506229313, -0.0135750396396262, -0.0435616105316149, 0.0091172819031035]|45736.9453125000000000|      0.31381060|[833, 0, 0, 52]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[0.0047140664033368, -0.0072927839599468, 0.0071267230480335, 0.0038780980397336, 0.5292109255471255, 0.0076860506229313, -0.0135750396396262, -0.0435616105316149, 0.0091172819031035]|45736.9453125000000000|      0.28242954|[897, 0, 0, 56]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[0.0047140664033368, -0.0072927839599468, 0.0071267230480335, 0.0038780980397336, 0.5292109255471255, 0.0076860506229313, -0.0135750396396262, -0.0435616105316149, 0.0091172819031035]|45736.9453125000000000|      0.25418658|[961, 0, 0, 60]                                                            |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      16|[0.0047140664033368, -0.0072927839599468, 0.0071267230480335, 0.0038780980397336, 0.5292109255471255, 0.0076860506229313, -0.0135750396396262, -0.0435616105316149, 0.0091172819031035]|45736.9453125000000000|      0.22876792|[1025, 0, 0, 64]                                                           |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      17|[-0.0235198125809868, -0.0301090705921324, -0.005915999177481, -0.02327798042347, 0.7514789249978772, -0.0047243962600693, -0.0215798602279806, -0.0484186957995992, 0.0306744626643643]|4728.9311523437500000|      0.25418658|[1073, 0, 0, 67]                                                           |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | iterate success | actual_k=0
      18|[-0.0235198125809868, -0.0301090705921324, -0.005915999177481, -0.02327798042347, 0.7514789249978772, -0.0047243962600693, -0.0215798602279806, -0.0484186957995992, 0.0306744626643643]|4728.9311523437500000|      0.22876792|[1137, 0, 0, 71]                                                           |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      19|[-0.0235198125809868, -0.0301090705921324, -0.005915999177481, -0.02327798042347, 0.7514789249978772, -0.0047243962600693, -0.0215798602279806, -0.0484186957995992, 0.0306744626643643]|4728.9311523437500000|      0.20589113|[1201, 0, 0, 75]                                                           |  | trying quadratic partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
