k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |749.0383999999999105|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.4937649723416978, 0.2920225387002231]                                       | 19.2390670776367188|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[-0.4937649723416978, 0.2920225387002231]                                       | 19.2390670776367188|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-0.4937649723416978, 0.2920225387002231]                                       | 19.2390670776367188|      0.50000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-0.0606280145302573, 0.0422378798881767]                                       |  1.3052232265472412|      1.00000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[-0.0606280145302573, 0.0422378798881767]                                       |  1.3052232265472412|      0.50000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-0.0606280145302573, 0.0422378798881767]                                       |  1.3052232265472412|      0.25000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.0606280145302573, 0.0422378798881767]                                       |  1.3052232265472412|      0.12500000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.0606280145302573, 0.0422378798881767]                                       |  1.3052232265472412|      0.06250000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.0579415084201078, -0.0202043548966236]                                      |  1.1592795848846436|      0.12500000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[-0.0579415084201078, -0.0202043548966236]                                      |  1.1592795848846436|      0.06250000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-0.0579415084201078, -0.0202043548966236]                                      |  1.1592795848846436|      0.03125000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-0.0441457279597951, 0.0078355976976811]                                       |  1.0965155363082886|      0.06250000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[-0.0441457279597951, 0.0078355976976811]                                       |  1.0965155363082886|      0.03125000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.0441457279597951, 0.0078355976976811]                                       |  1.0965155363082886|      0.01562500|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[-0.0317647051962708, -0.0016959761665395]                                      |  1.0648152828216553|      0.03125000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[-0.0317647051962708, -0.0016959761665395]                                      |  1.0648152828216553|      0.01562500|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[-0.0208457308385625, 0.0094806344098252]                                       |  1.0511314868927002|      0.03125000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[0.0031066156974638, -0.0105904292246239]                                       |  1.0050121545791626|      0.06250000|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[0.0031066156974638, -0.0105904292246239]                                       |  1.0050121545791626|      0.03125000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[0.0031066156974638, -0.0105904292246239]                                       |  1.0050121545791626|      0.01562500|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[0.0141800399906734, 0.0004331772370817]                                        |  0.9718595147132874|      0.03125000|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[0.0141800399906734, 0.0004331772370817]                                        |  0.9718595147132874|      0.01562500|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[0.027082151998023, -0.0083802290709132]                                        |  0.9536253213882446|      0.03125000|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[0.0581465618490167, -0.0049795025883091]                                       |  0.8897671103477478|      0.06250000|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      25|[0.0581465618490167, -0.0049795025883091]                                       |  0.8897671103477478|      0.03125000|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[0.0877792846502942, -0.0149024174515259]                                       |  0.8564164638519287|      0.06250000|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      27|[0.0877792846502942, -0.0149024174515259]                                       |  0.8564164638519287|      0.03125000|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[0.1013739908702944, 0.0132355722206573]                                        |  0.8223975300788879|      0.06250000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      29|[0.1013739908702944, 0.0132355722206573]                                        |  0.8223975300788879|      0.03125000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[0.1195943983237633, -0.01215299316279]                                         |  0.7943337559700012|      0.06250000|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[0.1195943983237633, -0.01215299316279]                                         |  0.7943337559700012|      0.03125000|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[0.1195943983237633, -0.01215299316279]                                         |  0.7943337559700012|      0.01562500|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[0.1265615380216263, 0.0018326991486568]                                        |  0.7628985047340393|      0.03125000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[0.1265615380216263, 0.0018326991486568]                                        |  0.7628985047340393|      0.01562500|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[0.1421534667971668, 0.0028487611834125]                                        |  0.7359007596969604|      0.03125000|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[0.1732025109381755, -0.0006895092881161]                                       |  0.6870579123497009|      0.06250000|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
