k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|      5.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|      1.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
       3|[2.0459692998204413, 1.0379229580971892, -7.659609940961767]                    |  9.6591482162475586|      5.00000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[2.0459692998204413, 1.0379229580971892, -7.659609940961767]                    |  9.6591482162475586|      1.00000000|[33, 13, 0, 13]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 8 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
       5|[2.0459692998204413, 1.0379229580971892, -7.659609940961767]                    |  9.6591482162475586|      0.20000000|[43, 17, 0, 17]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
       6|[1.9863471118739924, 0.8641609035939696, -7.738679170876434]                    |  7.5398154258728027|      1.00000000|[48, 19, 0, 19]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[1.9863471118739924, 0.8641609035939696, -7.738679170876434]                    |  7.5398154258728027|      0.20000000|[58, 23, 0, 23]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.893455899845228, 0.6873055065774264, -7.74834308695368]                      |  5.9292035102844238|      1.00000000|[64, 25, 0, 25]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[1.893455899845228, 0.6873055065774264, -7.74834308695368]                      |  5.9292035102844238|      0.20000000|[74, 29, 0, 29]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.893455899845228, 0.6873055065774264, -7.74834308695368]                      |  5.9292035102844238|      0.04000000|[85, 33, 0, 33]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      11|[1.8848867686996358, 0.6492319215509108, -7.739569711626115]                    |  5.6983990669250488|      0.20000000|[91, 35, 0, 35]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[1.8848867686996358, 0.6492319215509108, -7.739569711626115]                    |  5.6983990669250488|      0.04000000|[102, 39, 0, 39]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      13|[1.8616074569030734, 0.6167203739354734, -7.738533896040416]                    |  5.4588484764099121|      0.20000000|[107, 41, 0, 41]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[1.8616074569030734, 0.6167203739354734, -7.738533896040416]                    |  5.4588484764099121|      0.04000000|[117, 45, 0, 45]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      15|[1.842301066572921, 0.5816976075887677, -7.739351899612442]                     |  5.2397308349609375|      0.20000000|[122, 47, 0, 47]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[1.842301066572921, 0.5816976075887677, -7.739351899612442]                     |  5.2397308349609375|      0.04000000|[133, 51, 0, 51]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      17|[1.808440985497559, 0.5618936138686924, -7.731522676004374]                     |  5.0397949218750000|      0.20000000|[138, 53, 0, 53]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[1.808440985497559, 0.5618936138686924, -7.731522676004374]                     |  5.0397949218750000|      0.04000000|[149, 57, 0, 57]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.7858049928665765, 0.5628528187900115, -7.698557667836181]                    |  4.9619874954223633|      0.20000000|[154, 59, 0, 59]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[1.7858049928665765, 0.5628528187900115, -7.698557667836181]                    |  4.9619874954223633|      0.04000000|[166, 63, 0, 63]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      21|[1.7503659437352195, 0.5694640090596015, -7.6812265986284105]                   |  4.8616533279418945|      0.20000000|[171, 65, 0, 65]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[1.7503659437352195, 0.5694640090596015, -7.6812265986284105]                   |  4.8616533279418945|      0.04000000|[182, 69, 0, 69]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      23|[1.7325010900764575, 0.557827522965913, -7.647382260916728]                     |  4.7557649612426758|      0.20000000|[187, 71, 0, 71]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[1.7325010900764575, 0.557827522965913, -7.647382260916728]                     |  4.7557649612426758|      0.04000000|[198, 75, 0, 75]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.695761574598436, 0.5458809177193201, -7.657749836598742]                     |  4.5867743492126465|      0.20000000|[203, 77, 0, 77]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[1.695761574598436, 0.5458809177193201, -7.657749836598742]                     |  4.5867743492126465|      0.04000000|[213, 81, 0, 81]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      27|[1.6688671076813522, 0.5166199802058978, -7.653223780359422]                    |  4.3980660438537598|      0.20000000|[218, 83, 0, 83]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      28|[1.6688671076813522, 0.5166199802058978, -7.653223780359422]                    |  4.3980660438537598|      0.04000000|[228, 87, 0, 87]                                                           |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      29|[1.64302462172135, 0.4865038459953798, -7.658242184450481]                      |  4.2215895652770996|      0.20000000|[234, 89, 0, 89]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
