k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404945974|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.12392153236741, 39.089878825573976, 41.03594372036253, 38.90481552336117]   |851.9668579101562500|     10.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[16.42558723160603, 37.187374307053716, 37.34385154538818, 43.75090476337976]   |365.8745422363281250|    100.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[16.42558723160603, 37.187374307053716, 37.34385154538818, 43.75090476337976]   |365.8745422363281250|     10.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[9.583906098718385, 32.05472068618109, 42.46460006548861, 44.54160108809716]    | 76.4082260131835938|    100.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[9.583906098718385, 32.05472068618109, 42.46460006548861, 44.54160108809716]    | 76.4082260131835938|     10.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[9.583906098718385, 32.05472068618109, 42.46460006548861, 44.54160108809716]    | 76.4082260131835938|      1.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[9.174698146217095, 31.160974471955154, 42.611955702616115, 44.651386662619736] | 65.6254959106445312|     10.00000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[9.174698146217095, 31.160974471955154, 42.611955702616115, 44.651386662619736] | 65.6254959106445312|      1.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[8.563567034155561, 30.94701537754821, 42.63792306293908, 45.4130072807682]     | 55.3084106445312500|     10.00000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[8.563567034155561, 30.94701537754821, 42.63792306293908, 45.4130072807682]     | 55.3084106445312500|      1.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[8.197398236653695, 30.733542145707368, 42.373270183418725, 44.546803814840565] | 50.8932228088378906|     10.00000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[8.197398236653695, 30.733542145707368, 42.373270183418725, 44.546803814840565] | 50.8932228088378906|      1.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[7.421791900115046, 31.23415527671177, 42.72467061237973, 44.39079406414181]    | 42.2489547729492188|     10.00000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[7.421791900115046, 31.23415527671177, 42.72467061237973, 44.39079406414181]    | 42.2489547729492188|      1.00000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      15|[7.038731119355447, 30.31641260198671, 42.690876758157195, 44.29144218117466]   | 35.7097854614257812|     10.00000000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      16|[7.038731119355447, 30.31641260198671, 42.690876758157195, 44.29144218117466]   | 35.7097854614257812|      1.00000000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      17|[6.155887483725247, 30.098179875245084, 42.88224538837506, 44.66068416060645]   | 26.1302051544189453|     10.00000000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      18|[6.155887483725247, 30.098179875245084, 42.88224538837506, 44.66068416060645]   | 26.1302051544189453|      1.00000000|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      19|[5.31036166287113, 29.604851919768848, 42.937025505554224, 44.463928593019546]  | 18.4081592559814453|     10.00000000|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      20|[5.31036166287113, 29.604851919768848, 42.937025505554224, 44.463928593019546]  | 18.4081592559814453|      1.00000000|[161, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
