k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.1386365319100387, -0.40798914933297]                                         | 16.5122909545898438|     10.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[2.1386365319100387, -0.40798914933297]                                         | 16.5122909545898438|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[2.1386365319100387, -0.40798914933297]                                         | 16.5122909545898438|      0.10000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[2.046304898178397, -0.4463931779295379]                                        | 13.6669883728027344|      1.00000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[2.046304898178397, -0.4463931779295379]                                        | 13.6669883728027344|      0.10000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[1.9530099913880397, -0.4823940163500317]                                       | 11.2856645584106445|      1.00000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[1.9530099913880397, -0.4823940163500317]                                       | 11.2856645584106445|      0.10000000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.8592297162000018, -0.5171108708396867]                                       |  9.3072566986083984|      1.00000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[1.8592297162000018, -0.5171108708396867]                                       |  9.3072566986083984|      0.10000000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.7633153186184516, -0.5454027130661715]                                       |  7.6724400520324707|      1.00000000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[1.7633153186184516, -0.5454027130661715]                                       |  7.6724400520324707|      0.10000000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[1.6671309450334608, -0.5727626523581897]                                       |  6.3303413391113281|      1.00000000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[1.6671309450334608, -0.5727626523581897]                                       |  6.3303413391113281|      0.10000000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[1.57117631110973, -0.6009177270084695]                                         |  5.2356195449829102|      1.00000000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[1.57117631110973, -0.6009177270084695]                                         |  5.2356195449829102|      0.10000000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.473451561318322, -0.622127943372445]                                         |  4.3452215194702148|      1.00000000|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[1.473451561318322, -0.622127943372445]                                         |  4.3452215194702148|      0.10000000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[1.3766937842308509, -0.6473852704893684]                                       |  3.6243956089019775|      1.00000000|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[1.3766937842308509, -0.6473852704893684]                                       |  3.6243956089019775|      0.10000000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[1.2778067140210108, -0.6622630171371024]                                       |  3.0394432544708252|      1.00000000|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      21|[1.2778067140210108, -0.6622630171371024]                                       |  3.0394432544708252|      0.10000000|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[1.178612834753741, -0.674934809272011]                                         |  2.5642600059509277|      1.00000000|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      23|[1.178612834753741, -0.674934809272011]                                         |  2.5642600059509277|      0.10000000|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[1.0805998183196601, -0.6947703483242421]                                       |  2.1778202056884766|      1.00000000|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      25|[1.0805998183196601, -0.6947703483242421]                                       |  2.1778202056884766|      0.10000000|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      26|[1.0805998183196601, -0.6947703483242421]                                       |  2.1778202056884766|      0.01000000|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[1.07068136196475, -0.6960447986119114]                                         |  2.1432108879089355|      0.10000000|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      28|[1.07068136196475, -0.6960447986119114]                                         |  2.1432108879089355|      0.01000000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[1.0607492300364691, -0.697207878729198]                                        |  2.1092810630798340|      0.10000000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      30|[1.0607492300364691, -0.697207878729198]                                        |  2.1092810630798340|      0.01000000|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      31|[1.0508199792284632, -0.698395303839136]                                        |  2.0760149955749512|      0.10000000|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      32|[1.0508199792284632, -0.698395303839136]                                        |  2.0760149955749512|      0.01000000|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      33|[1.0408971389373203, -0.699635158893758]                                        |  2.0433986186981201|      0.10000000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[1.0408971389373203, -0.699635158893758]                                        |  2.0433986186981201|      0.01000000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      35|[1.0309632581997952, -0.7007832065811946]                                       |  2.0114161968231201|      0.10000000|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[1.0309632581997952, -0.7007832065811946]                                       |  2.0114161968231201|      0.01000000|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      37|[1.0210317020666455, -0.7019511932138651]                                       |  1.9800540208816528|      0.10000000|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      38|[1.0210317020666455, -0.7019511932138651]                                       |  1.9800540208816528|      0.01000000|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      39|[1.0111055465856196, -0.703164221394288]                                        |  1.9492986202239990|      0.10000000|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      40|[1.0111055465856196, -0.703164221394288]                                        |  1.9492986202239990|      0.01000000|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      41|[1.0011656167972436, -0.7042586599728089]                                       |  1.9191356897354126|      0.10000000|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      42|[1.0011656167972436, -0.7042586599728089]                                       |  1.9191356897354126|      0.01000000|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.9912250868900188, -0.7053476343359457]                                       |  1.8895518779754639|      0.10000000|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      44|[0.9912250868900188, -0.7053476343359457]                                       |  1.8895518779754639|      0.01000000|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[0.9812837346465645, -0.7064290757682784]                                       |  1.8605345487594604|      0.10000000|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      46|[0.9812837346465645, -0.7064290757682784]                                       |  1.8605345487594604|      0.01000000|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      47|[0.9713439187283149, -0.7075245480460258]                                       |  1.8320707082748413|      0.10000000|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      48|[0.9713439187283149, -0.7075245480460258]                                       |  1.8320707082748413|      0.01000000|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      49|[0.9614100696164884, -0.7086728693527445]                                       |  1.8041486740112305|      0.10000000|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      50|[0.9614100696164884, -0.7086728693527445]                                       |  1.8041486740112305|      0.01000000|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      51|[0.9514684027451373, -0.7097514145854904]                                       |  1.7767564058303833|      0.10000000|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      52|[0.9514684027451373, -0.7097514145854904]                                       |  1.7767564058303833|      0.01000000|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[0.9415334161408693, -0.7108898526264105]                                       |  1.7498824596405029|      0.10000000|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      54|[0.9415334161408693, -0.7108898526264105]                                       |  1.7498824596405029|      0.01000000|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      55|[0.9315896694624641, -0.7119490513781596]                                       |  1.7235155105590820|      0.10000000|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      56|[0.9315896694624641, -0.7119490513781596]                                       |  1.7235155105590820|      0.01000000|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[0.9216471596217231, -0.7130197978779284]                                       |  1.6976445913314819|      0.10000000|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      58|[0.9216471596217231, -0.7130197978779284]                                       |  1.6976445913314819|      0.01000000|[312, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      59|[0.9117143360309181, -0.7141769562568671]                                       |  1.6722594499588013|      0.10000000|[318, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      60|[0.9117143360309181, -0.7141769562568671]                                       |  1.6722594499588013|      0.01000000|[323, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      61|[0.9017777864803482, -0.7153016709002628]                                       |  1.6473492383956909|      0.10000000|[329, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      62|[0.9017777864803482, -0.7153016709002628]                                       |  1.6473492383956909|      0.01000000|[334, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[0.8918334258728727, -0.71635509014657]                                         |  1.6229044198989868|      0.10000000|[339, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      64|[0.8918334258728727, -0.71635509014657]                                         |  1.6229044198989868|      0.01000000|[344, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      65|[0.8818891609457294, -0.7174094122315079]                                       |  1.5989152193069458|      0.10000000|[349, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      66|[0.8818891609457294, -0.7174094122315079]                                       |  1.5989152193069458|      0.01000000|[354, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      67|[0.871943006787313, -0.7184457603665544]                                        |  1.5753725767135620|      0.10000000|[359, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      68|[0.871943006787313, -0.7184457603665544]                                        |  1.5753725767135620|      0.01000000|[365, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      69|[0.8619975382761959, -0.7194886678861255]                                       |  1.5522670745849609|      0.10000000|[371, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      70|[0.8619975382761959, -0.7194886678861255]                                       |  1.5522670745849609|      0.01000000|[377, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      71|[0.8520530244265014, -0.720540639508003]                                        |  1.5295902490615845|      0.10000000|[382, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      72|[0.8520530244265014, -0.720540639508003]                                        |  1.5295902490615845|      0.01000000|[387, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      73|[0.8421214627063831, -0.7217085786329064]                                       |  1.5073336362838745|      0.10000000|[393, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      74|[0.8421214627063831, -0.7217085786329064]                                       |  1.5073336362838745|      0.01000000|[398, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      75|[0.8321757886436036, -0.7227495240863073]                                       |  1.4854891300201416|      0.10000000|[404, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      76|[0.8321757886436036, -0.7227495240863073]                                       |  1.4854891300201416|      0.01000000|[409, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      77|[0.8222299076539638, -0.7237884905631097]                                       |  1.4640489816665649|      0.10000000|[414, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
