k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      0.10000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[2.0290404729374054, 2.907508210905515, -7.9754659444511695]                    |134.1911926269531250|      1.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[2.0290404729374054, 2.907508210905515, -7.9754659444511695]                    |134.1911926269531250|      0.10000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[2.043831011460959, 2.8100794819326063, -7.9584693935979285]                    |119.8083877563476562|      1.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[2.043831011460959, 2.8100794819326063, -7.9584693935979285]                    |119.8083877563476562|      0.10000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[2.042586629997432, 2.7141199478469993, -7.930358553467359]                     |106.7892761230468750|      1.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[2.042586629997432, 2.7141199478469993, -7.930358553467359]                     |106.7892761230468750|      0.10000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[2.007529133893955, 2.6241530726274296, -7.904340611001032]                     | 95.4758605957031250|      1.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[2.007529133893955, 2.6241530726274296, -7.904340611001032]                     | 95.4758605957031250|      0.10000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[2.0647718621004922, 2.5440184741045555, -7.886970631523489]                    | 86.5516586303710938|      1.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[2.0647718621004922, 2.5440184741045555, -7.886970631523489]                    | 86.5516586303710938|      0.10000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[1.9960435102786775, 2.499184772348747, -7.9441226467349235]                    | 81.4604187011718750|      1.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[1.9960435102786775, 2.499184772348747, -7.9441226467349235]                    | 81.4604187011718750|      0.10000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[2.0321098467960828, 2.4502290141384453, -7.864734025961743]                    | 76.5963058471679688|      1.00000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[2.0321098467960828, 2.4502290141384453, -7.864734025961743]                    | 76.5963058471679688|      0.10000000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
