k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.931091137085598, -0.659306121025716, -0.3213341252929177, -0.1053145343716245, 0.6553308355573587, -0.4620706705489275, 0.1351845701040019]|61036.2031250000000000|      2.00000000|[117, 8, 0, 2]                                                             |  | trying linear partial model with 61 points | iterate success | actual_k=4
       2|[9.931091137085598, -0.659306121025716, -0.3213341252929177, -0.1053145343716245, 0.6553308355573587, -0.4620706705489275, 0.1351845701040019]|61036.2031250000000000|      1.00000000|[233, 16, 0, 4]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[9.931091137085598, -0.659306121025716, -0.3213341252929177, -0.1053145343716245, 0.6553308355573587, -0.4620706705489275, 0.1351845701040019]|61036.2031250000000000|      0.50000000|[350, 24, 0, 6]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[9.931091137085598, -0.659306121025716, -0.3213341252929177, -0.1053145343716245, 0.6553308355573587, -0.4620706705489275, 0.1351845701040019]|61036.2031250000000000|      0.25000000|[466, 32, 0, 8]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[9.931091137085598, -0.659306121025716, -0.3213341252929177, -0.1053145343716245, 0.6553308355573587, -0.4620706705489275, 0.1351845701040019]|61036.2031250000000000|      0.12500000|[582, 40, 0, 10]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[9.931091137085598, -0.659306121025716, -0.3213341252929177, -0.1053145343716245, 0.6553308355573587, -0.4620706705489275, 0.1351845701040019]|61036.2031250000000000|      0.06250000|[700, 48, 0, 12]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[9.93053731746293, -0.6588119158245432, -0.3216091482894479, -0.0592284623727925, 0.6580205456603699, -0.46388855204929, 0.1772696997999758]|57856.0078125000000000|      0.12500000|[816, 56, 0, 14]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       8|[9.936833197730445, -0.6657840063080285, -0.3219944437716949, 0.0516245007166714, 0.6556049656468956, -0.4751683756167052, 0.2330832691277925]|54060.6093750000000000|      0.25000000|[933, 64, 0, 16]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       9|[9.936833197730445, -0.6657840063080285, -0.3219944437716949, 0.0516245007166714, 0.6556049656468956, -0.4751683756167052, 0.2330832691277925]|54060.6093750000000000|      0.12500000|[1049, 72, 0, 18]                                                          |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[9.927675291509699, -0.6666185722910558, -0.3269069773209006, 0.1671705761039444, 0.6720944725310353, -0.4687035380527423, 0.1900517717335811]|49780.8398437500000000|      0.25000000|[1165, 80, 0, 20]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
