k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.951501376384468, 2.0080419418278086, -7.883093651435629]                     | 41.2925186157226562|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[2.6368434568986876, 0.1625939671964725, -7.530066732340867]                    |  7.9876027107238770|      4.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[2.6368434568986876, 0.1625939671964725, -7.530066732340867]                    |  7.9876027107238770|      2.00000000|[23, 9, 0, 9]                                                              |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 8 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
       4|[2.6368434568986876, 0.1625939671964725, -7.530066732340867]                    |  7.9876027107238770|      1.00000000|[34, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 8 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
       5|[2.6368434568986876, 0.1625939671964725, -7.530066732340867]                    |  7.9876027107238770|      0.50000000|[45, 19, 0, 19]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 6 points | trying quadratic partial model with 8 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
       6|[2.6368434568986876, 0.1625939671964725, -7.530066732340867]                    |  7.9876027107238770|      0.25000000|[55, 23, 0, 23]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
       7|[2.6368434568986876, 0.1625939671964725, -7.530066732340867]                    |  7.9876027107238770|      0.12500000|[66, 27, 0, 27]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
       8|[2.51404512048107, 0.1850842468678914, -7.536371959804402]                      |  7.3674669265747070|      0.25000000|[71, 29, 0, 29]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[2.51404512048107, 0.1850842468678914, -7.536371959804402]                      |  7.3674669265747070|      0.12500000|[82, 33, 0, 33]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 9 points | exploitation failed, decreasing delta | actual_k=1
      10|[2.51404512048107, 0.1850842468678914, -7.536371959804402]                      |  7.3674669265747070|      0.06250000|[94, 37, 0, 37]                                                            |  | trying linear partial model with 4 points | trying quadratic partial model with 7 points | trying quadratic partial model with 10 points | exploitation failed, decreasing delta | actual_k=1
      11|[2.4663284962388543, 0.2012329057415227, -7.573366480851583]                    |  7.1401805877685547|      0.12500000|[99, 39, 0, 39]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
