k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9298949486707209, 2.0024846651103916, -8.006959772854904]                    | 40.8731384277343750|     10.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[1.9298949486707209, 2.0024846651103916, -8.006959772854904]                    | 40.8731384277343750|      1.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[2.550860204029476, 1.27536088866783, -8.299693722661111]                       | 15.9274511337280273|     10.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[2.550860204029476, 1.27536088866783, -8.299693722661111]                       | 15.9274511337280273|      1.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[2.3340353118654718, 0.3012919403504383, -8.364320729878825]                    |  6.6009726524353027|     10.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[2.3340353118654718, 0.3012919403504383, -8.364320729878825]                    |  6.6009726524353027|      1.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[1.987168229569108, -0.5759192751610468, -8.696260047525998]                    |  5.0081543922424316|     10.00000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[1.987168229569108, -0.5759192751610468, -8.696260047525998]                    |  5.0081543922424316|      1.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.9904086404058061, -0.4974641075308743, -8.71401133151131]                    |  2.0430774688720703|     10.00000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[0.9904086404058061, -0.4974641075308743, -8.71401133151131]                    |  2.0430774688720703|      1.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.9904086404058061, -0.4974641075308743, -8.71401133151131]                    |  2.0430774688720703|      0.10000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[0.895910533682866, -0.5283758132078373, -8.7033073940152]                      |  1.8644217252731323|      1.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[0.895910533682866, -0.5283758132078373, -8.7033073940152]                      |  1.8644217252731323|      0.10000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[0.7987909293807692, -0.5073335263515463, -8.692126847335286]                   |  1.7002042531967163|      1.00000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[0.7987909293807692, -0.5073335263515463, -8.692126847335286]                   |  1.7002042531967163|      0.10000000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
