k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.50000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[1.0, 0.1]                                                                      |  3.0203003000300002|      0.25000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       3|[0.7501474315682803, 0.0914154762465917]                                        |  0.9595800042152405|      0.50000000|[17, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[0.7501474315682803, 0.0914154762465917]                                        |  0.9595800042152405|      0.25000000|[23, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[0.5262552889214754, 0.2026463553271134]                                        |  0.2578999102115631|      0.50000000|[29, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       6|[0.5262552889214754, 0.2026463553271134]                                        |  0.2578999102115631|      0.25000000|[35, 12, 0, 12]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[0.5262552889214754, 0.2026463553271134]                                        |  0.2578999102115631|      0.12500000|[40, 14, 0, 14]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[0.5262552889214754, 0.2026463553271134]                                        |  0.2578999102115631|      0.06250000|[46, 16, 0, 16]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[0.4645961883821332, 0.1924284631433368]                                        |  0.1598718315362930|      0.12500000|[51, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      10|[0.4645961883821332, 0.1924284631433368]                                        |  0.1598718315362930|      0.06250000|[57, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[0.4031971478206495, 0.180749087383937]                                         |  0.0931093096733093|      0.12500000|[63, 22, 0, 22]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      12|[0.4031971478206495, 0.180749087383937]                                         |  0.0931093096733093|      0.06250000|[68, 24, 0, 24]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
