k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6086585485476752, 0.050599473707634, 0.1384813977418705, 0.7794992754388204, -0.0047327376407361, 0.0009223873009766, -0.0040463495215168, 0.0039738893039355, 0.0032375379429151, 0.0004216718425405, -0.0012149941420723, -0.0014573707017666, -0.0010809541638961, -0.0027838741981676, 0.0010316381100019, 0.0031647868917324, 0.0079071868142221, 0.00114406518138, -0.0003495236642305, 0.0036037853978884, 0.0029761956023178, 0.0016656623243788]| 13.1513357162475586|      2.00000000|[118, 8, 0, 2]                                                             |  | trying linear partial model with 61 points | iterate success | actual_k=4
       2|[0.6086585485476752, 0.050599473707634, 0.1384813977418705, 0.7794992754388204, -0.0047327376407361, 0.0009223873009766, -0.0040463495215168, 0.0039738893039355, 0.0032375379429151, 0.0004216718425405, -0.0012149941420723, -0.0014573707017666, -0.0010809541638961, -0.0027838741981676, 0.0010316381100019, 0.0031647868917324, 0.0079071868142221, 0.00114406518138, -0.0003495236642305, 0.0036037853978884, 0.0029761956023178, 0.0016656623243788]| 13.1513357162475586|      1.00000000|[234, 16, 0, 4]                                                            |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       3|[0.6086585485476752, 0.050599473707634, 0.1384813977418705, 0.7794992754388204, -0.0047327376407361, 0.0009223873009766, -0.0040463495215168, 0.0039738893039355, 0.0032375379429151, 0.0004216718425405, -0.0012149941420723, -0.0014573707017666, -0.0010809541638961, -0.0027838741981676, 0.0010316381100019, 0.0031647868917324, 0.0079071868142221, 0.00114406518138, -0.0003495236642305, 0.0036037853978884, 0.0029761956023178, 0.0016656623243788]| 13.1513357162475586|      0.50000000|[351, 24, 0, 6]                                                            |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       4|[0.9136539227318856, 0.0756875225803074, 0.2062659047643107, 1.1690166464422043, -0.0039606534040917, 0.0029187221939438, -0.0036432971684701, 0.0013703457815607, 0.0047309907019895, -0.0010763465125042, -0.0034421625310912, -0.0006176564339206, -0.0031842939040296, -0.0022083474167106, 0.0015725499743085, 0.0024215647380467, 0.008390502220056, 0.0009594653672887, 0.000546932796031, 0.0034778834964231, 0.003799351390911, 0.0007368823642233]| 12.5803775787353516|      1.00000000|[468, 32, 0, 8]                                                            |  | trying linear partial model with 61 points | iterate success | actual_k=4
       5|[0.9136539227318856, 0.0756875225803074, 0.2062659047643107, 1.1690166464422043, -0.0039606534040917, 0.0029187221939438, -0.0036432971684701, 0.0013703457815607, 0.0047309907019895, -0.0010763465125042, -0.0034421625310912, -0.0006176564339206, -0.0031842939040296, -0.0022083474167106, 0.0015725499743085, 0.0024215647380467, 0.008390502220056, 0.0009594653672887, 0.000546932796031, 0.0034778834964231, 0.003799351390911, 0.0007368823642233]| 12.5803775787353516|      0.50000000|[585, 40, 0, 10]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       6|[0.9136539227318856, 0.0756875225803074, 0.2062659047643107, 1.1690166464422043, -0.0039606534040917, 0.0029187221939438, -0.0036432971684701, 0.0013703457815607, 0.0047309907019895, -0.0010763465125042, -0.0034421625310912, -0.0006176564339206, -0.0031842939040296, -0.0022083474167106, 0.0015725499743085, 0.0024215647380467, 0.008390502220056, 0.0009594653672887, 0.000546932796031, 0.0034778834964231, 0.003799351390911, 0.0007368823642233]| 12.5803775787353516|      0.25000000|[701, 48, 0, 12]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       7|[1.0651855363283234, 0.0883063141757577, 0.2398690339980658, 1.3645686581531196, -0.0042023636831217, 0.0032934981220903, -0.0034796317968669, 0.001825915441797, 0.0056405101448189, -0.0001740777148053, -0.002756183393564, -0.0022221130441915, -0.0029897421625412, -0.0032053337795983, 0.0017376511699267, 0.002247356965472, 0.0078944158923158, 0.0001741705889032, 0.0001233083146782, 0.0036720690316816, 0.0032608117988878, 0.0020009266824102]| 12.3832559585571289|      0.50000000|[818, 56, 0, 14]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       8|[1.0651855363283234, 0.0883063141757577, 0.2398690339980658, 1.3645686581531196, -0.0042023636831217, 0.0032934981220903, -0.0034796317968669, 0.001825915441797, 0.0056405101448189, -0.0001740777148053, -0.002756183393564, -0.0022221130441915, -0.0029897421625412, -0.0032053337795983, 0.0017376511699267, 0.002247356965472, 0.0078944158923158, 0.0001741705889032, 0.0001233083146782, 0.0036720690316816, 0.0032608117988878, 0.0020009266824102]| 12.3832559585571289|      0.25000000|[934, 64, 0, 16]                                                           |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
       9|[1.2174260926395937, 0.1020014943341687, 0.2749549886195467, 1.5591624662900703, -0.0051735128831984, 0.0015161341528732, -0.003873330043017, 0.0003773692675823, 0.0084454074970014, 0.0009377010101656, -0.0037291182856809, -0.0049219170331606, -0.0021208978428584, -0.0051653567948009, 0.00133415437648, 0.0030129958981504, 0.0090235163468641, -0.0017490833830548, -0.0011858383958425, 0.0026453132344625, 0.0029027597417715, 0.0027562636503361]| 12.2450628280639648|      0.50000000|[1050, 72, 0, 18]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
      10|[1.2174260926395937, 0.1020014943341687, 0.2749549886195467, 1.5591624662900703, -0.0051735128831984, 0.0015161341528732, -0.003873330043017, 0.0003773692675823, 0.0084454074970014, 0.0009377010101656, -0.0037291182856809, -0.0049219170331606, -0.0021208978428584, -0.0051653567948009, 0.00133415437648, 0.0030129958981504, 0.0090235163468641, -0.0017490833830548, -0.0011858383958425, 0.0026453132344625, 0.0029027597417715, 0.0027562636503361]| 12.2450628280639648|      0.25000000|[1166, 80, 0, 20]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      11|[1.2174260926395937, 0.1020014943341687, 0.2749549886195467, 1.5591624662900703, -0.0051735128831984, 0.0015161341528732, -0.003873330043017, 0.0003773692675823, 0.0084454074970014, 0.0009377010101656, -0.0037291182856809, -0.0049219170331606, -0.0021208978428584, -0.0051653567948009, 0.00133415437648, 0.0030129958981504, 0.0090235163468641, -0.0017490833830548, -0.0011858383958425, 0.0026453132344625, 0.0029027597417715, 0.0027562636503361]| 12.2450628280639648|      0.12500000|[1282, 88, 0, 22]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
