k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7503748359903852|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.530218063484071, 0.7952683554427464, 5.253291017953994, 5.197970746852507, 6.362115094741397, 7.875064317074434]|189.0641174316406250|      2.00000000|[14, 2, 0, 2]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       2|[0.2882056777976344, 1.3543859176166435, 4.224605171314183, 6.43411831608684, 5.341423718076614, 7.847654712111742]| 95.9713592529296875|      4.00000000|[28, 4, 0, 4]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       3|[-1.8735610901615196, 0.5281686001980153, 2.0647868584575053, 7.534404343014156, 3.474333592542304, 6.715109188578709]| 45.2484321594238281|      8.00000000|[42, 6, 0, 6]                                                              |  | trying linear partial model with 8 points | iterate success | actual_k=1
       4|[-1.8735610901615196, 0.5281686001980153, 2.0647868584575053, 7.534404343014156, 3.474333592542304, 6.715109188578709]| 45.2484321594238281|      4.00000000|[55, 8, 0, 8]                                                              |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-1.8735610901615196, 0.5281686001980153, 2.0647868584575053, 7.534404343014156, 3.474333592542304, 6.715109188578709]| 45.2484321594238281|      2.00000000|[68, 10, 0, 10]                                                            |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       6|[-0.2450285411269246, 1.1469498465318897, 2.004220349970989, 6.60668012185527, 3.188369732885228, 6.5777205266909835]|  9.9043779373168945|      4.00000000|[81, 12, 0, 12]                                                            |  | trying linear partial model with 8 points | iterate success | actual_k=1
       7|[-0.2450285411269246, 1.1469498465318897, 2.004220349970989, 6.60668012185527, 3.188369732885228, 6.5777205266909835]|  9.9043779373168945|      2.00000000|[94, 14, 0, 14]                                                            |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.2450285411269246, 1.1469498465318897, 2.004220349970989, 6.60668012185527, 3.188369732885228, 6.5777205266909835]|  9.9043779373168945|      1.00000000|[108, 16, 0, 16]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       9|[-0.5386863589114346, 1.4604743859439946, 1.3321947752716887, 6.766250427769569, 2.60823164280072, 6.534986581237062]|  4.1810474395751953|      2.00000000|[121, 18, 0, 18]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      10|[-0.5386863589114346, 1.4604743859439946, 1.3321947752716887, 6.766250427769569, 2.60823164280072, 6.534986581237062]|  4.1810474395751953|      1.00000000|[134, 20, 0, 20]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      11|[-0.5386863589114346, 1.4604743859439946, 1.3321947752716887, 6.766250427769569, 2.60823164280072, 6.534986581237062]|  4.1810474395751953|      0.50000000|[148, 22, 0, 22]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      12|[-0.1221279868674069, 1.4962822390103105, 1.1262676583986324, 6.696521958821025, 2.5497309603625666, 6.378440889352796]|  2.3578321933746338|      1.00000000|[162, 24, 0, 24]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
