k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6089246306237099, 0.0547627230148155, 0.1369095758715928, 0.7790905807788936, -0.0027062693678941, 0.0008228510716478, -0.0073877657276309, 0.0044154624338403, -0.0047443692281261, 0.0025997519153439, -0.0030349374239684, -0.0076431646152507, -0.0039602489175381, -0.0079572901180379, 0.002029310685563, 0.0022668858499807, 0.0063480730495962, 0.0019722217699703, -0.0002234826966085, 0.0079065081748448, -0.0010089908116513, 0.0105106115877916]| 13.1515474319458008|     10.00000000|[106, 16, 0, 2]                                                            |  | trying linear partial model with 57 points | iterate success | actual_k=8
       2|[0.6089246306237099, 0.0547627230148155, 0.1369095758715928, 0.7790905807788936, -0.0027062693678941, 0.0008228510716478, -0.0073877657276309, 0.0044154624338403, -0.0047443692281261, 0.0025997519153439, -0.0030349374239684, -0.0076431646152507, -0.0039602489175381, -0.0079572901180379, 0.002029310685563, 0.0022668858499807, 0.0063480730495962, 0.0019722217699703, -0.0002234826966085, 0.0079065081748448, -0.0010089908116513, 0.0105106115877916]| 13.1515474319458008|      1.00000000|[210, 32, 0, 4]                                                            |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       3|[1.2170308682396898, 0.1114257233569993, 0.2702450626992164, 1.5592732701128187, 0.0047316620535523, 0.010412075551818, -0.0144226902892227, 0.0062324767645573, -0.0066037491781222, -0.0023275166746803, -0.0049211087465236, -0.0192496988321024, -0.005346114698597, 0.000400514849158, -0.0027169531217407, -0.0029599480277991, 0.0007692026530308, 0.0044859007771533, 0.0006233144046688, 0.0101693755948777, -0.001816836869242, 0.0115604263197518]| 12.2452001571655273|     10.00000000|[315, 48, 0, 6]                                                            |  | trying linear partial model with 57 points | iterate success | actual_k=8
       4|[1.2170308682396898, 0.1114257233569993, 0.2702450626992164, 1.5592732701128187, 0.0047316620535523, 0.010412075551818, -0.0144226902892227, 0.0062324767645573, -0.0066037491781222, -0.0023275166746803, -0.0049211087465236, -0.0192496988321024, -0.005346114698597, 0.000400514849158, -0.0027169531217407, -0.0029599480277991, 0.0007692026530308, 0.0044859007771533, 0.0006233144046688, 0.0101693755948777, -0.001816836869242, 0.0115604263197518]| 12.2452001571655273|      1.00000000|[421, 64, 0, 8]                                                            |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       5|[1.2170308682396898, 0.1114257233569993, 0.2702450626992164, 1.5592732701128187, 0.0047316620535523, 0.010412075551818, -0.0144226902892227, 0.0062324767645573, -0.0066037491781222, -0.0023275166746803, -0.0049211087465236, -0.0192496988321024, -0.005346114698597, 0.000400514849158, -0.0027169531217407, -0.0029599480277991, 0.0007692026530308, 0.0044859007771533, 0.0006233144046688, 0.0101693755948777, -0.001816836869242, 0.0115604263197518]| 12.2452001571655273|      0.10000000|[526, 80, 0, 10]                                                           |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       6|[1.277717035767644, 0.1164972796977787, 0.2838608588993253, 1.6374145087796659, 0.0047075764004003, 0.0104149571836012, -0.014383749139268, 0.00621135989006, -0.0065672392719862, -0.0023090911200619, -0.0049298189381731, -0.0192485500956954, -0.0053135231827403, 0.0004369376347176, -0.0026539636586868, -0.0029335426562904, 0.0007103340291704, 0.0044979871273014, 0.0006849249398385, 0.010097976238889, -0.0017956436892866, 0.0115919202226432]| 12.2063674926757812|      1.00000000|[630, 96, 0, 12]                                                           |  | trying linear partial model with 57 points | iterate success | actual_k=8
       7|[1.277717035767644, 0.1164972796977787, 0.2838608588993253, 1.6374145087796659, 0.0047075764004003, 0.0104149571836012, -0.014383749139268, 0.00621135989006, -0.0065672392719862, -0.0023090911200619, -0.0049298189381731, -0.0192485500956954, -0.0053135231827403, 0.0004369376347176, -0.0026539636586868, -0.0029335426562904, 0.0007103340291704, 0.0044979871273014, 0.0006849249398385, 0.010097976238889, -0.0017956436892866, 0.0115919202226432]| 12.2063674926757812|      0.10000000|[735, 112, 0, 14]                                                          |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       8|[1.3384199837700446, 0.1218177954821902, 0.2989488084655285, 1.715210257773872, 0.0047253777021708, 0.0109329843560354, -0.0160690414454845, 0.0069196072650509, -0.0062704669440101, -0.0022709195076173, -0.0046744398678403, -0.0194767013861918, -0.0051845958146388, 0.0009420995075687, -0.0029958669856916, -0.0034513995598491, -0.000554109504487, 0.0050966519593986, 0.0006476982138873, 0.0098583836772294, -0.0021111448957161, 0.0122474376582789]| 12.1769723892211914|      1.00000000|[839, 128, 0, 16]                                                          |  | trying linear partial model with 57 points | iterate success | actual_k=8
       9|[1.3384199837700446, 0.1218177954821902, 0.2989488084655285, 1.715210257773872, 0.0047253777021708, 0.0109329843560354, -0.0160690414454845, 0.0069196072650509, -0.0062704669440101, -0.0022709195076173, -0.0046744398678403, -0.0194767013861918, -0.0051845958146388, 0.0009420995075687, -0.0029958669856916, -0.0034513995598491, -0.000554109504487, 0.0050966519593986, 0.0006476982138873, 0.0098583836772294, -0.0021111448957161, 0.0122474376582789]| 12.1769723892211914|      0.10000000|[943, 144, 0, 18]                                                          |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      10|[1.3988623952064068, 0.1268019522744461, 0.3120898861282915, 1.7936107061539588, 0.0047434932482936, 0.0113351211279729, -0.0166714290667965, 0.0067848515886225, -0.005807322921103, -0.0021762637734693, -0.0048535109527736, -0.0194115246503905, -0.0045034871127281, 0.000960736849584, -0.0025471854853412, -0.0027988180173316, -0.0005321170637705, 0.005492043869373, 0.0009271913164258, 0.0097262980039506, -0.0023775245895173, 0.0116667225149989]| 12.1569890975952148|      1.00000000|[1048, 160, 0, 20]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
      11|[1.3988623952064068, 0.1268019522744461, 0.3120898861282915, 1.7936107061539588, 0.0047434932482936, 0.0113351211279729, -0.0166714290667965, 0.0067848515886225, -0.005807322921103, -0.0021762637734693, -0.0048535109527736, -0.0194115246503905, -0.0045034871127281, 0.000960736849584, -0.0025471854853412, -0.0027988180173316, -0.0005321170637705, 0.005492043869373, 0.0009271913164258, 0.0097262980039506, -0.0023775245895173, 0.0116667225149989]| 12.1569890975952148|      0.10000000|[1152, 176, 0, 22]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
