k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6046763587936216, 0.0529365046011554, 0.1347814635630586, 0.7824561603678388, -0.0059130604886967, -0.0030157359189857, -0.0064709334390101, 0.018628472717783, -0.010677566669248, -0.0074138494399871, 0.002584147084109, -0.0101854408206783, -0.0137255503199514, -0.0083294421051466, 0.0026641990545058, 0.0060974555989365, 0.0079779467691121, 0.0016264850975675, 0.002640729047633, 0.0055151234584257, -0.002542585243639, 0.0059998431773787]| 13.1520252227783203|      1.11111111|[83, 32, 0, 2]                                                             |  | trying linear partial model with 49 points | iterate success | actual_k=16
       2|[0.6046763587936216, 0.0529365046011554, 0.1347814635630586, 0.7824561603678388, -0.0059130604886967, -0.0030157359189857, -0.0064709334390101, 0.018628472717783, -0.010677566669248, -0.0074138494399871, 0.002584147084109, -0.0101854408206783, -0.0137255503199514, -0.0083294421051466, 0.0026641990545058, 0.0060974555989365, 0.0079779467691121, 0.0016264850975675, 0.002640729047633, 0.0055151234584257, -0.002542585243639, 0.0059998431773787]| 13.1520252227783203|      1.00000000|[166, 64, 0, 4]                                                            |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       3|[0.6046763587936216, 0.0529365046011554, 0.1347814635630586, 0.7824561603678388, -0.0059130604886967, -0.0030157359189857, -0.0064709334390101, 0.018628472717783, -0.010677566669248, -0.0074138494399871, 0.002584147084109, -0.0101854408206783, -0.0137255503199514, -0.0083294421051466, 0.0026641990545058, 0.0060974555989365, 0.0079779467691121, 0.0016264850975675, 0.002640729047633, 0.0055151234584257, -0.002542585243639, 0.0059998431773787]| 13.1520252227783203|      0.90000000|[247, 96, 0, 6]                                                            |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       4|[0.6046763587936216, 0.0529365046011554, 0.1347814635630586, 0.7824561603678388, -0.0059130604886967, -0.0030157359189857, -0.0064709334390101, 0.018628472717783, -0.010677566669248, -0.0074138494399871, 0.002584147084109, -0.0101854408206783, -0.0137255503199514, -0.0083294421051466, 0.0026641990545058, 0.0060974555989365, 0.0079779467691121, 0.0016264850975675, 0.002640729047633, 0.0055151234584257, -0.002542585243639, 0.0059998431773787]| 13.1520252227783203|      0.81000000|[332, 128, 0, 8]                                                           |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       5|[0.6046763587936216, 0.0529365046011554, 0.1347814635630586, 0.7824561603678388, -0.0059130604886967, -0.0030157359189857, -0.0064709334390101, 0.018628472717783, -0.010677566669248, -0.0074138494399871, 0.002584147084109, -0.0101854408206783, -0.0137255503199514, -0.0083294421051466, 0.0026641990545058, 0.0060974555989365, 0.0079779467691121, 0.0016264850975675, 0.002640729047633, 0.0055151234584257, -0.002542585243639, 0.0059998431773787]| 13.1520252227783203|      0.72900000|[418, 160, 0, 10]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       6|[0.6046763587936216, 0.0529365046011554, 0.1347814635630586, 0.7824561603678388, -0.0059130604886967, -0.0030157359189857, -0.0064709334390101, 0.018628472717783, -0.010677566669248, -0.0074138494399871, 0.002584147084109, -0.0101854408206783, -0.0137255503199514, -0.0083294421051466, 0.0026641990545058, 0.0060974555989365, 0.0079779467691121, 0.0016264850975675, 0.002640729047633, 0.0055151234584257, -0.002542585243639, 0.0059998431773787]| 13.1520252227783203|      0.65610000|[503, 192, 0, 12]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       7|[1.0054240678585455, 0.1010521278200183, 0.2161117629216135, 1.2914933551200494, -0.0076839138768858, -0.0091700414477621, 0.0044443213296728, 0.0500605984075431, -0.015435735148396, -0.0115575652752039, 0.0036835076456469, -0.0057672267697516, -0.0169388972151583, 0.0043884596157992, 0.0099351830082197, 0.015253457287962, 0.0002466622930416, -0.0053724344724296, 0.0114907439151938, -0.0041856966232516, 0.0006646058429959, 0.0093122741669479]| 12.4519472122192383|      0.72900000|[586, 224, 0, 14]                                                          |  | trying linear partial model with 49 points | iterate success | actual_k=16
       8|[1.0054240678585455, 0.1010521278200183, 0.2161117629216135, 1.2914933551200494, -0.0076839138768858, -0.0091700414477621, 0.0044443213296728, 0.0500605984075431, -0.015435735148396, -0.0115575652752039, 0.0036835076456469, -0.0057672267697516, -0.0169388972151583, 0.0043884596157992, 0.0099351830082197, 0.015253457287962, 0.0002466622930416, -0.0053724344724296, 0.0114907439151938, -0.0041856966232516, 0.0006646058429959, 0.0093122741669479]| 12.4519472122192383|      0.65610000|[670, 256, 0, 16]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       9|[1.0054240678585455, 0.1010521278200183, 0.2161117629216135, 1.2914933551200494, -0.0076839138768858, -0.0091700414477621, 0.0044443213296728, 0.0500605984075431, -0.015435735148396, -0.0115575652752039, 0.0036835076456469, -0.0057672267697516, -0.0169388972151583, 0.0043884596157992, 0.0099351830082197, 0.015253457287962, 0.0002466622930416, -0.0053724344724296, 0.0114907439151938, -0.0041856966232516, 0.0006646058429959, 0.0093122741669479]| 12.4519472122192383|      0.59049000|[752, 288, 0, 18]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      10|[1.0054240678585455, 0.1010521278200183, 0.2161117629216135, 1.2914933551200494, -0.0076839138768858, -0.0091700414477621, 0.0044443213296728, 0.0500605984075431, -0.015435735148396, -0.0115575652752039, 0.0036835076456469, -0.0057672267697516, -0.0169388972151583, 0.0043884596157992, 0.0099351830082197, 0.015253457287962, 0.0002466622930416, -0.0053724344724296, 0.0114907439151938, -0.0041856966232516, 0.0006646058429959, 0.0093122741669479]| 12.4519472122192383|      0.53144100|[835, 320, 0, 20]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      11|[1.0054240678585455, 0.1010521278200183, 0.2161117629216135, 1.2914933551200494, -0.0076839138768858, -0.0091700414477621, 0.0044443213296728, 0.0500605984075431, -0.015435735148396, -0.0115575652752039, 0.0036835076456469, -0.0057672267697516, -0.0169388972151583, 0.0043884596157992, 0.0099351830082197, 0.015253457287962, 0.0002466622930416, -0.0053724344724296, 0.0114907439151938, -0.0041856966232516, 0.0006646058429959, 0.0093122741669479]| 12.4519472122192383|      0.47829690|[919, 352, 0, 22]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
