k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |749.0383999999999105|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.3523386544900162, 0.4694623073445165]                                       | 28.1665019989013672|      1.11111111|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[-0.3523386544900162, 0.4694623073445165]                                       | 28.1665019989013672|      1.00000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-0.3523386544900162, 0.4694623073445165]                                       | 28.1665019989013672|      0.90000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.5462573030767884, 0.4192098940233915]                                        |  6.7701535224914551|      1.00000000|[26, 9, 0, 9]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[0.5462573030767884, 0.4192098940233915]                                        |  6.7701535224914551|      0.90000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.5462573030767884, 0.4192098940233915]                                        |  6.7701535224914551|      0.81000000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.5462573030767884, 0.4192098940233915]                                        |  6.7701535224914551|      0.72900000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.5462573030767884, 0.4192098940233915]                                        |  6.7701535224914551|      0.65610000|[52, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.0358605573421621, 0.0069449647079354]                                        |  0.9343242645263672|      0.72900000|[60, 21, 0, 21]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      10|[0.0358605573421621, 0.0069449647079354]                                        |  0.9343242645263672|      0.65610000|[66, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.0358605573421621, 0.0069449647079354]                                        |  0.9343242645263672|      0.59049000|[74, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.0358605573421621, 0.0069449647079354]                                        |  0.9343242645263672|      0.53144100|[80, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.0358605573421621, 0.0069449647079354]                                        |  0.9343242645263672|      0.47829690|[87, 31, 0, 31]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.0358605573421621, 0.0069449647079354]                                        |  0.9343242645263672|      0.43046721|[94, 34, 0, 34]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.0358605573421621, 0.0069449647079354]                                        |  0.9343242645263672|      0.38742049|[101, 37, 0, 37]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.0358605573421621, 0.0069449647079354]                                        |  0.9343242645263672|      0.34867844|[108, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[0.0358605573421621, 0.0069449647079354]                                        |  0.9343242645263672|      0.31381060|[116, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      18|[0.0358605573421621, 0.0069449647079354]                                        |  0.9343242645263672|      0.28242954|[123, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[0.0358605573421621, 0.0069449647079354]                                        |  0.9343242645263672|      0.25418658|[130, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[0.0358605573421621, 0.0069449647079354]                                        |  0.9343242645263672|      0.22876792|[136, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[0.2645190364180838, 0.0140205035158615]                                        |  0.5429464578628540|      0.25418658|[142, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      22|[0.2645190364180838, 0.0140205035158615]                                        |  0.5429464578628540|      0.22876792|[149, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      23|[0.2645190364180838, 0.0140205035158615]                                        |  0.5429464578628540|      0.20589113|[155, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[0.2645190364180838, 0.0140205035158615]                                        |  0.5429464578628540|      0.18530202|[163, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      25|[0.2645190364180838, 0.0140205035158615]                                        |  0.5429464578628540|      0.16677182|[169, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[0.2645190364180838, 0.0140205035158615]                                        |  0.5429464578628540|      0.15009464|[175, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[0.2645190364180838, 0.0140205035158615]                                        |  0.5429464578628540|      0.13508517|[181, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[0.2645190364180838, 0.0140205035158615]                                        |  0.5429464578628540|      0.12157665|[187, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[0.2645190364180838, 0.0140205035158615]                                        |  0.5429464578628540|      0.10941899|[194, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      30|[0.37158042020635, 0.0366119904944476]                                          |  0.4164991974830627|      0.12157665|[199, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      31|[0.37158042020635, 0.0366119904944476]                                          |  0.4164991974830627|      0.10941899|[207, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[0.37158042020635, 0.0366119904944476]                                          |  0.4164991974830627|      0.09847709|[213, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[0.37158042020635, 0.0366119904944476]                                          |  0.4164991974830627|      0.08862938|[220, 82, 0, 82]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[0.37158042020635, 0.0366119904944476]                                          |  0.4164991974830627|      0.07976644|[227, 85, 0, 85]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[0.37158042020635, 0.0366119904944476]                                          |  0.4164991974830627|      0.07178980|[235, 88, 0, 88]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[0.37158042020635, 0.0366119904944476]                                          |  0.4164991974830627|      0.06461082|[241, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[0.37158042020635, 0.0366119904944476]                                          |  0.4164991974830627|      0.05814974|[248, 93, 0, 93]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[0.37158042020635, 0.0366119904944476]                                          |  0.4164991974830627|      0.05233476|[255, 96, 0, 96]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[0.419661046963876, 0.0572803426434914]                                         |  0.3644437491893768|      0.05814974|[261, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      40|[0.419661046963876, 0.0572803426434914]                                         |  0.3644437491893768|      0.05233476|[267, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[0.419661046963876, 0.0572803426434914]                                         |  0.3644437491893768|      0.04710129|[273, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[0.419661046963876, 0.0572803426434914]                                         |  0.3644437491893768|      0.04239116|[281, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[0.4343603962707883, 0.0970413716778086]                                        |  0.3427221477031708|      0.04710129|[286, 107, 0, 107]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      44|[0.4343603962707883, 0.0970413716778086]                                        |  0.3427221477031708|      0.04239116|[292, 109, 0, 109]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[0.475217054567437, 0.0857389926032365]                                         |  0.3219662010669708|      0.04710129|[298, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      46|[0.475217054567437, 0.0857389926032365]                                         |  0.3219662010669708|      0.04239116|[304, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[0.475217054567437, 0.0857389926032365]                                         |  0.3219662010669708|      0.03815204|[311, 116, 0, 116]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      48|[0.475217054567437, 0.0857389926032365]                                         |  0.3219662010669708|      0.03433684|[317, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[0.475217054567437, 0.0857389926032365]                                         |  0.3219662010669708|      0.03090315|[325, 121, 0, 121]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      50|[0.4679706599929527, 0.1157805424378857]                                        |  0.3007351458072662|      0.03433684|[330, 123, 0, 123]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      51|[0.4679706599929527, 0.1157805424378857]                                        |  0.3007351458072662|      0.03090315|[337, 126, 0, 126]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      52|[0.4679706599929527, 0.1157805424378857]                                        |  0.3007351458072662|      0.02781284|[345, 129, 0, 129]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[0.4679706599929527, 0.1157805424378857]                                        |  0.3007351458072662|      0.02503156|[352, 132, 0, 132]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[0.4930022136186829, 0.1157889863702308]                                        |  0.2586755156517029|      0.02781284|[357, 134, 0, 134]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      55|[0.515276285895134, 0.1324449076707432]                                         |  0.2368632107973099|      0.03090315|[363, 136, 0, 136]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      56|[0.515276285895134, 0.1324449076707432]                                         |  0.2368632107973099|      0.02781284|[369, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      57|[0.515276285895134, 0.1324449076707432]                                         |  0.2368632107973099|      0.02503156|[375, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      58|[0.531204391083271, 0.1517548588186213]                                         |  0.2201155126094818|      0.02781284|[380, 142, 0, 142]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      59|[0.5566482622208464, 0.162987108445472]                                         |  0.2055751532316208|      0.03090315|[385, 144, 0, 144]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      60|[0.5566482622208464, 0.162987108445472]                                         |  0.2055751532316208|      0.02781284|[391, 146, 0, 146]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      61|[0.5566482622208464, 0.162987108445472]                                         |  0.2055751532316208|      0.02503156|[399, 149, 0, 149]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      62|[0.5566482622208464, 0.162987108445472]                                         |  0.2055751532316208|      0.02252840|[406, 152, 0, 152]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      63|[0.5566482622208464, 0.162987108445472]                                         |  0.2055751532316208|      0.02027556|[413, 155, 0, 155]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      64|[0.5566482622208464, 0.162987108445472]                                         |  0.2055751532316208|      0.01824800|[420, 158, 0, 158]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      65|[0.5566482622208464, 0.162987108445472]                                         |  0.2055751532316208|      0.01642320|[426, 160, 0, 160]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
