k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      0.20000000|[45, 3, 0, 3]                                                              |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      0.04000000|[88, 6, 0, 6]                                                              |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      0.00800000|[131, 9, 0, 9]                                                             |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      0.00160000|[175, 12, 0, 12]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      0.00032000|[218, 15, 0, 15]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      0.00006400|[261, 18, 0, 18]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[94.90000225798065, 0.0090637573255765, 90.09999701479035, 112.99999805336996, 19.999997654964712, 73.80000014519268, 140.00000138332527, 19.999997597864834]|18899.8671875000000000|      0.00032000|[290, 20, 0, 20]                                                           |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
       8|[94.90000225798065, 0.0090637573255765, 90.09999701479035, 112.99999805336996, 19.999997654964712, 73.80000014519268, 140.00000138332527, 19.999997597864834]|18899.8671875000000000|      0.00006400|[333, 23, 0, 23]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[94.90002962441996, 0.0090385847448536, 90.09997519386746, 112.999983460258, 19.999976566914484, 73.80001578548372, 140.00003644945187, 20.000007861869197]|18899.2304687500000000|      0.00032000|[362, 25, 0, 25]                                                           |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
      10|[94.90002962441996, 0.0090385847448536, 90.09997519386746, 112.999983460258, 19.999976566914484, 73.80001578548372, 140.00003644945187, 20.000007861869197]|18899.2304687500000000|      0.00006400|[406, 28, 0, 28]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[94.90002962441996, 0.0090385847448536, 90.09997519386746, 112.999983460258, 19.999976566914484, 73.80001578548372, 140.00003644945187, 20.000007861869197]|18899.2304687500000000|      0.00001280|[450, 31, 0, 31]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[94.90002947855933, 0.009051292358547, 90.0999749802909, 112.99998312206888, 19.9999770725548, 73.8000154627824, 140.0000377904468, 20.000007993080402]|18899.0371093750000000|      0.00006400|[479, 33, 0, 33]                                                           |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
