k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       2|[1.278102436556637, 0.5844773955832707]                                         |  3.2097320556640625|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[1.278102436556637, 0.5844773955832707]                                         |  3.2097320556640625|      0.50000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[1.5737847617330254, 0.1812752594551439]                                        |  1.5830401182174683|      1.00000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[1.5737847617330254, 0.1812752594551439]                                        |  1.5830401182174683|      0.50000000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[1.5737847617330254, 0.1812752594551439]                                        |  1.5830401182174683|      0.25000000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[1.6536809996915285, -0.0556141475686364]                                       |  1.0121724605560303|      0.50000000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[1.6536809996915285, -0.0556141475686364]                                       |  1.0121724605560303|      0.25000000|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[1.6536809996915285, -0.0556141475686364]                                       |  1.0121724605560303|      0.12500000|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.6950132535554947, -0.1735829773099059]                                       |  0.7787846922874451|      0.25000000|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[1.6950132535554947, -0.1735829773099059]                                       |  0.7787846922874451|      0.12500000|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[1.73120473596508, -0.293229024469838]                                          |  0.5779884457588196|      0.25000000|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[1.73120473596508, -0.293229024469838]                                          |  0.5779884457588196|      0.12500000|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[1.7794951957868346, -0.4085244341365003]                                       |  0.4065804183483124|      0.25000000|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[1.7794951957868346, -0.4085244341365003]                                       |  0.4065804183483124|      0.12500000|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.7794951957868346, -0.4085244341365003]                                       |  0.4065804183483124|      0.06250000|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      17|[1.8058320487136323, -0.4652044145344523]                                       |  0.3318666219711304|      0.12500000|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[1.8058320487136323, -0.4652044145344523]                                       |  0.3318666219711304|      0.06250000|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.830441362632539, -0.5226555387048347]                                        |  0.2644615173339844|      0.12500000|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[1.830441362632539, -0.5226555387048347]                                        |  0.2644615173339844|      0.06250000|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[1.8615767518989592, -0.5768481353876704]                                       |  0.2045943886041641|      0.12500000|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[1.8615767518989592, -0.5768481353876704]                                       |  0.2045943886041641|      0.06250000|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[1.8829339087935668, -0.635585873251663]                                        |  0.1520383059978485|      0.12500000|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[1.8829339087935668, -0.635585873251663]                                        |  0.1520383059978485|      0.06250000|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.9081981525452376, -0.6927520169702677]                                       |  0.1068733409047127|      0.12500000|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[1.9081981525452376, -0.6927520169702677]                                       |  0.1068733409047127|      0.06250000|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[1.931034415784495, -0.7509306649544495]                                        |  0.0694738179445267|      0.12500000|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      28|[1.931034415784495, -0.7509306649544495]                                        |  0.0694738179445267|      0.06250000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[1.931034415784495, -0.7509306649544495]                                        |  0.0694738179445267|      0.03125000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      30|[1.9409454414892864, -0.7805673663478058]                                       |  0.0537629686295986|      0.06250000|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[1.9409454414892864, -0.7805673663478058]                                       |  0.0537629686295986|      0.03125000|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
