k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      | 24.0625000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0]                                                                      | 24.0625000000000000|      0.90000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.8961548240794839, 0.0831055430104947]                                        |  5.6888337135314941|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[0.8961548240794839, 0.0831055430104947]                                        |  5.6888337135314941|      0.90000000|[18, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.8961548240794839, 0.0831055430104947]                                        |  5.6888337135314941|      0.81000000|[24, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.8961548240794839, 0.0831055430104947]                                        |  5.6888337135314941|      0.72900000|[29, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.8961548240794839, 0.0831055430104947]                                        |  5.6888337135314941|      0.65610000|[34, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.8961548240794839, 0.0831055430104947]                                        |  5.6888337135314941|      0.59049000|[40, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.8961548240794839, 0.0831055430104947]                                        |  5.6888337135314941|      0.53144100|[46, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.8961548240794839, 0.0831055430104947]                                        |  5.6888337135314941|      0.47829690|[52, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.8961548240794839, 0.0831055430104947]                                        |  5.6888337135314941|      0.43046721|[57, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.8961548240794839, 0.0831055430104947]                                        |  5.6888337135314941|      0.38742049|[62, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.9704063795423847, 0.463344075787407]                                         |  3.3334145545959473|      0.43046721|[68, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[0.9704063795423847, 0.463344075787407]                                         |  3.3334145545959473|      0.38742049|[74, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.9704063795423847, 0.463344075787407]                                         |  3.3334145545959473|      0.34867844|[80, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.9704063795423847, 0.463344075787407]                                         |  3.3334145545959473|      0.31381060|[85, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.9704063795423847, 0.463344075787407]                                         |  3.3334145545959473|      0.28242954|[90, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[0.6962858865331458, 0.3953411465178204]                                        |  1.5451284646987915|      0.31381060|[95, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[0.6962858865331458, 0.3953411465178204]                                        |  1.5451284646987915|      0.28242954|[100, 36, 0, 36]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[0.6962858865331458, 0.3953411465178204]                                        |  1.5451284646987915|      0.25418658|[106, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[0.6962858865331458, 0.3953411465178204]                                        |  1.5451284646987915|      0.22876792|[111, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[0.6962858865331458, 0.3953411465178204]                                        |  1.5451284646987915|      0.20589113|[116, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[0.6962858865331458, 0.3953411465178204]                                        |  1.5451284646987915|      0.18530202|[121, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[0.6962858865331458, 0.3953411465178204]                                        |  1.5451284646987915|      0.16677182|[126, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[0.6962858865331458, 0.3953411465178204]                                        |  1.5451284646987915|      0.15009464|[131, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[0.8029824284139399, 0.5009074645156514]                                        |  1.3186365365982056|      0.16677182|[136, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[0.8029824284139399, 0.5009074645156514]                                        |  1.3186365365982056|      0.15009464|[142, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[0.8029824284139399, 0.5009074645156514]                                        |  1.3186365365982056|      0.13508517|[147, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[0.8029824284139399, 0.5009074645156514]                                        |  1.3186365365982056|      0.12157665|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[0.8029824284139399, 0.5009074645156514]                                        |  1.3186365365982056|      0.10941899|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[0.7184598014541869, 0.4314204821780619]                                        |  0.9553629159927368|      0.12157665|[163, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[0.7184598014541869, 0.4314204821780619]                                        |  0.9553629159927368|      0.10941899|[169, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[0.7184598014541869, 0.4314204821780619]                                        |  0.9553629159927368|      0.09847709|[174, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[0.7184598014541869, 0.4314204821780619]                                        |  0.9553629159927368|      0.08862938|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[0.7184598014541869, 0.4314204821780619]                                        |  0.9553629159927368|      0.07976644|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[0.7184598014541869, 0.4314204821780619]                                        |  0.9553629159927368|      0.07178980|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[0.7026618635058377, 0.5014504783504181]                                        |  0.5841678380966187|      0.07976644|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[0.7026618635058377, 0.5014504783504181]                                        |  0.5841678380966187|      0.07178980|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[0.7026618635058377, 0.5014504783504181]                                        |  0.5841678380966187|      0.06461082|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[0.7026618635058377, 0.5014504783504181]                                        |  0.5841678380966187|      0.05814974|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      40|[0.7026618635058377, 0.5014504783504181]                                        |  0.5841678380966187|      0.05233476|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[0.7026618635058377, 0.5014504783504181]                                        |  0.5841678380966187|      0.04710129|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[0.6557599470242363, 0.5057796196989023]                                        |  0.5617582201957703|      0.05233476|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      43|[0.6557599470242363, 0.5057796196989023]                                        |  0.5617582201957703|      0.04710129|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      44|[0.6631701730159117, 0.5522943462402308]                                        |  0.5158088207244873|      0.05233476|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      45|[0.6631701730159117, 0.5522943462402308]                                        |  0.5158088207244873|      0.04710129|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      46|[0.6631701730159117, 0.5522943462402308]                                        |  0.5158088207244873|      0.04239116|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[0.6631701730159117, 0.5522943462402308]                                        |  0.5158088207244873|      0.03815204|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      48|[0.6364515224194736, 0.5250603224237591]                                        |  0.4934477508068085|      0.04239116|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      49|[0.6364515224194736, 0.5250603224237591]                                        |  0.4934477508068085|      0.03815204|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      50|[0.6364515224194736, 0.5250603224237591]                                        |  0.4934477508068085|      0.03433684|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      51|[0.6434480227797816, 0.558676798153408]                                         |  0.4458089172840118|      0.03815204|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      52|[0.6434480227797816, 0.558676798153408]                                         |  0.4458089172840118|      0.03433684|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[0.6434480227797816, 0.558676798153408]                                         |  0.4458089172840118|      0.03090315|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[0.6129824471812129, 0.5534947469914918]                                        |  0.4037943482398987|      0.03433684|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      55|[0.6129824471812129, 0.5534947469914918]                                        |  0.4037943482398987|      0.03090315|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[0.6129824471812129, 0.5534947469914918]                                        |  0.4037943482398987|      0.02781284|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
