k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.10000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[-1.102968994781809, 0.975813556971985]                                         |10554.6611328125000000|      1.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[-1.102968994781809, 0.975813556971985]                                         |10554.6611328125000000|      0.10000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[-1.0055596549267474, 0.9531989486622862]                                       |3945.2133789062500000|      1.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[-1.0055596549267474, 0.9531989486622862]                                       |3945.2133789062500000|      0.10000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[-0.9078679431102415, 0.9318370797749259]                                       |1380.1506347656250000|      1.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[-0.9078679431102415, 0.9318370797749259]                                       |1380.1506347656250000|      0.10000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[-0.8105726142667538, 0.9087368852900831]                                       |447.5556945800781250|      1.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[-0.8105726142667538, 0.9087368852900831]                                       |447.5556945800781250|      0.10000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[-0.7124526871913809, 0.889437146672073]                                        |132.3679809570312500|      1.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
