k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      0.20000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       2|[0.065761049374019, 9.815200622700965, 1.0390470810063528]                      |  1.4117108583450317|      1.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[0.065761049374019, 9.815200622700965, 1.0390470810063528]                      |  1.4117108583450317|      0.20000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[0.065761049374019, 9.815200622700965, 1.0390470810063528]                      |  1.4117108583450317|      0.04000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[0.1008216235982398, 9.815467221402898, 1.0583002641249966]                     |  1.2014939785003662|      0.20000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[0.2980624286338545, 9.782467125352621, 1.0556434823170187]                     |  0.5899314284324646|      1.00000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[0.2980624286338545, 9.782467125352621, 1.0556434823170187]                     |  0.5899314284324646|      0.20000000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[0.4279716666893905, 9.790288962263729, 1.2075066073183374]                     |  0.1531254053115845|      1.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[0.4279716666893905, 9.790288962263729, 1.2075066073183374]                     |  0.1531254053115845|      0.20000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[0.4279716666893905, 9.790288962263729, 1.2075066073183374]                     |  0.1531254053115845|      0.04000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[0.4377861917915846, 9.809042070401551, 1.2414476743638732]                     |  0.1242988780140877|      0.20000000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[0.4377861917915846, 9.809042070401551, 1.2414476743638732]                     |  0.1242988780140877|      0.04000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[0.4757067873523099, 9.799981084425752, 1.2325074861406715]                     |  0.1000345423817635|      0.20000000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[0.4757067873523099, 9.799981084425752, 1.2325074861406715]                     |  0.1000345423817635|      0.04000000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[0.4919078210947683, 9.787095642188604, 1.2667345497603983]                     |  0.0833594873547554|      0.20000000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[0.4919078210947683, 9.787095642188604, 1.2667345497603983]                     |  0.0833594873547554|      0.04000000|[85, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      17|[0.5294921428528517, 9.773425219649138, 1.2660008566519838]                     |  0.0687905251979828|      0.20000000|[91, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[0.5294921428528517, 9.773425219649138, 1.2660008566519838]                     |  0.0687905251979828|      0.04000000|[97, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.5294921428528517, 9.773425219649138, 1.2660008566519838]                     |  0.0687905251979828|      0.00800000|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[0.5365057524616001, 9.776450411164266, 1.2636223073981603]                     |  0.0663818269968033|      0.04000000|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      21|[0.5365057524616001, 9.776450411164266, 1.2636223073981603]                     |  0.0663818269968033|      0.00800000|[113, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[0.5413705466853844, 9.77107060960501, 1.26024717594246]                        |  0.0647554546594620|      0.04000000|[118, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      23|[0.5413705466853844, 9.77107060960501, 1.26024717594246]                        |  0.0647554546594620|      0.00800000|[124, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      24|[0.5490377515190276, 9.771201963010576, 1.2579675452000356]                     |  0.0623478144407272|      0.04000000|[129, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      25|[0.5490377515190276, 9.771201963010576, 1.2579675452000356]                     |  0.0623478144407272|      0.00800000|[134, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      26|[0.5563380494649881, 9.771513876048944, 1.2547104974330079]                     |  0.0600485242903233|      0.04000000|[140, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      27|[0.5563380494649881, 9.771513876048944, 1.2547104974330079]                     |  0.0600485242903233|      0.00800000|[146, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[0.5641174932707941, 9.771384502175817, 1.2565715499506065]                     |  0.0583319664001465|      0.04000000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      29|[0.5641174932707941, 9.771384502175817, 1.2565715499506065]                     |  0.0583319664001465|      0.00800000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      30|[0.5718414877806298, 9.773207847068697, 1.2575791819338389]                     |  0.0567889548838139|      0.04000000|[164, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[0.5718414877806298, 9.773207847068697, 1.2575791819338389]                     |  0.0567889548838139|      0.00800000|[170, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      32|[0.5762105459879532, 9.775786230461636, 1.2513934508161746]                     |  0.0548509545624256|      0.04000000|[175, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      33|[0.5762105459879532, 9.775786230461636, 1.2513934508161746]                     |  0.0548509545624256|      0.00800000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      34|[0.5769541014104668, 9.781913807418633, 1.2463042538294462]                     |  0.0538951233029366|      0.04000000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      35|[0.5769541014104668, 9.781913807418633, 1.2463042538294462]                     |  0.0538951233029366|      0.00800000|[192, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      36|[0.5848628358011828, 9.780971990527426, 1.2455526546806017]                     |  0.0521206259727478|      0.04000000|[197, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      37|[0.5848628358011828, 9.780971990527426, 1.2455526546806017]                     |  0.0521206259727478|      0.00800000|[203, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      38|[0.5848628358011828, 9.780971990527426, 1.2455526546806017]                     |  0.0521206259727478|      0.00160000|[209, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[0.585617483331023, 9.779687922162067, 1.2461371848669816]                      |  0.0520794391632080|      0.00800000|[214, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      40|[0.5918769027870129, 9.780212045574357, 1.2411828975597432]                     |  0.0501047596335411|      0.04000000|[219, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      41|[0.5918769027870129, 9.780212045574357, 1.2411828975597432]                     |  0.0501047596335411|      0.00800000|[225, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      42|[0.5966320482171732, 9.783638460999555, 1.235737875128936]                      |  0.0483619533479214|      0.04000000|[231, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      43|[0.5966320482171732, 9.783638460999555, 1.235737875128936]                      |  0.0483619533479214|      0.00800000|[236, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      44|[0.5991073324882434, 9.785506174451871, 1.2283632826495223]                     |  0.0469873212277889|      0.04000000|[241, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      45|[0.5991073324882434, 9.785506174451871, 1.2283632826495223]                     |  0.0469873212277889|      0.00800000|[246, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      46|[0.6064912601242689, 9.786311090834339, 1.2253917977878455]                     |  0.0451224111020565|      0.04000000|[251, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      47|[0.6064912601242689, 9.786311090834339, 1.2253917977878455]                     |  0.0451224111020565|      0.00800000|[257, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      48|[0.6134978683928245, 9.787122452960636, 1.2216169955319627]                     |  0.0433136299252510|      0.04000000|[263, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      49|[0.6134978683928245, 9.787122452960636, 1.2216169955319627]                     |  0.0433136299252510|      0.00800000|[269, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      50|[0.6209700620058224, 9.78817276558706, 1.2189593337783433]                      |  0.0415949821472168|      0.04000000|[275, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      51|[0.6209700620058224, 9.78817276558706, 1.2189593337783433]                      |  0.0415949821472168|      0.00800000|[280, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      52|[0.6238293582833455, 9.79151111111941, 1.2122750332237617]                      |  0.0403244346380234|      0.04000000|[286, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      53|[0.6238293582833455, 9.79151111111941, 1.2122750332237617]                      |  0.0403244346380234|      0.00800000|[292, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      54|[0.6317991220429774, 9.791269327667978, 1.2116235684294159]                     |  0.0387896969914436|      0.04000000|[297, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      55|[0.6317991220429774, 9.791269327667978, 1.2116235684294159]                     |  0.0387896969914436|      0.00800000|[302, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      56|[0.6379840961348472, 9.791730044064414, 1.2065704668190231]                     |  0.0371685959398746|      0.04000000|[307, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      57|[0.6379840961348472, 9.791730044064414, 1.2065704668190231]                     |  0.0371685959398746|      0.00800000|[313, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      58|[0.6447639969070367, 9.793379854015997, 1.2026575302436469]                     |  0.0355942472815514|      0.04000000|[318, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      59|[0.6447639969070367, 9.793379854015997, 1.2026575302436469]                     |  0.0355942472815514|      0.00800000|[323, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      60|[0.6509936941400043, 9.793695797870894, 1.1976484333324156]                     |  0.0340605005621910|      0.04000000|[329, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      61|[0.6509936941400043, 9.793695797870894, 1.1976484333324156]                     |  0.0340605005621910|      0.00800000|[335, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      62|[0.6517262611484561, 9.794541691823488, 1.1897270818694963]                     |  0.0333403684198856|      0.04000000|[341, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      63|[0.6517262611484561, 9.794541691823488, 1.1897270818694963]                     |  0.0333403684198856|      0.00800000|[346, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      64|[0.6592343953018284, 9.79346193318398, 1.1871850270283544]                      |  0.0318302772939205|      0.04000000|[352, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      65|[0.6592343953018284, 9.79346193318398, 1.1871850270283544]                      |  0.0318302772939205|      0.00800000|[358, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
