k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.90000000|[21, 3, 0, 3]                                                              |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.81000000|[40, 6, 0, 6]                                                              |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.72900000|[60, 9, 0, 9]                                                              |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.65610000|[79, 12, 0, 12]                                                            |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
       5|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.59049000|[98, 15, 0, 15]                                                            |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.53144100|[117, 18, 0, 18]                                                           |  | trying quadratic partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 14 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.47829690|[136, 21, 0, 21]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
       8|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.43046721|[155, 24, 0, 24]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
       9|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.38742049|[174, 27, 0, 27]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      10|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.34867844|[193, 30, 0, 30]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
      11|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.31381060|[212, 33, 0, 33]                                                           |  | trying quadratic partial model with 8 points | trying quadratic partial model with 14 points | exploitation failed, decreasing delta | actual_k=1
