k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9515013654027005, 2.0080419330366532, -7.883093730584976]                    | 41.2925186157226562|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[2.6368435451957057, 0.1625940416175478, -7.530066569231423]                    |  7.9876036643981934|      4.00000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[2.6368435451957057, 0.1625940416175478, -7.530066569231423]                    |  7.9876036643981934|      2.00000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[2.6368435451957057, 0.1625940416175478, -7.530066569231423]                    |  7.9876036643981934|      1.00000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.7756847111961538, -0.0509465896609041, -7.991375426091696]                   |  4.1547174453735352|      2.00000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[1.7756847111961538, -0.0509465896609041, -7.991375426091696]                   |  4.1547174453735352|      1.00000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[1.7756847111961538, -0.0509465896609041, -7.991375426091696]                   |  4.1547174453735352|      0.50000000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.4240872534957845, -0.3403507182552596, -8.197832390351026]                   |  3.0778796672821045|      1.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[0.4273666972701244, -0.2631072598841659, -8.221948379571543]                   |  1.2196950912475586|      2.00000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[0.4273666972701244, -0.2631072598841659, -8.221948379571543]                   |  1.2196950912475586|      1.00000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[0.4273666972701244, -0.2631072598841659, -8.221948379571543]                   |  1.2196950912475586|      0.50000000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[0.4273666972701244, -0.2631072598841659, -8.221948379571543]                   |  1.2196950912475586|      0.25000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[0.1872976712566461, -0.2327048323113633, -8.159158610129218]                   |  1.0663895606994629|      0.50000000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[0.1872976712566461, -0.2327048323113633, -8.159158610129218]                   |  1.0663895606994629|      0.25000000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[0.1872976712566461, -0.2327048323113633, -8.159158610129218]                   |  1.0663895606994629|      0.12500000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
