k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |749.0383999999999105|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.50000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.2, 1.0]                                                                     |749.0383999999999105|      0.25000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-0.956137211360384, 0.9449460236049202]                                        |334.7189941406250000|      0.50000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[-0.956137211360384, 0.9449460236049202]                                        |334.7189941406250000|      0.25000000|[28, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.7298847208394377, 0.8385984306229015]                                       |153.6512298583984375|      0.50000000|[33, 12, 0, 12]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       6|[-0.7298847208394377, 0.8385984306229015]                                       |153.6512298583984375|      0.25000000|[39, 14, 0, 14]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.7298847208394377, 0.8385984306229015]                                       |153.6512298583984375|      0.12500000|[45, 16, 0, 16]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.6282754336430525, 0.765793535489109]                                        |105.4288482666015625|      0.25000000|[51, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[-0.4275216519084128, 0.6168038743738468]                                       | 50.3325386047363281|      0.50000000|[56, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      10|[-0.4275216519084128, 0.6168038743738468]                                       | 50.3325386047363281|      0.25000000|[64, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-0.298543491069082, 0.4026435745363098]                                        | 20.1119632720947266|      0.50000000|[69, 25, 0, 25]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      12|[-0.154392548609774, -0.0761262091678138]                                       |  1.8574635982513428|      1.00000000|[74, 27, 0, 27]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      13|[-0.154392548609774, -0.0761262091678138]                                       |  1.8574635982513428|      0.50000000|[80, 29, 0, 29]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.154392548609774, -0.0761262091678138]                                       |  1.8574635982513428|      0.25000000|[87, 32, 0, 32]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[-0.154392548609774, -0.0761262091678138]                                       |  1.8574635982513428|      0.12500000|[94, 35, 0, 35]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[-0.154392548609774, -0.0761262091678138]                                       |  1.8574635982513428|      0.06250000|[102, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[-0.1489642571095588, -0.0138623861934036]                                      |  1.3312635421752930|      0.12500000|[109, 41, 0, 41]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      18|[-0.1489642571095588, -0.0138623861934036]                                      |  1.3312635421752930|      0.06250000|[115, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[-0.1489642571095588, -0.0138623861934036]                                      |  1.3312635421752930|      0.03125000|[122, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      20|[-0.1253394676788443, 0.0065932199905842]                                       |  1.2737202644348145|      0.06250000|[127, 48, 0, 48]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      21|[-0.1253394676788443, 0.0065932199905842]                                       |  1.2737202644348145|      0.03125000|[135, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[-0.0953872718677783, -0.0023190449345375]                                      |  1.2000838518142700|      0.06250000|[141, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      23|[-0.0953872718677783, -0.0023190449345375]                                      |  1.2000838518142700|      0.03125000|[148, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      24|[-0.0953872718677783, -0.0023190449345375]                                      |  1.2000838518142700|      0.01562500|[154, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      25|[-0.0799738705250534, 0.0002437043797901]                                       |  1.1664005517959595|      0.03125000|[159, 60, 0, 60]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      26|[-0.04887214800024, 0.0032843220784655]                                         |  1.1012895107269287|      0.06250000|[165, 62, 0, 62]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      27|[-0.04887214800024, 0.0032843220784655]                                         |  1.1012895107269287|      0.03125000|[173, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      28|[-0.04887214800024, 0.0032843220784655]                                         |  1.1012895107269287|      0.01562500|[179, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[-0.0332615659450914, 0.0039554054559044]                                       |  1.0692232847213745|      0.03125000|[185, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      30|[-0.0039134085292194, -0.0067799639505573]                                      |  1.0124388933181763|      0.06250000|[192, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      31|[-0.0039134085292194, -0.0067799639505573]                                      |  1.0124388933181763|      0.03125000|[199, 75, 0, 75]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[-0.0039134085292194, -0.0067799639505573]                                      |  1.0124388933181763|      0.01562500|[205, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
