k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.6946363049347228, 2.047764202659824]                                         | 99.4427566528320312|     10.00000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[1.6946363049347228, 2.047764202659824]                                         | 99.4427566528320312|      1.00000000|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[1.6946363049347228, 2.047764202659824]                                         | 99.4427566528320312|      0.10000000|[17, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.6657510350691656, 1.9520268474383957]                                        | 75.5465011596679688|      1.00000000|[23, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[1.3931131839302866, 0.989910117448539]                                         |  1.0516247749328613|     10.00000000|[29, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       6|[1.3931131839302866, 0.989910117448539]                                         |  1.0516247749328613|      1.00000000|[35, 12, 0, 12]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[1.3931131839302866, 0.989910117448539]                                         |  1.0516247749328613|      1.00000000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
       7|[1.3931131839302866, 0.989910117448539]                                         |  1.0516247749328613|      0.10000000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.323548911895815, 0.9180713253072867]                                         |  0.3778741359710693|      1.00000000|[50, 17, 0, 17]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       9|[1.323548911895815, 0.9180713253072867]                                         |  0.3778741359710693|      0.10000000|[55, 19, 0, 19]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[1.323548911895815, 0.9180713253072867]                                         |  0.3778741359710693|      0.01000000|[60, 21, 0, 21]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[1.3159187643674626, 0.9116075146126905]                                        |  0.3332623839378357|      0.10000000|[65, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      12|[1.2513171221796198, 0.8352751634984092]                                        |  0.0867197215557098|      1.00000000|[71, 25, 0, 25]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      13|[1.2513171221796198, 0.8352751634984092]                                        |  0.0867197215557098|      0.10000000|[76, 27, 0, 27]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
