k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      | 24.0625000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9627928310498483, -0.27024056778918]                                         | 12.0766210556030273|      5.00000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[0.9627928310498483, -0.27024056778918]                                         | 12.0766210556030273|      1.00000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.9627928310498483, -0.27024056778918]                                         | 12.0766210556030273|      0.20000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.0497047242301274, -0.0901119392377485]                                       |  8.0415477752685547|      1.00000000|[26, 9, 0, 9]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       5|[1.0497047242301274, -0.0901119392377485]                                       |  8.0415477752685547|      0.20000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       6|[1.1160607402492129, 0.0985594129545621]                                        |  4.0253810882568359|      1.00000000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       7|[1.1160607402492129, 0.0985594129545621]                                        |  4.0253810882568359|      0.20000000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.1160607402492129, 0.0985594129545621]                                        |  4.0253810882568359|      0.04000000|[52, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       9|[1.1217861466866916, 0.138147538966356]                                         |  3.4020214080810547|      0.20000000|[57, 20, 0, 20]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      10|[1.1011565569721566, 0.3370807439076359]                                        |  2.6690402030944824|      1.00000000|[65, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | iterate success | actual_k=1
      11|[1.1011565569721566, 0.3370807439076359]                                        |  2.6690402030944824|      0.20000000|[73, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[1.1011565569721566, 0.3370807439076359]                                        |  2.6690402030944824|      0.04000000|[79, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[1.0728425116712463, 0.3088262780889729]                                        |  2.1673669815063477|      0.20000000|[84, 30, 0, 30]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      14|[0.886533268850626, 0.3815508684254414]                                         |  1.2398866415023804|      1.00000000|[89, 32, 0, 32]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      15|[0.886533268850626, 0.3815508684254414]                                         |  1.2398866415023804|      0.20000000|[96, 35, 0, 35]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.886533268850626, 0.3815508684254414]                                         |  1.2398866415023804|      0.04000000|[104, 38, 0, 38]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[0.8503875109810137, 0.3986822486392876]                                        |  1.0979882478713989|      0.20000000|[109, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      18|[0.8503875109810137, 0.3986822486392876]                                        |  1.0979882478713989|      0.04000000|[117, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[0.8189881452989513, 0.4234628829080895]                                        |  0.9683408141136169|      0.20000000|[122, 45, 0, 45]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      20|[0.8189881452989513, 0.4234628829080895]                                        |  0.9683408141136169|      0.04000000|[128, 47, 0, 47]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[0.7794426714385403, 0.429475827041836]                                         |  0.8749246001243591|      0.20000000|[133, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      22|[0.7794426714385403, 0.429475827041836]                                         |  0.8749246001243591|      0.04000000|[139, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[0.7794426714385403, 0.429475827041836]                                         |  0.8749246001243591|      0.00800000|[145, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[0.7780487067174969, 0.4373534448515858]                                        |  0.8449499607086182|      0.04000000|[150, 55, 0, 55]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      25|[0.7547113093016345, 0.4698398401864656]                                        |  0.7402735352516174|      0.20000000|[155, 57, 0, 57]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      26|[0.7547113093016345, 0.4698398401864656]                                        |  0.7402735352516174|      0.04000000|[162, 60, 0, 60]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[0.7547113093016345, 0.4698398401864656]                                        |  0.7402735352516174|      0.00800000|[168, 62, 0, 62]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[0.7468071760141843, 0.471074618293747]                                         |  0.7162860631942749|      0.04000000|[173, 64, 0, 64]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      29|[0.7468071760141843, 0.471074618293747]                                         |  0.7162860631942749|      0.00800000|[179, 66, 0, 66]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[0.7388809060772025, 0.4721582440991324]                                        |  0.6960434913635254|      0.04000000|[185, 68, 0, 68]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      31|[0.7068158679947353, 0.4960712809779978]                                        |  0.5981307625770569|      0.20000000|[192, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      32|[0.7068158679947353, 0.4960712809779978]                                        |  0.5981307625770569|      0.04000000|[199, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
