k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[96.0, 0.009, 103.0, 106.0, 18.0, 72.0, 151.0, 18.0]                            |9158.1395820262569032|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[96.0, 0.009, 103.0, 106.0, 18.0, 72.0, 151.0, 18.0]                            |9158.1395820262569032|      0.20000000|[41, 6, 0, 3]                                                              |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[96.0, 0.009, 103.0, 106.0, 18.0, 72.0, 151.0, 18.0]                            |9158.1395820262569032|      0.04000000|[81, 12, 0, 6]                                                             |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[96.0, 0.009, 103.0, 106.0, 18.0, 72.0, 151.0, 18.0]                            |9158.1395820262569032|      0.00800000|[119, 18, 0, 9]                                                            |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[96.0, 0.009, 103.0, 106.0, 18.0, 72.0, 151.0, 18.0]                            |9158.1395820262569032|      0.00160000|[158, 24, 0, 12]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[96.0, 0.009, 103.0, 106.0, 18.0, 72.0, 151.0, 18.0]                            |9158.1395820262569032|      0.00032000|[196, 30, 0, 15]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[96.0, 0.009, 103.0, 106.0, 18.0, 72.0, 151.0, 18.0]                            |9158.1395820262569032|      0.00006400|[234, 36, 0, 18]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[96.00000160915967, 0.0089385202330347, 102.99999163154395, 105.99998710594541, 18.000004312036868, 72.00000156648373, 151.00000276341245, 18.0000069769031]|9109.1337890625000000|      0.00032000|[260, 40, 0, 20]                                                           |  | trying quadratic partial model with 15 points | iterate success | actual_k=2
       8|[96.00000160915967, 0.0089385202330347, 102.99999163154395, 105.99998710594541, 18.000004312036868, 72.00000156648373, 151.00000276341245, 18.0000069769031]|9109.1337890625000000|      0.00006400|[298, 46, 0, 23]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[96.00000377463314, 0.008874627847232, 102.99998946414529, 105.99998660103817, 18.00000384436067, 72.00000268922925, 151.00000438833516, 18.000007016405736]|9079.6943359375000000|      0.00032000|[324, 50, 0, 25]                                                           |  | trying quadratic partial model with 15 points | iterate success | actual_k=2
      10|[96.00000377463314, 0.008874627847232, 102.99998946414529, 105.99998660103817, 18.00000384436067, 72.00000268922925, 151.00000438833516, 18.000007016405736]|9079.6943359375000000|      0.00006400|[363, 56, 0, 28]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[96.00000554196953, 0.0088111303207398, 102.99998545738976, 105.99998852033397, 18.000000827761113, 71.99999704780534, 151.00000423876733, 18.00000752133947]|9072.6865234375000000|      0.00032000|[402, 62, 0, 31]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | iterate success | actual_k=2
      12|[96.00000554196953, 0.0088111303207398, 102.99998545738976, 105.99998852033397, 18.000000827761113, 71.99999704780534, 151.00000423876733, 18.00000752133947]|9072.6865234375000000|      0.00006400|[441, 68, 0, 34]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      13|[96.00000554196953, 0.0088111303207398, 102.99998545738976, 105.99998852033397, 18.000000827761113, 71.99999704780534, 151.00000423876733, 18.00000752133947]|9072.6865234375000000|      0.00001280|[479, 74, 0, 37]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[96.00000605575528, 0.0088238746777961, 102.99998617829026, 105.99998916247503, 18.00000074857789, 71.99999712656424, 151.0000043858408, 18.000007958650812]|9072.2871093750000000|      0.00006400|[519, 80, 0, 40]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | iterate success | actual_k=2
      15|[96.00000605575528, 0.0088238746777961, 102.99998617829026, 105.99998916247503, 18.00000074857789, 71.99999712656424, 151.0000043858408, 18.000007958650812]|9072.2871093750000000|      0.00001280|[558, 86, 0, 43]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      16|[96.00000605575528, 0.0088238746777961, 102.99998617829026, 105.99998916247503, 18.00000074857789, 71.99999712656424, 151.0000043858408, 18.000007958650812]|9072.2871093750000000|      0.00000256|[596, 92, 0, 46]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      17|[96.00000605575528, 0.0088238746777961, 102.99998617829026, 105.99998916247503, 18.00000074857789, 71.99999712656424, 151.0000043858408, 18.000007958650812]|9072.2871093750000000|      0.00000051|[634, 98, 0, 49]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      18|[96.00000601602967, 0.0088234861958255, 102.99998615833078, 105.99998924151608, 18.000001049492706, 71.99999716176072, 151.00000437495368, 18.000008063982282]|9072.2841796875000000|      0.00000256|[661, 102, 0, 51]                                                          |  | trying quadratic partial model with 15 points | iterate success | actual_k=2
      19|[96.00000617635202, 0.0088224785066561, 102.99998663711087, 105.99999006272863, 18.000003061402317, 71.99999706177545, 151.00000431372294, 18.000008803787875]|9072.2773437500000000|      0.00001280|[687, 106, 0, 53]                                                          |  | trying quadratic partial model with 15 points | iterate success | actual_k=2
      20|[96.00000617635202, 0.0088224785066561, 102.99998663711087, 105.99999006272863, 18.000003061402317, 71.99999706177545, 151.00000431372294, 18.000008803787875]|9072.2773437500000000|      0.00000256|[725, 112, 0, 56]                                                          |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
