k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-0.6120001572, 0.57175904776, -1.847081276, 0.01574151594, -0.0127909362, -0.0044008498, -0.0340938396, -0.107513871, 1.1202240291, -3.177064e-07, 5.882e-13, 399.75152639, 0.01597732412, -0.0252244646, -0.0094001416, -0.0085667661, -0.1218804907, 0.7190133075, -3.780477e-07, 9.307e-13, 402.01753386, 0.01484625118, -0.0210628994, -0.001166948, -0.0249509707, -0.1139847055, 0.92166020737, -3.295265e-07, 6.733e-13, 400.40175368, 0.01991666998, -1.22433082, 0.0119988756, -1.411897512, -0.1148065151, 0.44915582738, 5.95875e-08, -2.484e-13, 407.03024568, 0.02082242153, -1.238434791, 0.01389314763, -1.049686225, -0.1299513286, 0.33798380231, 4.5673127e-08, -1.792e-13, 405.91764962, 0.01658816461, -1.247226838, 0.01846788123, -0.8617315756, -0.1321089362, 0.28256800868, 4.7465711e-08, -1.509e-13, 404.73590637]|127387.7641439087601611|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.6120001572, 0.57175904776, -1.847081276, 0.01574151594, -0.0127909362, -0.0044008498, -0.0340938396, -0.107513871, 1.1202240291, -3.177064e-07, 5.882e-13, 399.75152639, 0.01597732412, -0.0252244646, -0.0094001416, -0.0085667661, -0.1218804907, 0.7190133075, -3.780477e-07, 9.307e-13, 402.01753386, 0.01484625118, -0.0210628994, -0.001166948, -0.0249509707, -0.1139847055, 0.92166020737, -3.295265e-07, 6.733e-13, 400.40175368, 0.01991666998, -1.22433082, 0.0119988756, -1.411897512, -0.1148065151, 0.44915582738, 5.95875e-08, -2.484e-13, 407.03024568, 0.02082242153, -1.238434791, 0.01389314763, -1.049686225, -0.1299513286, 0.33798380231, 4.5673127e-08, -1.792e-13, 405.91764962, 0.01658816461, -1.247226838, 0.01846788123, -0.8617315756, -0.1321089362, 0.28256800868, 4.7465711e-08, -1.509e-13, 404.73590637]|127387.7641439087601611|      0.50000000|[96, 26, 0, 2]                                                             |  | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=13
       2|[-0.6120001572, 0.57175904776, -1.847081276, 0.01574151594, -0.0127909362, -0.0044008498, -0.0340938396, -0.107513871, 1.1202240291, -3.177064e-07, 5.882e-13, 399.75152639, 0.01597732412, -0.0252244646, -0.0094001416, -0.0085667661, -0.1218804907, 0.7190133075, -3.780477e-07, 9.307e-13, 402.01753386, 0.01484625118, -0.0210628994, -0.001166948, -0.0249509707, -0.1139847055, 0.92166020737, -3.295265e-07, 6.733e-13, 400.40175368, 0.01991666998, -1.22433082, 0.0119988756, -1.411897512, -0.1148065151, 0.44915582738, 5.95875e-08, -2.484e-13, 407.03024568, 0.02082242153, -1.238434791, 0.01389314763, -1.049686225, -0.1299513286, 0.33798380231, 4.5673127e-08, -1.792e-13, 405.91764962, 0.01658816461, -1.247226838, 0.01846788123, -0.8617315756, -0.1321089362, 0.28256800868, 4.7465711e-08, -1.509e-13, 404.73590637]|127387.7641439087601611|      0.25000000|[189, 52, 0, 4]                                                            |  | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=13
       3|[-0.6120001572, 0.57175904776, -1.847081276, 0.01574151594, -0.0127909362, -0.0044008498, -0.0340938396, -0.107513871, 1.1202240291, -3.177064e-07, 5.882e-13, 399.75152639, 0.01597732412, -0.0252244646, -0.0094001416, -0.0085667661, -0.1218804907, 0.7190133075, -3.780477e-07, 9.307e-13, 402.01753386, 0.01484625118, -0.0210628994, -0.001166948, -0.0249509707, -0.1139847055, 0.92166020737, -3.295265e-07, 6.733e-13, 400.40175368, 0.01991666998, -1.22433082, 0.0119988756, -1.411897512, -0.1148065151, 0.44915582738, 5.95875e-08, -2.484e-13, 407.03024568, 0.02082242153, -1.238434791, 0.01389314763, -1.049686225, -0.1299513286, 0.33798380231, 4.5673127e-08, -1.792e-13, 405.91764962, 0.01658816461, -1.247226838, 0.01846788123, -0.8617315756, -0.1321089362, 0.28256800868, 4.7465711e-08, -1.509e-13, 404.73590637]|127387.7641439087601611|      0.12500000|[282, 78, 0, 6]                                                            |  | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=13
       4|[-0.6120001572, 0.57175904776, -1.847081276, 0.01574151594, -0.0127909362, -0.0044008498, -0.0340938396, -0.107513871, 1.1202240291, -3.177064e-07, 5.882e-13, 399.75152639, 0.01597732412, -0.0252244646, -0.0094001416, -0.0085667661, -0.1218804907, 0.7190133075, -3.780477e-07, 9.307e-13, 402.01753386, 0.01484625118, -0.0210628994, -0.001166948, -0.0249509707, -0.1139847055, 0.92166020737, -3.295265e-07, 6.733e-13, 400.40175368, 0.01991666998, -1.22433082, 0.0119988756, -1.411897512, -0.1148065151, 0.44915582738, 5.95875e-08, -2.484e-13, 407.03024568, 0.02082242153, -1.238434791, 0.01389314763, -1.049686225, -0.1299513286, 0.33798380231, 4.5673127e-08, -1.792e-13, 405.91764962, 0.01658816461, -1.247226838, 0.01846788123, -0.8617315756, -0.1321089362, 0.28256800868, 4.7465711e-08, -1.509e-13, 404.73590637]|127387.7641439087601611|      0.06250000|[372, 104, 0, 8]                                                           |  | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=13
       5|[-0.5890014198613859, 0.5859165619255057, -1.8483888868896723, 0.0071040761848635, -0.0190336999162024, -0.005330315542966, -0.026828220932855, -0.1159699633304169, 1.1252190940883378, -0.002369401887817, 0.0020362604202269, 399.75232854355545, 0.030180631626601, -0.0223379353100184, 0.0020834710035961, -0.015614822268992, -0.1241484473731661, 0.715636260999568, -0.0060796307540269, 0.0067362250714974, 402.01824294371414, 0.0199247549678659, -0.0293729757572316, 0.0014572525489534, -0.0242159681397702, -0.1156483268952487, 0.9150287113125186, 0.0080289352851159, 0.0087656198090393, 400.4043998961694, 0.0322470478157992, -1.2146465975388396, 0.0046820905308592, -1.4087155073789226, -0.0963701032066284, 0.4437620387443699, -0.0008984955516853, -0.0040615492763196, 407.0320070969334, 0.0260669965506375, -1.2393989544455024, 0.0067689442641248, -1.0487603691310525, -0.1098725948956307, 0.3448838261757635, 0.0024582721763449, -0.0011080860998893, 405.9112095918938, 0.0369443606367307, -1.2392767401438258, 0.0178900737306895, -0.8571275064775137, -0.1176735820782143, 0.2795597544496514, 0.0062472660013894, 0.0066761379422986, 404.7300609372176]|102343.2578125000000000|      0.12500000|[463, 130, 0, 10]                                                          |  | trying linear partial model with 52 points | iterate success | actual_k=13
       6|[-0.5890014198613859, 0.5859165619255057, -1.8483888868896723, 0.0071040761848635, -0.0190336999162024, -0.005330315542966, -0.026828220932855, -0.1159699633304169, 1.1252190940883378, -0.002369401887817, 0.0020362604202269, 399.75232854355545, 0.030180631626601, -0.0223379353100184, 0.0020834710035961, -0.015614822268992, -0.1241484473731661, 0.715636260999568, -0.0060796307540269, 0.0067362250714974, 402.01824294371414, 0.0199247549678659, -0.0293729757572316, 0.0014572525489534, -0.0242159681397702, -0.1156483268952487, 0.9150287113125186, 0.0080289352851159, 0.0087656198090393, 400.4043998961694, 0.0322470478157992, -1.2146465975388396, 0.0046820905308592, -1.4087155073789226, -0.0963701032066284, 0.4437620387443699, -0.0008984955516853, -0.0040615492763196, 407.0320070969334, 0.0260669965506375, -1.2393989544455024, 0.0067689442641248, -1.0487603691310525, -0.1098725948956307, 0.3448838261757635, 0.0024582721763449, -0.0011080860998893, 405.9112095918938, 0.0369443606367307, -1.2392767401438258, 0.0178900737306895, -0.8571275064775137, -0.1176735820782143, 0.2795597544496514, 0.0062472660013894, 0.0066761379422986, 404.7300609372176]|102343.2578125000000000|      0.06250000|[556, 156, 0, 12]                                                          |  | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=13
       7|[-0.5890014198613859, 0.5859165619255057, -1.8483888868896723, 0.0071040761848635, -0.0190336999162024, -0.005330315542966, -0.026828220932855, -0.1159699633304169, 1.1252190940883378, -0.002369401887817, 0.0020362604202269, 399.75232854355545, 0.030180631626601, -0.0223379353100184, 0.0020834710035961, -0.015614822268992, -0.1241484473731661, 0.715636260999568, -0.0060796307540269, 0.0067362250714974, 402.01824294371414, 0.0199247549678659, -0.0293729757572316, 0.0014572525489534, -0.0242159681397702, -0.1156483268952487, 0.9150287113125186, 0.0080289352851159, 0.0087656198090393, 400.4043998961694, 0.0322470478157992, -1.2146465975388396, 0.0046820905308592, -1.4087155073789226, -0.0963701032066284, 0.4437620387443699, -0.0008984955516853, -0.0040615492763196, 407.0320070969334, 0.0260669965506375, -1.2393989544455024, 0.0067689442641248, -1.0487603691310525, -0.1098725948956307, 0.3448838261757635, 0.0024582721763449, -0.0011080860998893, 405.9112095918938, 0.0369443606367307, -1.2392767401438258, 0.0178900737306895, -0.8571275064775137, -0.1176735820782143, 0.2795597544496514, 0.0062472660013894, 0.0066761379422986, 404.7300609372176]|102343.2578125000000000|      0.03125000|[648, 182, 0, 14]                                                          |  | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=13
       8|[-0.5938283156261466, 0.5905754767842288, -1.842707717962704, 0.0027723169726266, -0.02013960876739, -0.0036227662155655, -0.0243035625517537, -0.1129656077839678, 1.126915650334337, -0.0051828924503011, 0.0015094053309604, 399.7511382067054, 0.0260595562174765, -0.0214168495894573, 0.0052814601220524, -0.0163039189667527, -0.1223689076659938, 0.716999487024692, -0.0084934353836338, 0.0024412536135018, 402.0202778507957, 0.0182623051045932, -0.0306747667237726, 0.0019695805480737, -0.0237192901499214, -0.1180889411612696, 0.912187547425976, 0.0045526840283421, 0.0121822863654911, 400.4055301805368, 0.036060433769182, -1.21118332604678, -0.0027785073689152, -1.4123760827380918, -0.087063777066469, 0.4376438889509813, -0.0019943743775846, -0.0064718539702291, 407.03284216083625, 0.0394021464799175, -1.2409815927694634, -0.000511697152606, -1.0471810505955206, -0.1056650000138502, 0.3435591747864302, -0.0008188683947995, -0.003668416706654, 405.90779125911945, 0.047359877493292, -1.233570444681893, 0.0166518690146408, -0.8583719638153182, -0.1095653100370911, 0.2810227927518773, 0.0086850389942473, 0.0074263292400059, 404.7265460754884]|90705.3359375000000000|      0.06250000|[740, 208, 0, 16]                                                          |  | trying linear partial model with 52 points | iterate success | actual_k=13
       9|[-0.5938283156261466, 0.5905754767842288, -1.842707717962704, 0.0027723169726266, -0.02013960876739, -0.0036227662155655, -0.0243035625517537, -0.1129656077839678, 1.126915650334337, -0.0051828924503011, 0.0015094053309604, 399.7511382067054, 0.0260595562174765, -0.0214168495894573, 0.0052814601220524, -0.0163039189667527, -0.1223689076659938, 0.716999487024692, -0.0084934353836338, 0.0024412536135018, 402.0202778507957, 0.0182623051045932, -0.0306747667237726, 0.0019695805480737, -0.0237192901499214, -0.1180889411612696, 0.912187547425976, 0.0045526840283421, 0.0121822863654911, 400.4055301805368, 0.036060433769182, -1.21118332604678, -0.0027785073689152, -1.4123760827380918, -0.087063777066469, 0.4376438889509813, -0.0019943743775846, -0.0064718539702291, 407.03284216083625, 0.0394021464799175, -1.2409815927694634, -0.000511697152606, -1.0471810505955206, -0.1056650000138502, 0.3435591747864302, -0.0008188683947995, -0.003668416706654, 405.90779125911945, 0.047359877493292, -1.233570444681893, 0.0166518690146408, -0.8583719638153182, -0.1095653100370911, 0.2810227927518773, 0.0086850389942473, 0.0074263292400059, 404.7265460754884]|90705.3359375000000000|      0.03125000|[830, 234, 0, 18]                                                          |  | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=13
      10|[-0.592181666800417, 0.5974823252298052, -1.8431363104431335, 0.001230205067909, -0.0196094432302895, 0.0022187405694065, -0.028355545583666, -0.1129162755048989, 1.1248169936410388, -0.0007026017519674, 0.0028804099848401, 399.75494905571435, 0.0259938637011284, -0.0200660938960443, 0.0049534330706951, -0.0121578352605148, -0.1169271125112823, 0.714719537862548, -0.0129959488877296, 0.000851640783802, 402.020413442394, 0.0178360983437299, -0.0331489195463526, 0.0041041501245022, -0.0251161108336808, -0.1192118278455909, 0.9134711917720946, 0.0043152735497176, 0.0097476848977906, 400.40296242011783, 0.0465138603910235, -1.209234945119446, -0.0086387466027735, -1.4102974982739287, -0.0749579206106726, 0.4361132589262452, -0.0034861371285969, -0.0068554433082417, 407.03231364342054, 0.0415504605932285, -1.2377291119834566, -0.0018998455064653, -1.0498925241798078, -0.0960236176663032, 0.347025864376762, 0.0023207997558991, -0.0011550720791787, 405.91074867490426, 0.0596693607931975, -1.2355291956979733, 0.0119730899476873, -0.8614014105146368, -0.1028485194024601, 0.2853780901777908, 0.0105671304711993, 0.0045402367210473, 404.7291530167979]|78144.9921875000000000|      0.06250000|[922, 260, 0, 20]                                                          |  | trying linear partial model with 52 points | iterate success | actual_k=13
