k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[3.0, 0.1]                                                                      | 87.6860481455954357|      0.90000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[2.1752088938379184, -0.260166116113009]                                        | 19.5317535400390625|      1.00000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
       3|[2.1752088938379184, -0.260166116113009]                                        | 19.5317535400390625|      0.90000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[2.1752088938379184, -0.260166116113009]                                        | 19.5317535400390625|      0.81000000|[28, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.3929228921104362, -0.4702342276892886]                                       |  4.0325016975402832|      0.90000000|[36, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
       6|[1.3929228921104362, -0.4702342276892886]                                       |  4.0325016975402832|      0.81000000|[42, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.3929228921104362, -0.4702342276892886]                                       |  4.0325016975402832|      0.72900000|[50, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[1.3929228921104362, -0.4702342276892886]                                       |  4.0325016975402832|      0.65610000|[58, 21, 0, 21]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.7391500654184635, -0.5254456493263772]                                       |  1.3906184434890747|      0.72900000|[64, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      10|[0.7391500654184635, -0.5254456493263772]                                       |  1.3906184434890747|      0.65610000|[72, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      11|[0.7391500654184635, -0.5254456493263772]                                       |  1.3906184434890747|      0.59049000|[78, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[0.7391500654184635, -0.5254456493263772]                                       |  1.3906184434890747|      0.53144100|[85, 31, 0, 31]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      13|[0.7391500654184635, -0.5254456493263772]                                       |  1.3906184434890747|      0.47829690|[92, 34, 0, 34]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      14|[0.7391500654184635, -0.5254456493263772]                                       |  1.3906184434890747|      0.43046721|[99, 37, 0, 37]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      15|[0.7391500654184635, -0.5254456493263772]                                       |  1.3906184434890747|      0.38742049|[106, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      16|[0.7391500654184635, -0.5254456493263772]                                       |  1.3906184434890747|      0.34867844|[114, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      17|[0.7391500654184635, -0.5254456493263772]                                       |  1.3906184434890747|      0.31381060|[121, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      18|[0.7391500654184635, -0.5254456493263772]                                       |  1.3906184434890747|      0.28242954|[128, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      19|[0.7391500654184635, -0.5254456493263772]                                       |  1.3906184434890747|      0.25418658|[134, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[0.7391500654184635, -0.5254456493263772]                                       |  1.3906184434890747|      0.22876792|[140, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[0.7391500654184635, -0.5254456493263772]                                       |  1.3906184434890747|      0.20589113|[147, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      22|[0.5359035997966284, -0.558339911553222]                                        |  1.0698970556259155|      0.22876792|[153, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      23|[0.5359035997966284, -0.558339911553222]                                        |  1.0698970556259155|      0.20589113|[161, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      24|[0.5359035997966284, -0.558339911553222]                                        |  1.0698970556259155|      0.18530202|[167, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[0.5359035997966284, -0.558339911553222]                                        |  1.0698970556259155|      0.16677182|[173, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      26|[0.5359035997966284, -0.558339911553222]                                        |  1.0698970556259155|      0.15009464|[179, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[0.5359035997966284, -0.558339911553222]                                        |  1.0698970556259155|      0.13508517|[185, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[0.5359035997966284, -0.558339911553222]                                        |  1.0698970556259155|      0.12157665|[192, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      29|[0.4228111412775172, -0.6029602966651609]                                       |  0.9293779730796814|      0.13508517|[197, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      30|[0.4228111412775172, -0.6029602966651609]                                       |  0.9293779730796814|      0.12157665|[205, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      31|[0.4228111412775172, -0.6029602966651609]                                       |  0.9293779730796814|      0.10941899|[211, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      32|[0.4228111412775172, -0.6029602966651609]                                       |  0.9293779730796814|      0.09847709|[218, 82, 0, 82]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
