k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.10000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       2|[1.0555673443664393, 0.9168599360112013]                                        |  5.3161096572875977|      1.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[1.0555673443664393, 0.9168599360112013]                                        |  5.3161096572875977|      0.10000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.109311202075512, 0.8325296463250693]                                         |  4.7013506889343262|      1.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[1.109311202075512, 0.8325296463250693]                                         |  4.7013506889343262|      0.10000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[1.1610663691028786, 0.7469644507957574]                                        |  4.1483893394470215|      1.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[1.1610663691028786, 0.7469644507957574]                                        |  4.1483893394470215|      0.10000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.2110178320074783, 0.6603339056416929]                                        |  3.6506338119506836|      1.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[1.2110178320074783, 0.6603339056416929]                                        |  3.6506338119506836|      0.10000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[1.2590256369532526, 0.5726113277937496]                                        |  3.2021715641021729|      1.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[1.2590256369532526, 0.5726113277937496]                                        |  3.2021715641021729|      0.10000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[1.3052101397260683, 0.4839152641627869]                                        |  2.7977809906005859|      1.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[1.3052101397260683, 0.4839152641627869]                                        |  2.7977809906005859|      0.10000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[1.3052101397260683, 0.4839152641627869]                                        |  2.7977809906005859|      0.01000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      15|[1.3096771416647501, 0.4749684270859305]                                        |  2.7595837116241455|      0.10000000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      16|[1.3096771416647501, 0.4749684270859305]                                        |  2.7595837116241455|      0.01000000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      17|[1.3141298492660252, 0.4660144673463768]                                        |  2.7217767238616943|      0.10000000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      18|[1.3141298492660252, 0.4660144673463768]                                        |  2.7217767238616943|      0.01000000|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
