k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  3.0203003000300002|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      5.00000000|[9, 0, 0, 2]                                                               |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       2|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      1.00000000|[17, 0, 0, 4]                                                              |  | trying quadratic partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.20000000|[25, 0, 0, 6]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.04000000|[33, 0, 0, 8]                                                              |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       5|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.00800000|[41, 0, 0, 10]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[0.0003130539050931, 0.0749798120023348]                                        |  0.0000948208253249|      0.00160000|[49, 0, 0, 12]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[0.0003062979774498, 0.073379826265698]                                         |  0.0000869827345014|      0.00800000|[57, 0, 0, 14]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
       8|[0.0003062979774498, 0.073379826265698]                                         |  0.0000869827345014|      0.00160000|[65, 0, 0, 16]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[0.0003117771667746, 0.0717798356474492]                                        |  0.0000796409804025|      0.00800000|[73, 0, 0, 18]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      10|[0.0003117771667746, 0.0717798356474492]                                        |  0.0000796409804025|      0.00160000|[81, 0, 0, 20]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.0003177879751235, 0.0701798469380568]                                        |  0.0000727741062292|      0.00800000|[89, 0, 0, 22]                                                             |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      12|[0.0003177879751235, 0.0701798469380568]                                        |  0.0000727741062292|      0.00160000|[97, 0, 0, 24]                                                             |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[0.0003074902252236, 0.0685798800770416]                                        |  0.0000663611644995|      0.00800000|[105, 0, 0, 26]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      14|[0.0003074902252236, 0.0685798800770416]                                        |  0.0000663611644995|      0.00160000|[113, 0, 0, 28]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      15|[0.0003106659465132, 0.0669798832286714]                                        |  0.0000603816624789|      0.00800000|[121, 0, 0, 30]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
      16|[0.0003106659465132, 0.0669798832286714]                                        |  0.0000603816624789|      0.00160000|[129, 0, 0, 32]                                                            |  | trying quadratic partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      17|[0.0003016632257743, 0.0653799085566784]                                        |  0.0000548156676814|      0.00800000|[137, 0, 0, 34]                                                            |  | trying quadratic partial model with 5 points | iterate success | actual_k=0
