k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.20000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       2|[1.111715334196904, 0.8341094212883864]                                         |  4.7019791603088379|      1.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[1.111715334196904, 0.8341094212883864]                                         |  4.7019791603088379|      0.20000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.2159954660249876, 0.6634470232450052]                                        |  3.6522703170776367|      1.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[1.2159954660249876, 0.6634470232450052]                                        |  3.6522703170776367|      0.20000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[1.3118350572430966, 0.4879056527503386]                                        |  2.8001687526702881|      1.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[1.3118350572430966, 0.4879056527503386]                                        |  2.8001687526702881|      0.20000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.4016828426647228, 0.3092233216293534]                                        |  2.1062791347503662|      1.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[1.4016828426647228, 0.3092233216293534]                                        |  2.1062791347503662|      0.20000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[1.486086695680182, 0.1279059490580943]                                         |  1.5405994653701782|      1.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[1.486086695680182, 0.1279059490580943]                                         |  1.5405994653701782|      0.20000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      12|[1.5679447288878565, -0.0545749058263874]                                       |  1.0810563564300537|      1.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[1.5679447288878565, -0.0545749058263874]                                       |  1.0810563564300537|      0.20000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      14|[1.6522768271247992, -0.2359256632192216]                                       |  0.7114510536193848|      1.00000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[1.6522768271247992, -0.2359256632192216]                                       |  0.7114510536193848|      0.20000000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      16|[1.6522768271247992, -0.2359256632192216]                                       |  0.7114510536193848|      0.04000000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      17|[1.6701411168184777, -0.2717148676493334]                                       |  0.6472392082214355|      0.20000000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      18|[1.6701411168184777, -0.2717148676493334]                                       |  0.6472392082214355|      0.04000000|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      19|[1.6882274730883347, -0.3073923635939734]                                       |  0.5860920548439026|      0.20000000|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      20|[1.6882274730883347, -0.3073923635939734]                                       |  0.5860920548439026|      0.04000000|[161, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      21|[1.7065492667570117, -0.342949527102364]                                        |  0.5279568433761597|      0.20000000|[169, 0, 0, 42]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      22|[1.7065492667570117, -0.342949527102364]                                        |  0.5279568433761597|      0.04000000|[177, 0, 0, 44]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      23|[1.7250898491665863, -0.3783930992123217]                                       |  0.4727917313575745|      0.20000000|[185, 0, 0, 46]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      24|[1.7250898491665863, -0.3783930992123217]                                       |  0.4727917313575745|      0.04000000|[193, 0, 0, 48]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      25|[1.7438257380370195, -0.4137338189027125]                                       |  0.4205667376518250|      0.20000000|[201, 0, 0, 50]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      26|[1.7438257380370195, -0.4137338189027125]                                       |  0.4205667376518250|      0.04000000|[209, 0, 0, 52]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      27|[1.762737600819159, -0.4489806832470697]                                        |  0.3712635636329651|      0.20000000|[217, 0, 0, 54]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      28|[1.762737600819159, -0.4489806832470697]                                        |  0.3712635636329651|      0.04000000|[225, 0, 0, 56]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      29|[1.7818255643785281, -0.4841324918371864]                                       |  0.3248760700225830|      0.20000000|[233, 0, 0, 58]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
