k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404944837|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.195816180345798, 38.5175504612019, 41.80072948234171, 39.173472202875175]   |810.4383544921875000|      5.00000000|[12, 4, 0, 2]                                                              |  | trying linear partial model with 7 points | iterate success | actual_k=2
       2|[24.195816180345798, 38.5175504612019, 41.80072948234171, 39.173472202875175]   |810.4383544921875000|      1.00000000|[22, 8, 0, 4]                                                              |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       3|[23.39450912906405, 38.030279519600356, 42.0975225750091, 39.353438586352276]   |729.9520263671875000|      5.00000000|[33, 12, 0, 6]                                                             |  | trying linear partial model with 7 points | iterate success | actual_k=2
       4|[23.39450912906405, 38.030279519600356, 42.0975225750091, 39.353438586352276]   |729.9520263671875000|      1.00000000|[44, 16, 0, 8]                                                             |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       5|[22.574771970987083, 37.547713419531256, 42.36012730112917, 39.51530182662443]  |655.6419067382812500|      5.00000000|[55, 20, 0, 10]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       6|[22.574771970987083, 37.547713419531256, 42.36012730112917, 39.51530182662443]  |655.6419067382812500|      1.00000000|[65, 24, 0, 12]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       7|[21.75735751263697, 37.06885270538951, 42.64026994268648, 39.6703699410553]     |587.1346435546875000|      5.00000000|[75, 28, 0, 14]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
       8|[21.75735751263697, 37.06885270538951, 42.64026994268648, 39.6703699410553]     |587.1346435546875000|      1.00000000|[85, 32, 0, 16]                                                            |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
       9|[20.92536227813679, 36.61294822682663, 42.91420662255016, 39.82814741606542]    |524.0599365234375000|      5.00000000|[96, 36, 0, 18]                                                            |  | trying linear partial model with 7 points | iterate success | actual_k=2
      10|[20.92536227813679, 36.61294822682663, 42.91420662255016, 39.82814741606542]    |524.0599365234375000|      1.00000000|[106, 40, 0, 20]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      11|[20.087258272314777, 36.155108656293606, 43.1688283641837, 39.98024071561123]   |466.0797119140625000|      5.00000000|[116, 44, 0, 22]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      12|[20.087258272314777, 36.155108656293606, 43.1688283641837, 39.98024071561123]   |466.0797119140625000|      1.00000000|[126, 48, 0, 24]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      13|[19.237068420582087, 35.714661762168234, 43.4115739529161, 40.135991569917145]  |412.8722229003906250|      5.00000000|[136, 52, 0, 26]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      14|[19.237068420582087, 35.714661762168234, 43.4115739529161, 40.135991569917145]  |412.8722229003906250|      1.00000000|[146, 56, 0, 28]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      15|[18.380690707383547, 35.27983720143867, 43.64624799585504, 40.2859012336946]    |364.1356201171875000|      5.00000000|[158, 60, 0, 30]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      16|[18.380690707383547, 35.27983720143867, 43.64624799585504, 40.2859012336946]    |364.1356201171875000|      1.00000000|[168, 64, 0, 32]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      17|[17.51336036183699, 34.857125764854544, 43.86983856790264, 40.42396052952977]   |319.5798950195312500|      5.00000000|[178, 68, 0, 34]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      18|[17.51336036183699, 34.857125764854544, 43.86983856790264, 40.42396052952977]   |319.5798950195312500|      1.00000000|[189, 72, 0, 36]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      19|[16.637730642641298, 34.4456758376046, 44.087405097531246, 40.552981293024075]  |278.9408874511718750|      5.00000000|[199, 76, 0, 38]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      20|[16.637730642641298, 34.4456758376046, 44.087405097531246, 40.552981293024075]  |278.9408874511718750|      1.00000000|[211, 80, 0, 40]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      21|[16.637730642641298, 34.4456758376046, 44.087405097531246, 40.552981293024075]  |278.9408874511718750|      0.20000000|[222, 84, 0, 42]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      22|[16.460535217762217, 34.36647336239116, 44.12903550975808, 40.57738740086229]   |271.2604675292968750|      1.00000000|[233, 88, 0, 44]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      23|[16.460535217762217, 34.36647336239116, 44.12903550975808, 40.57738740086229]   |271.2604675292968750|      0.20000000|[245, 92, 0, 46]                                                           |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      24|[16.28357243283108, 34.28702863695967, 44.17084417877403, 40.60238227124891]    |263.7247009277343750|      1.00000000|[256, 96, 0, 48]                                                           |  | trying linear partial model with 7 points | iterate success | actual_k=2
      25|[16.28357243283108, 34.28702863695967, 44.17084417877403, 40.60238227124891]    |263.7247009277343750|      0.20000000|[266, 100, 0, 50]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      26|[16.106054645102304, 34.20796169102147, 44.211713756853804, 40.62616316037165]  |256.3314514160156250|      1.00000000|[276, 104, 0, 52]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      27|[16.106054645102304, 34.20796169102147, 44.211713756853804, 40.62616316037165]  |256.3314514160156250|      0.20000000|[286, 108, 0, 54]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      28|[15.92827503415138, 34.12933976505533, 44.25234031297562, 40.64987993977346]    |249.0789489746093750|      1.00000000|[297, 112, 0, 56]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      29|[15.92827503415138, 34.12933976505533, 44.25234031297562, 40.64987993977346]    |249.0789489746093750|      0.20000000|[309, 116, 0, 58]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      30|[15.749853183477645, 34.05147704094626, 44.29182370056989, 40.67320592315155]   |241.9652862548828125|      1.00000000|[320, 120, 0, 60]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      31|[15.749853183477645, 34.05147704094626, 44.29182370056989, 40.67320592315155]   |241.9652862548828125|      0.20000000|[332, 124, 0, 62]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      32|[15.571198637811586, 33.974246887925915, 44.331577945360465, 40.69639335074582] |234.9886474609375000|      1.00000000|[342, 128, 0, 64]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      33|[15.571198637811586, 33.974246887925915, 44.331577945360465, 40.69639335074582] |234.9886474609375000|      0.20000000|[352, 132, 0, 66]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      34|[15.392118348570063, 33.897801867169164, 44.370946929274794, 40.719555645801044]|228.1472320556640625|      1.00000000|[364, 136, 0, 68]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      35|[15.392118348570063, 33.897801867169164, 44.370946929274794, 40.719555645801044]|228.1472320556640625|      0.20000000|[375, 140, 0, 70]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      36|[15.212791041542602, 33.82159720102621, 44.40975552549322, 40.74254387478621]   |221.4392852783203125|      1.00000000|[386, 144, 0, 72]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      37|[15.212791041542602, 33.82159720102621, 44.40975552549322, 40.74254387478621]   |221.4392852783203125|      0.20000000|[396, 148, 0, 74]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      38|[15.033030866082294, 33.746552900399884, 44.44891684769496, 40.76536980533453]  |214.8631286621093750|      1.00000000|[407, 152, 0, 76]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      39|[15.033030866082294, 33.746552900399884, 44.44891684769496, 40.76536980533453]  |214.8631286621093750|      0.20000000|[418, 156, 0, 78]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      40|[14.852904042835295, 33.67166450140806, 44.487017480420526, 40.78760484590785]  |208.4168701171875000|      1.00000000|[428, 160, 0, 80]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      41|[14.852904042835295, 33.67166450140806, 44.487017480420526, 40.78760484590785]  |208.4168701171875000|      0.20000000|[439, 164, 0, 82]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      42|[14.67207082659716, 33.59802439489358, 44.52434146670559, 40.80959126592795]    |202.0988159179687500|      1.00000000|[450, 168, 0, 84]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      43|[14.67207082659716, 33.59802439489358, 44.52434146670559, 40.80959126592795]    |202.0988159179687500|      0.20000000|[461, 172, 0, 86]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      44|[14.491392620906073, 33.52387183483358, 44.561441073647465, 40.831509363234865] |195.9073638916015625|      1.00000000|[471, 176, 0, 88]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      45|[14.491392620906073, 33.52387183483358, 44.561441073647465, 40.831509363234865] |195.9073638916015625|      0.20000000|[482, 180, 0, 90]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      46|[14.310018913563987, 33.45110955969784, 44.59850648578593, 40.85237524028482]   |189.8408050537109375|      1.00000000|[493, 184, 0, 92]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      47|[14.310018913563987, 33.45110955969784, 44.59850648578593, 40.85237524028482]   |189.8408050537109375|      0.20000000|[505, 188, 0, 94]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      48|[14.128738887046257, 33.37788576267915, 44.635130571992136, 40.873219996111104] |183.8976135253906250|      1.00000000|[516, 192, 0, 96]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      49|[14.128738887046257, 33.37788576267915, 44.635130571992136, 40.873219996111104] |183.8976135253906250|      0.20000000|[527, 196, 0, 98]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      50|[13.969417553461868, 33.28559252599416, 44.564965900715194, 40.838933117692406] |179.1739044189453125|      1.00000000|[537, 200, 0, 100]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
