k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      0.10000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       2|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      0.01000000|[12, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       3|[0.0060245264691085, 9.997410356108185, 1.007549756640886]                      |  1.8222708702087402|      0.10000000|[17, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[0.0060245264691085, 9.997410356108185, 1.007549756640886]                      |  1.8222708702087402|      0.01000000|[22, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[0.0147861757115949, 9.997332221950943, 1.0123692376923177]                     |  1.7578886747360229|      0.10000000|[27, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[0.1128643372039465, 9.977825789057372, 1.0119529276530268]                     |  1.3080556392669678|      1.00000000|[32, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[0.1128643372039465, 9.977825789057372, 1.0119529276530268]                     |  1.3080556392669678|      0.10000000|[37, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[0.1787590136847991, 9.984565463749124, 1.0868693370473186]                     |  0.8469903469085693|      1.00000000|[42, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[0.1787590136847991, 9.984565463749124, 1.0868693370473186]                     |  0.8469903469085693|      0.10000000|[47, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[0.1787590136847991, 9.984565463749124, 1.0868693370473186]                     |  0.8469903469085693|      0.01000000|[53, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[0.1809915460971197, 9.988827538177853, 1.0956357799172587]                     |  0.8177010416984558|      0.10000000|[58, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[0.1809915460971197, 9.988827538177853, 1.0956357799172587]                     |  0.8177010416984558|      0.01000000|[64, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[0.1903049070045049, 9.985790459159091, 1.0936264368299327]                     |  0.7943232655525208|      0.10000000|[69, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[0.1903049070045049, 9.985790459159091, 1.0936264368299327]                     |  0.7943232655525208|      0.01000000|[74, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[0.194193723693221, 9.982956231494397, 1.1023925225188955]                      |  0.7611735463142395|      0.10000000|[80, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[0.194193723693221, 9.982956231494397, 1.1023925225188955]                      |  0.7611735463142395|      0.01000000|[85, 32, 0, 32]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      17|[0.2012893594434351, 9.977955761388264, 1.107357122403877]                      |  0.7286733984947205|      0.10000000|[91, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      18|[0.2815913912133744, 9.983416642732621, 1.166701561642634]                      |  0.4164261519908905|      1.00000000|[97, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[0.2815913912133744, 9.983416642732621, 1.166701561642634]                      |  0.4164261519908905|      0.10000000|[103, 38, 0, 38]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      20|[0.2815913912133744, 9.983416642732621, 1.166701561642634]                      |  0.4164261519908905|      0.01000000|[108, 40, 0, 40]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[0.291337983472069, 9.98556838133697, 1.167313084595033]                        |  0.3962378203868866|      0.10000000|[113, 42, 0, 42]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      22|[0.291337983472069, 9.98556838133697, 1.167313084595033]                        |  0.3962378203868866|      0.01000000|[118, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      23|[0.2983080159126294, 9.985267271778435, 1.1744774394725706]                     |  0.3720164299011230|      0.10000000|[124, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      24|[0.2983080159126294, 9.985267271778435, 1.1744774394725706]                     |  0.3720164299011230|      0.01000000|[129, 48, 0, 48]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      25|[0.305720607266679, 9.986565978829223, 1.1810627905956392]                      |  0.3489022850990295|      0.10000000|[134, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      26|[0.305720607266679, 9.986565978829223, 1.1810627905956392]                      |  0.3489022850990295|      0.01000000|[140, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[0.3123473372337423, 9.990279524297826, 1.1875663304007176]                     |  0.3282913267612457|      0.10000000|[146, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      28|[0.3123473372337423, 9.990279524297826, 1.1875663304007176]                     |  0.3282913267612457|      0.01000000|[152, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[0.316663283844526, 9.996163689352377, 1.1944036695369364]                      |  0.3119792342185974|      0.10000000|[158, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      30|[0.316663283844526, 9.996163689352377, 1.1944036695369364]                      |  0.3119792342185974|      0.01000000|[164, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      31|[0.3248497562134328, 9.996791237948422, 1.2001122466725043]                     |  0.2915303111076355|      0.10000000|[170, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      32|[0.3248497562134328, 9.996791237948422, 1.2001122466725043]                     |  0.2915303111076355|      0.01000000|[175, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      33|[0.3268464367215869, 9.995540171991491, 1.2098306879528622]                     |  0.2769041061401367|      0.10000000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      34|[0.3268464367215869, 9.995540171991491, 1.2098306879528622]                     |  0.2769041061401367|      0.01000000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      35|[0.3364430794593893, 9.99780899072907, 1.2114910823936509]                      |  0.2606455981731415|      0.10000000|[192, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[0.3364430794593893, 9.99780899072907, 1.2114910823936509]                      |  0.2606455981731415|      0.01000000|[197, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      37|[0.3432685425935948, 9.99753637715407, 1.2187944196337301]                      |  0.2431226521730423|      0.10000000|[203, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      38|[0.3432685425935948, 9.99753637715407, 1.2187944196337301]                      |  0.2431226521730423|      0.01000000|[209, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      39|[0.3497116895677729, 9.997190173176639, 1.226434184019832]                      |  0.2268163114786148|      0.10000000|[214, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      40|[0.3497116895677729, 9.997190173176639, 1.226434184019832]                      |  0.2268163114786148|      0.01000000|[219, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      41|[0.3588200583291256, 9.998102713869832, 1.2304597135490343]                     |  0.2113465517759323|      0.10000000|[225, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
