k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.1401527526657613, -0.4105513796394371]                                       | 16.5282554626464844|      1.11111111|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       2|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      1.23456790|[12, 4, 0, 4]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       3|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      1.11111111|[18, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      1.00000000|[24, 8, 0, 8]                                                              |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       5|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      0.90000000|[32, 11, 0, 11]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       6|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      0.81000000|[38, 13, 0, 13]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      0.72900000|[44, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      0.65610000|[52, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
       9|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      0.59049000|[60, 21, 0, 21]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      0.53144100|[66, 23, 0, 23]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      0.47829690|[74, 26, 0, 26]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      12|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      0.43046721|[80, 28, 0, 28]                                                            |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      0.38742049|[87, 31, 0, 31]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      14|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      0.34867844|[94, 34, 0, 34]                                                            |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      15|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      0.31381060|[101, 37, 0, 37]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      16|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      0.28242954|[108, 40, 0, 40]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      17|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      0.25418658|[116, 43, 0, 43]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      18|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      0.22876792|[123, 46, 0, 46]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      0.20589113|[130, 49, 0, 49]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      20|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      0.18530202|[136, 51, 0, 51]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      21|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      0.16677182|[142, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      22|[1.324236212788985, -1.1647715737406539]                                        |  3.5546140670776367|      0.15009464|[149, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      23|[1.193111817390298, -1.0917319100210832]                                        |  2.8000221252441406|      0.16677182|[155, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      24|[1.193111817390298, -1.0917319100210832]                                        |  2.8000221252441406|      0.15009464|[163, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.193111817390298, -1.0917319100210832]                                        |  2.8000221252441406|      0.13508517|[169, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      26|[1.193111817390298, -1.0917319100210832]                                        |  2.8000221252441406|      0.12157665|[175, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      27|[1.193111817390298, -1.0917319100210832]                                        |  2.8000221252441406|      0.10941899|[181, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[1.193111817390298, -1.0917319100210832]                                        |  2.8000221252441406|      0.09847709|[187, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      29|[1.1016299558056764, -1.0552791145331208]                                       |  2.3950698375701904|      0.10941899|[192, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      30|[1.1016299558056764, -1.0552791145331208]                                       |  2.3950698375701904|      0.09847709|[199, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      31|[1.0165128927508427, -1.0057531327175655]                                       |  2.0551402568817139|      0.10941899|[204, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
